Statistics,TL079,SF263,SF185,SF175,SF032,SF117,SF108,TL272,SF038,SF077,SF270,SF061,TL332,SF174,SF296,SF252,SF135,SF144,SF129,SF188,SF227,SF098,TL567,SF055,SF058,SF273,TL239,SF168,SF123,SF066,SF244,SF133,SF064,SF173,SF221,SF172,SF150,TL028,SF190,SF121,SF102,SF099,SF081,SF222,SF268,SF303,TL788,SF285,TL639,SF261,SF271,SF120,SF192,SF151,SF257,SF183,SF001,SF217,SF266,SF142,SF255,SF180,SF145,SF110,SF137,SF210,SF097,SF253,SF087,SF047,SF294,SF224,SF065,SF103,SF207,SF161,SF292,SF274,SF170,SF025,SF215,SF318,TL306,SF013,SF237,SF134,SF019,SF275,SF208,SF154,SF279,TL436,SF300,TL587,SF075,TL526,SF295,SF241,TL008,SF281,SF203,SF091,TL553,SF026,SF238,SF264,SF153,SF313,TL548,TL443,TL258,SF256,SF018,SF139,SF009,SF197,TL142,SF057,SF299,SF163,TL568,SF202,SF184,SF260,SF187,SF199,SF307,SF039,SF008,SF156,SF181,TL413,SF248,SF213,SF131,SF119,TL704,TL366,TL657,SF068,SF015,SF096,SF051,SF027,SF251,SF088,TL346,SF212,SF071,SF178,TL379,SF043,SF093,SF092,SF191,SF160,SF304,SF311,SF223,TL722,TL473,SF229,SF118,TL327,TL026,SF291,SF141,SF243,SF283,SF316,SF245,SF028,SF086,SF049,SF194,TL347,TL001,SF239,SF072,SF269,SF022,TL046,SF165,SF082,SF200,TL400,TL167
1-SPFP,0.0,0.921276595745,0.695507487521,0.880208333333,0.810094097519,0.910377358491,0.0,0.0,0.873873873874,0.686415711948,0.92303030303,0.802752293578,0.0,0.958762886598,0.89247311828,0.904225352113,0.694779116466,0.736547868623,0.832144816237,0.844773519164,0.870786516854,0.935294117647,0.0,0.789826378313,0.814516129032,0.897959183673,0.0,0.886115444618,0.0,0.829177057357,0.903716216216,0.660519125683,0.628005657709,0.858044164038,0.88,0.826468602296,0.847826086957,0.0,0.853658536585,0.907597535934,0.93063583815,0.98773006135,0.913407821229,0.974330966685,0.965736040609,0.944134078212,0.0,0.539464156408,0.0,0.892857142857,0.830217474246,0.834394904459,0.947239263804,0.791293734744,0.853982300885,0.876041666667,1.0,0.8671875,0.539351851852,0.799420709631,0.829288702929,0.91754756871,0.875675675676,0.946992864424,0.980967486122,0.382532751092,0.763033175355,0.914473684211,0.700851788756,0.919496855346,0.931818181818,0.923329682366,0.796156744537,0.935724266418,0.902313624679,0.658127208481,0.703255813953,0.0,0.858208955224,0.954465849387,0.921875,0.816023738872,0.0,0.890646492435,0.970873786408,0.825962910128,0.968085106383,0.821052631579,0.91167192429,0.992831541219,0.883463841548,0.933333333333,0.874560375147,1.0,0.879396984925,0.0,0.919732441472,0.780966767372,0.0,0.794642857143,0.904177545692,0.849137931034,0.0,0.564,0.986666666667,0.923250564334,0.609375,0.924050632911,1.0,0.0,0.0,0.809966216216,0.891165172855,0.874600638978,0.851423487544,0.758436944938,0.0,0.931787175989,0.549813532232,0.918777292576,0.0,0.527777777778,0.636363636364,0.585347432024,0.993150684932,0.835205992509,0.893784421715,0.79262810908,0.625789473684,0.993865030675,0.657559198543,0.0,0.0,0.673858921162,0.800440407377,0.537288135593,0.0,0.0,0.0,0.946428571429,1.0,0.906666666667,0.907035175879,0.64138576779,0.603448275862,0.867469879518,0.0,0.83,1.0,0.988835725678,1.0,0.728538283063,0.790037648422,0.470657276995,0.860828241684,1.0,0.823779193206,0.689128169503,0.90350877193,0.91935483871,0.869565217391,0.833706606943,0.883997620464,0.0,0.0,0.933973589436,0.917525773196,0.770871985158,0.923366834171,0.876588021779,0.782718120805,0.0,0.679676985195,0.723585912487,0.832684824903,0.0,0.0,0.842105263158,0.775623268698,0.862602805999,0.790804597701,0.0,0.908256880734,0.878504672897,0.713253012048,0.0,0.0
1-SPFN,0.0,0.41734939759,0.486046511628,0.737991266376,0.34549434513,0.438636363636,0.0,0.0,0.773936170213,0.548092002091,0.822354211663,0.567260940032,0.0,0.989361702128,0.267741935484,0.324898785425,0.368869936034,0.32712600869,0.450683303624,0.645758423225,0.716644649934,0.129795918367,0.0,0.614309405354,0.248004910988,0.87707641196,0.0,0.618063112078,0.0,0.725784447476,0.40074906367,0.439545454545,0.411873840445,0.236111111111,0.0696202531646,0.751842751843,0.109040074557,0.0,0.280203784571,0.574025974026,0.565633982753,0.291314837153,0.70626349892,0.954010695187,0.924665856622,0.206097560976,0.0,0.251095382541,0.0,0.769794721408,0.618885096701,0.581360946746,0.745173745174,0.685583362707,0.806182121972,0.2911041883,0.0802415875755,0.1875,0.0972860125261,0.495956873315,0.696905766526,0.437059415911,0.311538461538,0.81135371179,0.909558823529,0.294751009421,0.170460561143,0.427692307692,0.447855432179,0.605132450331,0.07861936721,0.888303477345,0.573405698779,0.817663817664,0.776548672566,0.516643550624,0.327414465136,0.0,0.218631178707,0.942906574394,0.271793054571,0.107716412064,0.0,0.687732342007,0.279329608939,0.51148409894,0.0984848484848,0.275618374558,0.787823716493,0.899350649351,0.580157289776,0.261682242991,0.914215686275,0.142857142857,0.452196382429,0.0,0.797101449275,0.915044247788,0.0,0.700787401575,0.848982593773,0.203512396694,0.0,0.205240174672,0.507428571429,0.493365500603,0.0749344978166,0.488839285714,0.0641711229947,0.0,0.0,0.551149425287,0.8798988622,0.556402439024,0.244944970566,0.564068692206,0.0,0.620909090909,0.295617301633,0.370031656701,0.0,0.153535353535,0.0269230769231,0.184655706457,0.235008103728,0.454175152749,0.568284142071,0.800181515656,0.36472392638,0.0910623946037,0.918575063613,0.0,0.0,0.489451476793,0.593832958954,0.0655907303952,0.0,0.0,0.0,0.47533632287,0.341736694678,0.202380952381,0.458121827411,0.342328835582,0.625,0.258992805755,0.0,0.0717372515125,0.0808988764045,0.534482758621,0.0546448087432,0.21130551817,0.449497446037,0.154290111581,0.718006795017,0.0598006644518,0.633365981064,0.530907144769,0.646443514644,0.57,0.0970873786408,0.472548397334,0.549962990377,0.0,0.0,0.28117094326,0.733516483516,0.544918032787,0.263157894737,0.528013118338,0.506789788159,0.0,0.47440112729,0.474457662701,0.523227383863,0.0,0.0,0.878787878788,0.742705570292,0.732990750257,0.267080745342,0.0,0.167796610169,0.141353383459,0.243621399177,0.0,0.0
SP-Score,0.0,0.669312996668,0.590776999574,0.809099799854,0.577794221324,0.674506861063,0.0,0.0,0.823905022043,0.617253857019,0.872692257347,0.685006616805,0.0,0.974062294363,0.580107526882,0.614562068769,0.53182452625,0.531836938657,0.641414059931,0.745265971195,0.793715583394,0.532545018007,0.0,0.702067891833,0.53126052001,0.887517797817,0.0,0.752089278348,0.0,0.777480752416,0.652232639943,0.550032290114,0.519939749077,0.547077637574,0.474810126582,0.789155677069,0.478433080757,0.0,0.566931160578,0.74081175498,0.748134910452,0.639522449251,0.809835660075,0.964170830936,0.945200948616,0.575115819594,0.0,0.395279769475,0.0,0.831325932132,0.724551285474,0.707877925602,0.846206504489,0.738438548725,0.830082211428,0.583572927484,0.540120793788,0.52734375,0.318318932189,0.647688791473,0.763097234727,0.677303492311,0.593607068607,0.879173288107,0.945263154826,0.338641880256,0.466746868249,0.671082995951,0.574353610468,0.762314652839,0.505218774514,0.905816579855,0.684781221658,0.876694042041,0.839431148623,0.587385379552,0.515335139545,0.0,0.538420066966,0.948686211891,0.596834027286,0.461870075468,0.0,0.789189417221,0.625101697673,0.668723504534,0.533284977434,0.548335503069,0.849747820391,0.946091095285,0.731810565662,0.597507788162,0.894388030711,0.571428571429,0.665796683677,0.0,0.858416945373,0.84800550758,0.0,0.747715129359,0.876580069732,0.526325163864,0.0,0.384620087336,0.747047619048,0.708308032469,0.342154748908,0.706444959313,0.532085561497,0.0,0.0,0.680557820752,0.885532017528,0.715501539001,0.548184229055,0.661252818572,0.0,0.776348133449,0.422715416933,0.644404474639,0.0,0.340656565657,0.331643356643,0.385001569241,0.61407939433,0.644690572629,0.731034281893,0.796404812368,0.495256700032,0.542463712639,0.788067131078,0.0,0.0,0.581655198978,0.697136683166,0.301439432994,0.0,0.0,0.0,0.710882447149,0.670868347339,0.554523809524,0.682578501645,0.491857301686,0.614224137931,0.563231342637,0.0,0.450868625756,0.540449438202,0.761659242149,0.527322404372,0.469921900616,0.619767547229,0.312473694288,0.78941751835,0.529900332226,0.728572587135,0.610017657136,0.774976143287,0.744677419355,0.483326298016,0.653127502139,0.716980305421,0.0,0.0,0.607572266348,0.825521128356,0.657895008972,0.593262364454,0.702300570058,0.644753954482,0.0,0.577039056242,0.599021787594,0.677956104383,0.0,0.0,0.860446570973,0.759164419495,0.797796778128,0.528942671521,0.0,0.538026745452,0.509929028178,0.478437205613,0.0,0.0
TC,0.0,0.14953271028,0.134615384615,0.620689655172,0.145695364238,0.43023255814,0.0,0.0,0.665441176471,0.126436781609,0.693023255814,0.4,0.0,0.96875,0.101694915254,0.184,0.219262295082,0.072,0.0757575757576,0.224852071006,0.547445255474,0.0978260869565,0.0,0.307142857143,0.0652173913043,0.794392523364,0.0,0.337209302326,0.0,0.207317073171,0.238805970149,0.0230769230769,0.0530303030303,0.0833333333333,0.0,0.367088607595,0.0387596899225,0.0,0.0348432055749,0.480620155039,0.304347826087,0.194174757282,0.52380952381,0.917197452229,0.875,0.103585657371,0.0,0.056,0.0,0.44,0.369565217391,0.327586206897,0.382352941176,0.495575221239,0.590909090909,0.168067226891,0.0,0.125984251969,0.0801526717557,0.24537037037,0.433962264151,0.316666666667,0.0824175824176,0.744360902256,0.743421052632,0.0175,0.106976744186,0.336283185841,0.0536912751678,0.112244897959,0.034965034965,0.792899408284,0.295358649789,0.625,0.553571428571,0.0534759358289,0.234042553191,0.0,0.159292035398,0.88,0.0448430493274,0.0,0.0,0.3828125,0.159722222222,0.203592814371,0.00909090909091,0.275862068966,0.463414634146,0.839622641509,0.133891213389,0.0,0.709677419355,0.132352941176,0.319391634981,0.0,0.688,0.691629955947,0.0,0.633333333333,0.669703872437,0.104347826087,0.0,0.260869565217,0.233766233766,0.263736263736,0.0242424242424,0.301204819277,0.0,0.0,0.0,0.278481012658,0.708333333333,0.439306358382,0.0657276995305,0.342281879195,0.0,0.0697674418605,0.0221238938053,0.39501039501,0.0,0.00952380952381,0.0,0.075,0.0952380952381,0.054347826087,0.199134199134,0.284210526316,0.0208333333333,0.181818181818,0.683229813665,0.0,0.0,0.188679245283,0.123456790123,0.0,0.0,0.0,0.0,0.361386138614,0.0551181102362,0.160714285714,0.345744680851,0.189368770764,0.359550561798,0.030612244898,0.0,0.0191082802548,0.0188679245283,0.251121076233,0.037037037037,0.212389380531,0.0,0.0,0.487922705314,0.051724137931,0.268085106383,0.113970588235,0.552083333333,0.423076923077,0.012987012987,0.337278106509,0.0,0.0,0.0,0.0402298850575,0.458333333333,0.18045112782,0.199413489736,0.328947368421,0.262711864407,0.0,0.0561224489796,0.166666666667,0.406896551724,0.0,0.0,0.669902912621,0.5125,0.455223880597,0.00806451612903,0.0,0.046875,0.0106382978723,0.105714285714,0.0,0.0
Modeler,0.0,0.921276595745,0.695507487521,0.880208333333,0.810094097519,0.910377358491,0.0,0.0,0.873873873874,0.686415711948,0.92303030303,0.802752293578,0.0,0.958762886598,0.89247311828,0.904225352113,0.694779116466,0.736547868623,0.832144816237,0.844773519164,0.870786516854,0.935294117647,0.0,0.789826378313,0.814516129032,0.897959183673,0.0,0.886115444618,0.0,0.829177057357,0.903716216216,0.660519125683,0.628005657709,0.858044164038,0.88,0.826468602296,0.847826086957,0.0,0.853658536585,0.907597535934,0.93063583815,0.98773006135,0.913407821229,0.974330966685,0.965736040609,0.944134078212,0.0,0.539464156408,0.0,0.892857142857,0.830217474246,0.834394904459,0.947239263804,0.791293734744,0.853982300885,0.876041666667,1.0,0.8671875,0.539351851852,0.799420709631,0.829288702929,0.91754756871,0.875675675676,0.946992864424,0.980967486122,0.382532751092,0.763033175355,0.914473684211,0.700851788756,0.919496855346,0.931818181818,0.923329682366,0.796156744537,0.935724266418,0.902313624679,0.658127208481,0.703255813953,0.0,0.858208955224,0.954465849387,0.921875,0.816023738872,0.0,0.890646492435,0.970873786408,0.825962910128,0.968085106383,0.821052631579,0.91167192429,0.992831541219,0.883463841548,0.933333333333,0.874560375147,1.0,0.879396984925,0.0,0.919732441472,0.780966767372,0.0,0.794642857143,0.904177545692,0.849137931034,0.0,0.564,0.986666666667,0.923250564334,0.609375,0.924050632911,1.0,0.0,0.0,0.809966216216,0.891165172855,0.874600638978,0.851423487544,0.758436944938,0.0,0.931787175989,0.549813532232,0.918777292576,0.0,0.527777777778,0.636363636364,0.585347432024,0.993150684932,0.835205992509,0.893784421715,0.79262810908,0.625789473684,0.993865030675,0.657559198543,0.0,0.0,0.673858921162,0.800440407377,0.537288135593,0.0,0.0,0.0,0.946428571429,1.0,0.906666666667,0.907035175879,0.64138576779,0.603448275862,0.867469879518,0.0,0.83,1.0,0.988835725678,1.0,0.728538283063,0.790037648422,0.470657276995,0.860828241684,1.0,0.823779193206,0.689128169503,0.90350877193,0.91935483871,0.869565217391,0.833706606943,0.883997620464,0.0,0.0,0.933973589436,0.917525773196,0.770871985158,0.923366834171,0.876588021779,0.782718120805,0.0,0.679676985195,0.723585912487,0.832684824903,0.0,0.0,0.842105263158,0.775623268698,0.862602805999,0.790804597701,0.0,0.908256880734,0.878504672897,0.713253012048,0.0,0.0
Compression,2.03968253968,2.07853403141,1.83561643836,1.20161290323,1.65217391304,1.48409893993,1.95315315315,2.6017699115,1.18237082067,1.58333333333,1.16386554622,1.46846846847,1.59659090909,0.927710843373,1.74691358025,2.08994708995,1.28189910979,1.71880819367,1.81818181818,1.80669144981,1.35435435435,2.11226611227,2.19480519481,1.52857142857,1.73406193078,1.0071942446,3.2125,1.54074074074,2.36931818182,1.40740740741,1.66666666667,1.60669456067,1.71686746988,1.82592592593,1.87443946188,1.22307692308,2.37558685446,2.13422818792,1.77176015474,1.45294117647,1.72897196262,2.36994219653,1.48979591837,1.04557640751,1.10303030303,2.25396825397,1.58431372549,1.67397260274,1.69194312796,1.17741935484,1.47636363636,1.75862068966,1.43262411348,1.23745173745,1.14583333333,2.31804281346,3.66666666667,2.26262626263,2.4012345679,1.75087719298,1.28086419753,2.192,1.85877862595,1.18861209964,1.18090452261,1.11666666667,1.89386792453,1.59139784946,1.51581508516,1.69230769231,2.436,1.07174887892,1.50798722045,1.34242424242,1.22282608696,1.52395209581,1.55263157895,2.02014652015,2.01923076923,1.0380952381,2.36474164134,4.13114754098,2.15853658537,1.36585365854,1.59437751004,1.775,2.95973154362,1.5298245614,1.44852941176,1.10909090909,1.71544715447,1.57575757576,0.918699186992,1.99103139013,1.58637469586,1.91633466135,1.18120805369,0.831081081081,1.37370242215,1.10303030303,1.15547024952,1.91304347826,1.60582010582,1.88125,2.04651162791,1.4776119403,3.96186440678,1.61805555556,1.8962962963,2.15957446809,1.78947368421,1.62721893491,1.01069518717,1.47912087912,2.3008356546,1.42796610169,1.96226415094,1.64628820961,1.84139784946,1.58333333333,3.09523809524,1.77209302326,2.70833333333,2.71541501976,1.60383386581,1.54193548387,1.6821192053,1.08823529412,1.79432624113,2.85767790262,0.677536231884,1.83248730964,1.73839662447,1.84732824427,1.51412429379,3.53110047847,2.10344827586,1.5818815331,1.57874015748,1.49593495935,1.67039106145,1.69960474308,1.67948717949,1.59731543624,0.959731543624,1.83333333333,1.98245614035,2.6625,2.1981981982,1.60815047022,2.13461538462,1.65065502183,2.3487544484,2.07959183673,1.35338345865,1.66950596252,1.55471698113,1.35682819383,1.5145631068,1.43448275862,2.5462962963,1.51072961373,1.90797546012,1.6456043956,1.79411764706,2.45644599303,1.56790123457,1.6303030303,2.2,1.88479262673,1.63287671233,2.6149068323,1.51111111111,1.5775862069,1.4861878453,1.71428571429,1.89349112426,0.9375,1.07207207207,1.42818428184,2.40251572327,1.86666666667,1.85892116183,2.60119047619,1.86199095023,1.56537102473,1.64375
Average Pairwise P-Distance,0.869500484864,0.830240634165,0.778929961678,0.632431818956,0.815565714707,0.818241190334,0.819956140351,0.864721494374,0.686902947154,0.763470643488,0.748275757806,0.791706587947,0.869749045281,0.648857526882,0.716047482211,0.853372513515,0.781737597462,0.792134176935,0.755606038075,0.748222392735,0.725282838924,0.8393968564,0.826513213981,0.75917552022,0.830959258849,0.675496334456,0.854173943848,0.785510949381,0.854275898394,0.800020015902,0.798441233315,0.795348288758,0.810371511644,0.758717665415,0.848936272622,0.727399954706,0.84117680765,0.865119761969,0.808509889006,0.769726231989,0.762812643359,0.817934048516,0.722416042023,0.621102044874,0.579843410852,0.797863831305,0.892845926763,0.838317775627,0.91598119859,0.733789594889,0.771097840703,0.720190850616,0.732426502772,0.810364159278,0.701416138338,0.856992819553,0.845617184273,0.829384423346,0.872637504629,0.830256266678,0.722565440429,0.838046287507,0.815710778137,0.646084378966,0.562589394874,0.850158970031,0.81292432681,0.737379640452,0.765045442658,0.70970707186,0.872972710439,0.694992576035,0.812831963394,0.624301992431,0.750756748905,0.840998400283,0.838483570419,0.891191658565,0.838723820722,0.616068871707,0.813677097742,0.856286473107,0.831027667984,0.76715550631,0.814361001318,0.800924685342,0.837019396336,0.781586928582,0.817788023026,0.565559160958,0.804869235778,0.864719437303,0.690983337249,0.852134512764,0.774338051894,0.893607893608,0.753260869565,0.719224425297,0.967276422764,0.759040755992,0.723837880142,0.821377516887,0.890007205541,0.784176558601,0.795503621599,0.754258899249,0.884605842884,0.749480144348,0.8129395218,0.916013243626,0.922297080024,0.801795415885,0.615466523602,0.814422013592,0.825768273158,0.824250130972,0.902171555016,0.782015544893,0.841541017971,0.781245719678,0.913054893785,0.807183041015,0.858561252669,0.818052168694,0.880344535105,0.756645321615,0.74696985449,0.773549674471,0.871988444892,0.886282856643,0.624311081639,0.893263639076,0.869448525196,0.833903705436,0.73233924771,0.892102073805,0.880590534086,0.900158730159,0.9298325109,0.746382113821,0.718155882689,0.854911180773,0.736454024274,0.800245106672,0.740567708033,0.856922602529,0.852240392954,0.845692567758,0.795230788902,0.72413100465,0.884270334182,0.840079217461,0.828496524325,0.842436907897,0.751315502523,0.852583504875,0.728952254808,0.837572243464,0.750037012096,0.853421368547,0.872143572144,0.767366493491,0.751939896246,0.888970300223,0.938006930994,0.798769006994,0.716564943831,0.787105769092,0.812432058982,0.768021707351,0.796293459073,0.851608540268,0.808176326615,0.784334533193,0.702223149984,0.895096801347,0.90182946104,0.723936433557,0.783952404347,0.731683966597,0.818228614145,0.921415262001,0.835107088955,0.82981936609,0.820529962658,0.921671671672,0.875042735043
Maximum Pairwise P-Distance,0.90625,0.916666666667,0.928571428571,0.704225352113,0.937888198758,0.956043956044,0.850877192982,0.916666666667,0.7265625,0.895833333333,0.804469273743,0.879310344828,0.936170212766,0.677419354839,0.802083333333,0.947368421053,0.827433628319,0.914285714286,0.885057471264,0.898550724638,0.76862745098,0.896739130435,0.891304347826,0.885,0.891472868217,0.77,0.928571428571,0.881355932203,0.892857142857,0.911111111111,0.873303167421,0.880597014925,0.888888888889,0.836363636364,0.908163265306,0.885245901639,0.939393939394,0.907894736842,0.879396984925,0.88,0.857142857143,0.853107344633,0.815789473684,0.713826366559,0.639705882353,0.869318181818,0.934426229508,0.935779816514,0.942028985507,0.833333333333,0.883928571429,0.811764705882,0.88679245283,0.864768683274,0.822033898305,0.917948717949,0.907894736842,0.89,0.95652173913,0.931506849315,0.832618025751,0.893617021277,0.954022988506,0.676092544987,0.637795275591,0.897297297297,0.972222222222,0.787610619469,0.904761904762,0.941176470588,0.941747572816,0.792207792208,0.904761904762,0.688461538462,0.833333333333,0.931818181818,0.904109589041,0.899253731343,0.921348314607,0.6875,0.918699186992,0.950819672131,0.847826086957,0.866666666667,0.9,0.871794871795,0.90625,0.857142857143,0.913461538462,0.60396039604,0.891304347826,0.975609756098,0.820512820513,0.860655737705,0.836257309942,0.918918918919,0.834782608696,0.781065088757,1.0,0.785714285714,0.794117647059,0.879194630872,0.928571428571,0.859154929577,0.903225806452,0.867469879518,0.961165048544,0.810810810811,0.888888888889,0.959183673469,0.957746478873,0.913793103448,0.65671641791,0.913793103448,0.937984496124,0.865546218487,0.96875,0.952941176471,0.8984375,0.848275862069,0.962264150943,0.851851851852,0.931818181818,0.938596491228,0.925531914894,0.90243902439,0.890052356021,0.888888888889,0.96,0.954954954955,0.6625,0.913580246914,0.881578947368,0.924050632911,0.840579710145,0.965909090909,0.918367346939,0.95,0.945205479452,0.821138211382,0.826086956522,0.916666666667,0.833333333333,0.876923076923,0.794871794872,0.934782608696,0.894117647059,0.922330097087,0.833333333333,0.887573964497,0.953125,0.918032786885,0.926315789474,0.923076923077,0.801169590643,0.880208333333,0.895287958115,0.892655367232,0.837837837838,0.9,0.952380952381,0.915789473684,0.926470588235,0.941176470588,0.942028985507,0.917355371901,0.845528455285,0.918367346939,0.884353741497,0.824242424242,0.850241545894,0.919540229885,0.913043478261,0.90990990991,0.805970149254,0.931818181818,0.958333333333,0.823529411765,0.864406779661,0.834101382488,0.918918918919,0.95652173913,0.921348314607,0.939393939394,0.92700729927,0.959459459459,0.92
Number of Sequences,3.0,8.0,7.0,3.0,6.0,3.0,3.0,4.0,3.0,9.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,7.0,6.0,11.0,4.0,4.0,3.0,7.0,5.0,3.0,5.0,6.0,3.0,8.0,4.0,8.0,5.0,5.0,3.0,11.0,6.0,3.0,4.0,5.0,8.0,5.0,4.0,4.0,4.0,5.0,3.0,7.0,3.0,5.0,8.0,6.0,7.0,5.0,5.0,6.0,6.0,4.0,8.0,6.0,4.0,5.0,5.0,3.0,5.0,4.0,6.0,3.0,11.0,6.0,5.0,4.0,8.0,5.0,4.0,10.0,6.0,3.0,4.0,4.0,7.0,10.0,3.0,7.0,3.0,7.0,5.0,4.0,7.0,3.0,7.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,5.0,6.0,5.0,11.0,4.0,3.0,3.0,3.0,8.0,4.0,5.0,8.0,4.0,3.0,7.0,8.0,6.0,5.0,4.0,4.0,9.0,4.0,4.0,7.0,15.0,10.0,6.0,3.0,3.0,3.0,7.0,11.0,11.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,11.0,6.0,5.0,3.0,6.0,7.0,4.0,3.0,4.0,6.0,9.0,3.0,3.0,7.0,6.0,6.0,6.0,5.0,5.0,4.0,7.0,7.0,3.0,3.0,3.0,4.0,4.0,7.0,6.0,3.0,4.0,7.0,6.0,3.0,3.0
Reference Length,126.0,191.0,73.0,124.0,391.0,283.0,555.0,113.0,329.0,228.0,238.0,111.0,176.0,83.0,162.0,189.0,1011.0,537.0,473.0,269.0,333.0,481.0,77.0,350.0,549.0,139.0,80.0,135.0,176.0,216.0,471.0,239.0,332.0,270.0,223.0,130.0,213.0,149.0,517.0,170.0,321.0,346.0,98.0,373.0,165.0,378.0,255.0,365.0,211.0,124.0,275.0,145.0,141.0,518.0,144.0,327.0,132.0,198.0,324.0,285.0,324.0,125.0,262.0,562.0,199.0,660.0,424.0,186.0,411.0,143.0,250.0,223.0,313.0,330.0,184.0,334.0,418.0,546.0,156.0,105.0,329.0,122.0,82.0,246.0,249.0,280.0,149.0,285.0,136.0,165.0,369.0,165.0,123.0,223.0,411.0,251.0,149.0,296.0,289.0,165.0,521.0,345.0,378.0,160.0,86.0,201.0,236.0,144.0,135.0,188.0,190.0,169.0,187.0,455.0,359.0,236.0,159.0,229.0,372.0,864.0,105.0,215.0,72.0,253.0,313.0,155.0,453.0,136.0,141.0,267.0,276.0,197.0,711.0,131.0,354.0,209.0,87.0,287.0,254.0,246.0,179.0,253.0,234.0,447.0,149.0,126.0,171.0,240.0,222.0,319.0,156.0,458.0,281.0,490.0,266.0,587.0,265.0,454.0,103.0,145.0,108.0,466.0,163.0,364.0,170.0,287.0,243.0,165.0,470.0,651.0,365.0,161.0,315.0,348.0,181.0,266.0,169.0,128.0,111.0,369.0,159.0,180.0,241.0,168.0,442.0,283.0,160.0
