Statistics,tRNA-synt_2b,MHC_II_N,oxidored_q6,kunitz,rep,cyt5,icd,ccH,sodcu,thiored,DEAD,dhfr,cytb,int,fer2,NTP_transferase,annexin,fbpase,DNA_PPF,cat3,HATPase_c,ferritin,TNF,RGS,BIR,Fapy_DNA_glyco,tms,Ribosomal_L6_D,bac_luciferase,ngf,LIM,TyrKc,gtp,MHC_II_beta_NC,hom,cytprime,cryst,glnasn,CPSase_L_chain,EFTU_2,Peptidase_M24,LDLa,sugbp,oat,WW,LuxS,msb,ghf7,plantltp,reductases,mmp,FAD-oxidase_C,squash,ppase,biotin_lipoyl,tgfb,ghf22,Sulfotransfer,scorptoxin,protg,cyt3,HGTP_anticodon,seatoxin,igV,hip,CH,adk,porin,ghf33,MoCF_biosynth,HTH_AraC,sh2,cpa,MM_CoA_mutase,pec_lyase,slectin,cbp,ins,hpr,ets,TIG,Phage_integrase,PDZ,DHOdehase,helicase_C,mycin,fkbp,KISc,histone,ghf5,pdc,adh,kazal,bowman,MHC_II_alpha_NC,laminin_G,HLH,cyclo,tbpc,GEL,CBM_20,igI,Levi_coat,myb_DNA-binding,MHC_II_C,Epimerase,hemopexin,profilin,peroxidase,bromodomain,GLA,TIL,Glyco_hydro_18,parv,cah,DEATH,sti,hla,fer4,ChtBD,ricin,pot,actin,hr,FAD_binding_4,flav,Bac_DNA_binding,Stap_Strp_toxin,kringle,rvp,ghf18,ndk,lipase,PK,HMG_box,zf-CCHH,igcon,sodfe,DMRL_synthase,CBS,RuBisCO_small,Sm,tln,aldedh,TPR,rub,cytc,hormone_rec,Propep_M14,S_100,serbact,pgk,cpn60_TCP1,egf,rnasemam,il8,RRF,Rhodanese,Pro_CA,Lum_binding
1-SPFP,0.411162790698,0.668225108225,0.98332687088,0.989306930693,0.779746835443,0.717299578059,0.921494785632,0.906705539359,0.915726609157,0.513169073917,0.67139061116,0.844580777096,0.883347421809,0.866213151927,0.800522408578,0.761744966443,1.0,0.984864864865,0.407142857143,0.73231511254,0.551210428305,1.0,0.880317231435,0.878627968338,0.922348484848,0.946071904128,0.967213114754,0.379213483146,0.751420454545,0.971875,0.985483870968,0.942269167729,0.836605584642,0.91042047532,0.961215255333,0.847826086957,0.61815008726,0.990150336962,0.662045060659,0.594017094017,0.72860277981,0.934497816594,0.822127139364,0.754077253219,0.858585858586,0.797438882421,0.847901546229,0.945705384958,0.795966785291,0.64789311408,0.986151909358,0.371308016878,0.869047619048,0.8330078125,0.916040100251,0.896855345912,0.97608881298,0.715306980656,0.93210244193,0.494152046784,0.825197889182,0.679298245614,0.802721088435,0.500655307995,0.842987804878,0.761904761905,0.82827240566,0.43250327654,0.611526147279,0.797933409874,0.717948717949,0.872348343878,0.922191780822,0.808270676692,0.606765327696,0.922720247295,0.903421499636,0.925414364641,1.0,0.925925925926,0.977272727273,0.278450363196,0.785986290937,0.7111747851,0.642001409443,0.94180704441,0.987692307692,0.891625615764,0.591397849462,0.596653346653,0.761791652528,0.993020134228,0.871359223301,0.915451895044,0.988847583643,0.630658436214,0.946601941748,0.889632107023,0.988785046729,0.626836434868,0.873189685623,0.610342555995,0.908839779006,0.932673267327,0.997428361499,0.736126840317,0.886042402827,0.94830371567,0.892811296534,0.935483870968,0.806763285024,0.718023255814,0.73823246878,0.990658362989,0.886157826649,0.659562535053,0.811850946854,1.0,0.785904255319,0.914691943128,0.895200783546,0.976315789474,0.672878862187,1.0,0.38127090301,0.870461676378,0.96963562753,0.737118822292,0.926496324816,0.881000676133,0.563181267662,0.997727272727,0.993447808405,0.970297029703,0.96218487395,0.872019635344,0.818357799645,0.88785046729,0.908609271523,0.599156118143,0.912106850495,0.958737864078,0.866514546492,0.901889534884,0.336543909348,0.991836734694,0.950773058468,0.669223826715,0.972067039106,0.894078398666,0.946005509642,0.966539601864,0.72614622057,0.734901960784,0.904953917051,0.850237496507,0.887465690759,0.602557272243,0.835093419984,0.878048780488
1-SPFN,0.361998361998,0.646940486169,0.982945736434,0.989306930693,0.781725888325,0.735294117647,0.920694645441,0.906705539359,0.909090909091,0.505439330544,0.629568106312,0.852425180599,0.870108243131,0.850779510022,0.811115754283,0.77633378933,1.0,0.990217391304,0.37012987013,0.699692780338,0.566832631176,1.0,0.878417266187,0.871727748691,0.913696060038,0.936100131752,0.971658368441,0.308219178082,0.748231966054,0.971875,0.985483870968,0.954612546125,0.837702053298,0.908759124088,0.957501609788,0.843243243243,0.500423848545,0.9891248058,0.618122977346,0.503623188406,0.737777777778,0.938596491228,0.81416464891,0.735454164923,0.858585858586,0.805882352941,0.854643765903,0.947814451383,0.807460890493,0.649495157634,0.987810004203,0.305555555556,0.869047619048,0.84039408867,0.91203992514,0.90253164557,0.97608881298,0.710229645094,0.929334916865,0.492711370262,0.821405121471,0.668046928916,0.819444444444,0.446261682243,0.835347432024,0.769230769231,0.882796543598,0.386190754827,0.591026302218,0.813817330211,0.727272727273,0.880045053501,0.931377974543,0.81234256927,0.615879828326,0.92343387471,0.908270309832,0.929264909847,1.0,0.925925925926,0.97806661251,0.252747252747,0.792626728111,0.710360618203,0.660144927536,0.9375,0.987692307692,0.894563426689,0.488888888889,0.585970076036,0.741168702542,0.993020134228,0.870303030303,0.912790697674,0.988847583643,0.63326446281,0.9450726979,0.889632107023,0.989710009355,0.636815920398,0.877529286475,0.586021505376,0.912621359223,0.943887775551,0.997428361499,0.736126840317,0.889973380657,0.94830371567,0.897419354839,0.935483870968,0.806763285024,0.720116618076,0.723294117647,0.989777777778,0.887305699482,0.61409921671,0.823930564166,1.0,0.800348229832,0.932367149758,0.893275996873,0.976315789474,0.679544328876,1.0,0.363926576217,0.864263462394,0.96963562753,0.695666556401,0.940319715808,0.881596752368,0.576923076923,0.997727272727,0.993447808405,0.971327433628,0.973087818697,0.887263646093,0.828380143697,0.893865261573,0.936518771331,0.552529182879,0.918438177874,0.954106280193,0.870986238532,0.905178701678,0.331658291457,0.991836734694,0.946567586695,0.677478300594,0.972067039106,0.904641350211,0.94861878453,0.967359050445,0.747448979592,0.723272867619,0.937910447761,0.859847414524,0.897317298797,0.613340563991,0.841932841933,0.885764499121
SP-Score,0.386580576348,0.657582797197,0.983136303657,0.989306930693,0.780736361884,0.726296847853,0.921094715536,0.906705539359,0.912408759124,0.50930420223,0.650479358736,0.848502978847,0.87672783247,0.858496330975,0.805819081431,0.769039377886,1.0,0.987541128085,0.388636363636,0.716003946439,0.559021529741,1.0,0.879367248811,0.875177858514,0.918022272443,0.94108601794,0.969435741598,0.343716330614,0.7498262103,0.971875,0.985483870968,0.948440856927,0.83715381897,0.909589799704,0.95935843256,0.8455346651,0.559286967902,0.989637571381,0.640084019002,0.548820141211,0.733190278794,0.936547153911,0.818145894137,0.744765709071,0.858585858586,0.801660617681,0.851272656066,0.94675991817,0.801713837892,0.648694135857,0.986980956781,0.338431786217,0.869047619048,0.836700950585,0.914040012695,0.899693495741,0.97608881298,0.712768312875,0.930718679397,0.493431708523,0.823301505326,0.673672587265,0.81108276644,0.473458495119,0.839167618451,0.765567765568,0.855534474629,0.409347015684,0.601276224748,0.805875370042,0.722610722611,0.876196698689,0.926784877683,0.810306622981,0.611322578011,0.923077061003,0.905845904734,0.927339637244,1.0,0.925925925926,0.977669669891,0.265598807972,0.789306509524,0.710767701651,0.65107316849,0.939653522205,0.987692307692,0.893094521226,0.540143369176,0.591311711345,0.751480177535,0.993020134228,0.870831126802,0.914121296359,0.988847583643,0.631961449512,0.945837319824,0.889632107023,0.989247528042,0.631826177633,0.875359486049,0.598182030686,0.910730569114,0.938280521439,0.997428361499,0.736126840317,0.888007891742,0.94830371567,0.895115325686,0.935483870968,0.806763285024,0.719069936945,0.730763293214,0.990218070384,0.886731763066,0.636830875882,0.81789075551,1.0,0.793126242575,0.923529546443,0.894238390209,0.976315789474,0.676211595532,1.0,0.372598739614,0.867362569386,0.96963562753,0.716392689347,0.933408020312,0.88129871425,0.570052172293,0.997727272727,0.993447808405,0.970812231666,0.967636346323,0.879641640719,0.823368971671,0.890857864431,0.922564021427,0.575842650511,0.915272514185,0.956422072135,0.868750392512,0.903534118281,0.334101100403,0.991836734694,0.948670322582,0.673351063654,0.972067039106,0.899359874438,0.947312147086,0.966949326154,0.736797600081,0.729087414201,0.921432182406,0.855042455516,0.892391494778,0.607948918117,0.838513130958,0.881906639805
TC,0.110465116279,0.357894736842,0.93984962406,0.95,0.52,0.190476190476,0.787878787879,0.796610169492,0.777108433735,0.2,0.526610644258,0.720430107527,0.597826086957,0.628712871287,0.422413793103,0.582236842105,1.0,0.962732919255,0.0687022900763,0.37037037037,0.255813953488,1.0,0.687898089172,0.742647058824,0.752380952381,0.857142857143,0.884210526316,0.0744680851064,0.532738095238,0.935185185185,0.90243902439,0.752442996743,0.431578947368,0.836842105263,0.753623188406,0.697674418605,0.0165745856354,0.966565349544,0.45,0.04,0.563909774436,0.837209302326,0.677740863787,0.575,0.630434782609,0.677215189873,0.510344827586,0.860349127182,0.43956043956,0.297213622291,0.952662721893,0.041958041958,0.758620689655,0.668571428571,0.682352941176,0.538461538462,0.9,0.317567567568,0.794520547945,0.0,0.483050847458,0.373913043478,0.510204081633,0.00751879699248,0.583333333333,0.551724137931,0.349593495935,0.16091954023,0.362694300518,0.545977011494,0.617647058824,0.58064516129,0.834951456311,0.608391608392,0.311720698254,0.817518248175,0.748691099476,0.652173913043,1.0,0.829787234043,0.908045977011,0.131313131313,0.585858585859,0.50773993808,0.252688172043,0.849557522124,0.946902654867,0.768072289157,0.329545454545,0.251928020566,0.558928571429,0.981333333333,0.758620689655,0.714285714286,0.978021978022,0.410256410256,0.880952380952,0.772486772487,0.967391304348,0.342465753425,0.574074074074,0.133333333333,0.807692307692,0.785714285714,0.980198019802,0.539130434783,0.761421319797,0.8671875,0.661891117479,0.844262295082,0.648648648649,0.507692307692,0.533816425121,0.954128440367,0.693726937269,0.290322580645,0.58152173913,1.0,0.462365591398,0.790697674419,0.725274725275,0.955882352941,0.288311688312,1.0,0.0871212121212,0.662857142857,0.915789473684,0.395061728395,0.775280898876,0.693693693694,0.226993865031,0.986754966887,0.982261640798,0.916,0.851851851852,0.685714285714,0.514018691589,0.612440191388,0.751479289941,0.2,0.756756756757,0.87012987013,0.705329153605,0.772908366534,0.0,0.962962962963,0.772727272727,0.395017793594,0.925531914894,0.683673469388,0.837696335079,0.920792079208,0.511627906977,0.529411764706,0.716417910448,0.519480519481,0.763440860215,0.265625,0.674897119342,0.845454545455
Modeler,0.411162790698,0.668225108225,0.98332687088,0.989306930693,0.779746835443,0.717299578059,0.921494785632,0.906705539359,0.915726609157,0.513169073917,0.67139061116,0.844580777096,0.883347421809,0.866213151927,0.800522408578,0.761744966443,1.0,0.984864864865,0.407142857143,0.73231511254,0.551210428305,1.0,0.880317231435,0.878627968338,0.922348484848,0.946071904128,0.967213114754,0.379213483146,0.751420454545,0.971875,0.985483870968,0.942269167729,0.836605584642,0.91042047532,0.961215255333,0.847826086957,0.61815008726,0.990150336962,0.662045060659,0.594017094017,0.72860277981,0.934497816594,0.822127139364,0.754077253219,0.858585858586,0.797438882421,0.847901546229,0.945705384958,0.795966785291,0.64789311408,0.986151909358,0.371308016878,0.869047619048,0.8330078125,0.916040100251,0.896855345912,0.97608881298,0.715306980656,0.93210244193,0.494152046784,0.825197889182,0.679298245614,0.802721088435,0.500655307995,0.842987804878,0.761904761905,0.82827240566,0.43250327654,0.611526147279,0.797933409874,0.717948717949,0.872348343878,0.922191780822,0.808270676692,0.606765327696,0.922720247295,0.903421499636,0.925414364641,1.0,0.925925925926,0.977272727273,0.278450363196,0.785986290937,0.7111747851,0.642001409443,0.94180704441,0.987692307692,0.891625615764,0.591397849462,0.596653346653,0.761791652528,0.993020134228,0.871359223301,0.915451895044,0.988847583643,0.630658436214,0.946601941748,0.889632107023,0.988785046729,0.626836434868,0.873189685623,0.610342555995,0.908839779006,0.932673267327,0.997428361499,0.736126840317,0.886042402827,0.94830371567,0.892811296534,0.935483870968,0.806763285024,0.718023255814,0.73823246878,0.990658362989,0.886157826649,0.659562535053,0.811850946854,1.0,0.785904255319,0.914691943128,0.895200783546,0.976315789474,0.672878862187,1.0,0.38127090301,0.870461676378,0.96963562753,0.737118822292,0.926496324816,0.881000676133,0.563181267662,0.997727272727,0.993447808405,0.970297029703,0.96218487395,0.872019635344,0.818357799645,0.88785046729,0.908609271523,0.599156118143,0.912106850495,0.958737864078,0.866514546492,0.901889534884,0.336543909348,0.991836734694,0.950773058468,0.669223826715,0.972067039106,0.894078398666,0.946005509642,0.966539601864,0.72614622057,0.734901960784,0.904953917051,0.850237496507,0.887465690759,0.602557272243,0.835093419984,0.878048780488
Compression,1.01284796574,1.09375,1.0,1.0,0.988636363636,0.94623655914,1.00230946882,1.0,0.994082840237,0.992424242424,1.01809954751,0.984126984127,1.04,1.01369863014,0.966386554622,0.977491961415,1.0,0.988732394366,1.10687022901,1.07058823529,0.961977186312,1.0,0.988636363636,1.01351351351,1.01212121212,1.01792114695,0.994397759104,1.19417475728,1.0,1.0,1.0,0.993569131833,0.980952380952,1.0,0.959183673469,1.00735294118,1.44270833333,1.0,1.05594405594,1.232,0.969696969697,1.0,0.987841945289,1.01807228916,1.01960784314,0.987654320988,0.981012658228,0.997787610619,0.96875,0.95530726257,1.0,1.16348773842,1.0,0.982638888889,0.973214285714,0.991525423729,1.0,0.981627296588,1.0,0.988235294118,0.976923076923,0.984251968504,0.944444444444,1.19708029197,1.0,0.979020979021,0.820598006645,1.14681440443,0.980802792321,0.965517241379,0.985915492958,0.9921875,0.984984984985,0.989637305699,0.974468085106,1.0,0.99,1.0,1.0,1.0,1.0,1.10373443983,0.981818181818,0.987373737374,0.940366972477,1.0,1.0,0.985436893204,1.21875,0.976595744681,1.0367278798,1.0,0.983606557377,1.0,1.0,0.985915492958,1.0,1.0,1.0,0.96,0.975,0.985815602837,1.0,1.0,1.0,0.975550122249,0.986725663717,1.0,0.97911227154,1.0,1.0,1.0,1.00561797753,1.0,0.992831541219,1.06918238994,0.989898989899,1.0,0.899441340782,0.955555555556,1.0,1.0,0.984649122807,1.0,1.0,1.01639344262,1.0,1.09842519685,1.0,1.00757575758,0.951289398281,1.0,1.0,0.99427480916,1.0,0.974358974359,0.982456140351,0.990867579909,0.945054945055,1.08955223881,0.981927710843,1.0,0.988200589971,1.0,1.01265822785,1.0,1.0,0.980519480519,1.0,1.0,0.99512195122,1.0,0.955752212389,1.01408450704,0.942857142857,0.950617283951,0.979166666667,0.944444444444,0.996268656716,0.991228070175
Average Pairwise P-Distance,0.813060615249,0.69157746224,0.432541212615,0.621300680491,0.696524216524,0.497570671228,0.583461582685,0.652770575865,0.577504625952,0.794302357561,0.703921305539,0.640414891982,0.644403962918,0.774687089415,0.546840027063,0.676688133147,0.428456546658,0.321474752932,0.674867493739,0.752409548259,0.754982275496,0.395941660193,0.68045391178,0.666708669355,0.637616691285,0.596884675783,0.540818317462,0.821860771164,0.698817114418,0.432814449081,0.472027358929,0.549611150813,0.665527900799,0.542842294496,0.647106699063,0.732550430418,0.555849520145,0.482811077208,0.769613204258,0.603161530548,0.778699499205,0.543583686876,0.762125149573,0.761455715607,0.710407900063,0.574859638103,0.733829693113,0.526189692191,0.511895604396,0.77855309792,0.449466071387,0.892280673019,0.522129477589,0.610618569508,0.71074070732,0.56180829161,0.485511040209,0.738017462322,0.536707070444,0.507921318448,0.596915099147,0.779268400873,0.574178324287,0.81766256597,0.666263277859,0.774494364128,0.673693334175,0.754471684433,0.77068656165,0.71772579895,0.727523894863,0.649837334514,0.538145283908,0.675947544238,0.704938332975,0.666731476643,0.616818569791,0.550970474549,0.555956413038,0.514941639368,0.446402349673,0.845144176372,0.693596967243,0.738523872717,0.724893232418,0.602234243589,0.527409429113,0.548908326168,0.826348980178,0.821664031898,0.795805989437,0.360924960618,0.592340974888,0.351111239414,0.552210959782,0.817367294175,0.718990786467,0.559455969637,0.393381802865,0.762799751747,0.482047419162,0.844681223369,0.531445063548,0.592582154704,0.611573779299,0.776182796718,0.679011511958,0.602567561363,0.62742241785,0.657440713035,0.472144413321,0.639874226527,0.724493600477,0.444054946113,0.612811388951,0.803647499156,0.635619647256,0.235393258427,0.667164418006,0.40665221619,0.625041880386,0.612652229351,0.602763160125,0.466850061025,0.821594228125,0.65038575879,0.669831363203,0.674801967022,0.566619523167,0.63385914695,0.801401791822,0.441311587603,0.262909945551,0.52468294926,0.75150051136,0.645335152946,0.670088729725,0.576749866252,0.667755917722,0.689152170795,0.538122283561,0.804998272552,0.564584649463,0.614808567767,0.829902923445,0.378913108719,0.555258866212,0.784890184516,0.505694618273,0.657035371119,0.475470216982,0.485784743044,0.628134386911,0.688783219691,0.578133444705,0.654539898619,0.598179098968,0.773244035327,0.608288055899,0.729374418295
Maximum Pairwise P-Distance,0.882352941176,0.935897435897,0.606299212598,0.839285714286,0.813333333333,0.760563380282,0.735465116279,0.741379310345,0.75,0.931506849315,0.848314606742,0.748427672956,0.733333333333,0.826315789474,0.862068965517,0.811158798283,0.536507936508,0.544554455446,0.917525773196,0.905,0.865168539326,0.482352941176,0.785714285714,0.75,0.704545454545,0.64,0.631782945736,0.898550724638,0.837104072398,0.471698113208,0.6,0.649606299213,0.845161290323,0.78021978022,0.839285714286,0.786885245902,0.811320754717,0.541538461538,0.868686868687,0.869565217391,0.857142857143,0.615384615385,0.807272727273,0.798507462687,0.810810810811,0.65306122449,0.857142857143,0.59585492228,0.763888888889,0.848888888889,0.527950310559,0.938775510204,0.714285714286,0.730994152047,0.835443037975,0.8,0.691056910569,0.872340425532,0.716666666667,0.875,0.747572815534,0.864583333333,0.783783783784,0.936170212766,0.80701754386,0.865384615385,0.837209302326,0.867857142857,0.784126984127,0.84328358209,0.833333333333,0.758241758242,0.692567567568,0.827067669173,0.807692307692,0.765151515152,0.854166666667,0.739130434783,0.682352941176,0.642857142857,0.6,0.903846153846,0.835294117647,0.780068728522,0.818181818182,0.63963963964,0.579439252336,0.666666666667,0.871428571429,0.87044534413,0.841085271318,0.47311827957,0.745454545455,0.491525423729,0.761111111111,0.850649350649,0.793103448276,0.713333333333,0.633333333333,0.85046728972,0.712765957447,0.963855421687,0.775862068966,0.765957446809,0.783505154639,0.808362369338,0.775956284153,0.72131147541,0.843065693431,0.736363636364,0.571428571429,0.733333333333,0.757925072046,0.551401869159,0.7004048583,0.895833333333,0.7875,0.325842696629,0.833333333333,0.487804878049,0.742738589212,0.650793650794,0.854785478548,0.535211267606,0.905263157895,0.794117647059,0.757894736842,0.824175824176,0.688311688312,0.764150943396,0.8875,0.559440559441,0.33180778032,0.564835164835,0.898550724638,0.851851851852,0.847826086957,0.677777777778,0.775362318841,0.766666666667,0.701923076923,0.867647058824,0.717948717949,0.726635514019,0.922413793103,0.545454545455,0.673267326733,0.848214285714,0.682352941176,0.816091954023,0.648351648352,0.530303030303,0.806451612903,0.830188679245,0.732673267327,0.885245901639,0.653409090909,0.888,0.765625,0.804347826087
Number of Sequences,5.0,13.0,5.0,10.0,4.0,6.0,5.0,4.0,7.0,6.0,4.0,4.0,6.0,5.0,13.0,4.0,6.0,4.0,4.0,4.0,6.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,7.0,8.0,4.0,8.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,4.0,5.0,7.0,6.0,4.0,4.0,4.0,7.0,8.0,12.0,5.0,8.0,4.0,6.0,6.0,5.0,9.0,5.0,4.0,9.0,4.0,4.0,4.0,4.0,11.0,4.0,4.0,4.0,5.0,8.0,6.0,5.0,4.0,6.0,4.0,6.0,4.0,5.0,4.0,4.0,4.0,4.0,6.0,4.0,5.0,6.0,5.0,4.0,4.0,5.0,6.0,4.0,5.0,8.0,9.0,4.0,5.0,8.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,7.0,5.0,7.0,5.0,5.0,14.0,5.0,7.0,4.0,4.0,5.0,4.0,6.0,4.0,6.0,9.0,6.0,5.0,4.0,5.0,4.0,5.0,15.0,12.0,8.0,5.0,4.0,7.0,4.0,4.0,4.0,6.0,5.0,11.0,5.0,4.0,6.0,5.0,4.0,4.0,12.0,6.0,11.0,4.0,6.0,4.0,4.0
Reference Length,467.0,96.0,285.0,64.0,88.0,93.0,433.0,65.0,169.0,132.0,442.0,189.0,100.0,219.0,119.0,311.0,323.0,355.0,131.0,255.0,263.0,173.0,176.0,148.0,165.0,279.0,357.0,103.0,336.0,116.0,86.0,311.0,210.0,217.0,98.0,136.0,192.0,334.0,143.0,125.0,363.0,48.0,329.0,498.0,51.0,162.0,158.0,452.0,96.0,358.0,180.0,367.0,36.0,288.0,112.0,118.0,131.0,381.0,74.0,85.0,130.0,127.0,54.0,137.0,88.0,143.0,301.0,361.0,573.0,203.0,71.0,128.0,333.0,193.0,470.0,142.0,200.0,74.0,89.0,112.0,88.0,241.0,110.0,396.0,218.0,116.0,126.0,412.0,96.0,470.0,599.0,375.0,61.0,73.0,187.0,213.0,92.0,203.0,193.0,150.0,120.0,141.0,135.0,61.0,105.0,409.0,226.0,144.0,383.0,145.0,55.0,87.0,534.0,109.0,279.0,159.0,198.0,178.0,179.0,45.0,281.0,70.0,456.0,82.0,314.0,183.0,101.0,254.0,100.0,132.0,349.0,152.0,452.0,524.0,89.0,39.0,114.0,219.0,182.0,67.0,166.0,93.0,339.0,524.0,237.0,54.0,138.0,308.0,98.0,103.0,205.0,435.0,226.0,71.0,140.0,81.0,192.0,216.0,268.0,114.0
