,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL10052799,AL00052441,AL00057282,AL00055186,AL00054403,AL00050715,AL00102031,AL00053377,AL00089447,AL10048599,AL00052799,AL10063763,AL10053473,AL00055594,AL10051350,AL00053335,AL00052150,AL10050412,AL00052086,AL10089447,AL20089447,AL00101215,AL00088995,AL00089048,AL10050815,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL10057468,AL00050799,AL00050021,AL10063410,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00051412,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00063410,AL00047861,AL00051984,AL00052141,AL00088696,AL00053701,AL00069381,AL00089800,AL00109622,AL00068994,AL00053697,AL10109622,AL00051971,AL00103575,AL10056276,AL10050712,AL10050335,AL10054446,AL10054592,AL00089623,AL00063412,AL10054814,AL00049599,AL00051913,AL00057413,AL10074933,AL00051713,AL00054253,AL00069117,AL00054814,AL10053335,AL00050464,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL00052317,AL00050475,AL10101215,AL10057491,AL00055723,AL10050464,AL10069117,AL00051392,AL00100877,AL00054790,AL10054593,AL00051906,AL00053473,AL10050155,AL00050331,AL00052113,AL00051306,AL00052821,AL00057492
1-SPFP,0.923611111111,0.834482758621,0.856060606061,0.460101867572,0.902255639098,0.885375494071,0.973706176962,0.748527679623,0.957219251337,0.828125,0.780816640986,0.615384615385,0.670454545455,0.803116147309,0.847826086957,0.990990990991,0.589211244787,0.801094890511,0.997372569627,1.0,0.946891931418,0.512207527976,0.713567839196,0.64268579492,0.64406779661,1.0,0.707920792079,0.959302325581,1.0,1.0,0.665674475892,0.789897904352,0.702702702703,0.973607038123,0.756554307116,0.851808176101,0.931626701231,0.93752099429,0.871095034528,0.957894736842,0.734705000681,0.748534896111,0.932832080201,0.973273942094,0.952809798271,0.857954545455,0.937871174052,0.731707317073,0.884842579624,0.853741496599,0.938836104513,0.738095238095,0.938271604938,0.992753623188,0.880706921944,0.684282522457,0.965827338129,0.731800766284,0.615408320493,0.661904761905,0.919421487603,0.89979338843,0.874074074074,0.781538461538,1.0,0.566721922918,0.733944954128,0.65488594762,0.809523809524,0.551578947368,0.70777027027,0.772554002541,1.0,0.615748264145,0.972027972028,0.803911173941,1.0,0.772070626003,0.419675835397,0.930481283422,0.790229885057,0.918811881188,0.953405017921,0.758,0.817829457364,0.838226545824,0.749211688039,0.917926565875,0.735606731621,0.913151364764,1.0,0.990675990676,0.509040976037,0.670792731104,0.905882352941,0.803904170364,0.857142857143,0.693731476822,0.770229007634,0.91568296796,0.717723110074,0.889786497403,0.632454739084,0.848656294201,0.499625327838,0.890055436836,0.936559139785,0.650334075724,0.9795221843,0.725162337662,0.977777777778
1-SPFN,0.511538461538,0.834482758621,0.616643929059,0.190442726634,0.526315789474,0.618101545254,0.973706176962,0.735745296671,0.957219251337,0.826280623608,0.67917574133,0.19512195122,0.634408602151,0.772479564033,0.847826086957,0.484581497797,0.52978149447,0.44750254842,0.997372569627,1.0,0.941645774755,0.44102189781,0.229773462783,0.587715336473,0.449704142012,1.0,0.581300813008,0.959302325581,1.0,1.0,0.625259098578,0.798045602606,0.715596330275,0.97503671072,0.701998262381,0.798599594619,0.925032175032,0.922644628099,0.867671143138,0.520594965675,0.672403042773,0.418403811793,0.919012345679,0.914225941423,0.922245467225,0.862857142857,0.937015061616,0.714285714286,0.867929036497,0.886925795053,0.937722419929,0.692737430168,0.885780885781,0.986794717887,0.875549048316,0.56410931098,0.958073148974,0.743190661479,0.500877853022,0.392051282051,0.891982182628,0.520310633214,0.842857142857,0.586605080831,1.0,0.400497876702,0.703812316716,0.489682038324,0.489208633094,0.439597315436,0.697171381032,0.705745792223,0.0350877192982,0.596333720826,0.972027972028,0.725957446809,1.0,0.599750623441,0.326603767204,0.832535885167,0.663449939686,0.916090819348,0.953405017921,0.752730883813,0.659375,0.827055208369,0.598790322581,0.902814657461,0.487525682419,0.858142246405,1.0,0.990675990676,0.44457887587,0.684125705077,0.905882352941,0.720190779014,0.0567375886525,0.59834088936,0.680377612947,0.918781725888,0.47657088351,0.864834548514,0.583173761477,0.418994413408,0.360089110916,0.851643684065,0.936559139785,0.66946885747,0.555125725338,0.679908675799,0.977777777778
SP-Score,0.717574786325,0.834482758621,0.73635226756,0.325272297103,0.714285714286,0.751738519663,0.973706176962,0.742136488147,0.957219251337,0.827202811804,0.729996191158,0.405253283302,0.652431573803,0.787797855671,0.847826086957,0.737786244394,0.559496369629,0.624298719465,0.997372569627,1.0,0.944268853086,0.476614712893,0.47167065099,0.615200565697,0.546885969311,1.0,0.644610802544,0.959302325581,1.0,1.0,0.645466787235,0.793971753479,0.709149516489,0.974321874421,0.729276284748,0.82520388536,0.928329438132,0.930082811194,0.869383088833,0.739244851259,0.703554021727,0.583469353952,0.92592221294,0.943749941758,0.937527632748,0.860405844156,0.937443117834,0.722996515679,0.87638580806,0.870333645826,0.938279262221,0.715416334131,0.91202624536,0.989774170538,0.87812798513,0.624195916718,0.961950243552,0.737495713881,0.558143086758,0.526978021978,0.905701835116,0.710052010822,0.858465608466,0.684071771185,1.0,0.48360989981,0.718878635422,0.572283992972,0.649366221309,0.495588131402,0.702470825651,0.739149897382,0.517543859649,0.606040992486,0.972027972028,0.764934310375,1.0,0.685910624722,0.373139801301,0.881508584295,0.726839912372,0.917451350268,0.953405017921,0.755365441907,0.738602228682,0.832640877096,0.67400100531,0.910370611668,0.61156620702,0.885646805585,1.0,0.990675990676,0.476809925953,0.67745921809,0.905882352941,0.762047474689,0.456940222898,0.646036183091,0.72530331029,0.917232346924,0.597146996792,0.877310522959,0.607814250281,0.633825353804,0.429857219377,0.870849560451,0.936559139785,0.659901466597,0.767323954819,0.702535506731,0.977777777778
TC,0.08888888888888889,0.6,0.5789473684210527,0.10294117647058823,0.38768115942028986,0.34210526315789475,0.8846153846153846,0.2824427480916031,0.90625,0.7232704402515723,0.3431372549019608,0.09821428571428571,0.45161290322580644,0.6807692307692308,0.6341463414634146,0.43956043956043955,0.044,0.36,0.8125,1.0,0.25,0.1040268456375839,0.1388101983002833,0.1076923076923077,0.12,1.0,0.3404255319148936,0.9101123595505618,1.0,1.0,0.07971014492753623,0.47706422018348627,0.23943661971830985,0.8541666666666666,0.4166666666666667,0.4267515923566879,0.7544642857142857,0.6923076923076923,0.47058823529411764,0.006369426751592357,0.16774193548387098,0.13253012048192772,0.797979797979798,0.8827160493827161,0.8247422680412371,0.7868852459016393,0.4888888888888889,0.625,0.5567226890756303,0.4880952380952381,0.8469387755102041,0.5384615384615384,0.75,0.951048951048951,0.7226890756302521,0.0851063829787234,0.8701298701298701,0.5977011494252874,0.1907514450867052,0.381294964028777,0.6881496881496881,0.5214446952595937,0.7152777777777778,0.4,1.0,0.13942307692307693,0.5245901639344263,0.21316614420062696,0.37735849056603776,0.18333333333333332,0.23809523809523808,0.5220588235294118,0.03278688524590164,0.009009009009009009,0.958041958041958,0.20212765957446807,1.0,0.2857142857142857,0.09090909090909091,0.7532467532467533,0.2872340425531915,0.8337950138504155,0.8390804597701149,0.32857142857142857,0.4235294117647059,0.36363636363636365,0.23140495867768596,0.7560975609756098,0.21232876712328766,0.6015037593984962,1.0,0.9746835443037974,0.01971830985915493,0.22926829268292684,0.848314606741573,0.2777777777777778,0.0196078431372549,0.14754098360655737,0.2883435582822086,0.8606965174129353,0.057034220532319393,0.6231884057971014,0.13513513513513514,0.2,0.0972644376899696,0.27884615384615385,0.7936507936507936,0.3010752688172043,0.14606741573033707,0.21428571428571427,0.9555555555555556
Modeler,0.9236111111111112,0.8344827586206897,0.8560606060606061,0.4601018675721562,0.9022556390977443,0.8853754940711462,0.9737061769616027,0.748527679623086,0.9572192513368984,0.828125,0.7808166409861325,0.6153846153846154,0.6704545454545454,0.8031161473087819,0.8478260869565217,0.990990990990991,0.589211244787135,0.801094890510949,0.9973725696269049,1.0,0.9468919314177473,0.512207527975585,0.7135678391959799,0.6426857949200376,0.6440677966101694,1.0,0.7079207920792079,0.9593023255813954,1.0,1.0,0.6656744758923302,0.7898979043524986,0.7027027027027027,0.9736070381231672,0.7565543071161048,0.851808176100629,0.9316267012313675,0.9375209942895533,0.8710950345281158,0.9578947368421052,0.7347050006812917,0.7485348961108151,0.9328320802005012,0.9732739420935412,0.9528097982708934,0.8579545454545454,0.9378711740520785,0.7317073170731707,0.8848425796236526,0.8537414965986394,0.9388361045130641,0.7380952380952381,0.9382716049382716,0.9927536231884058,0.8807069219440353,0.6842825224567963,0.9658273381294964,0.7318007662835249,0.6154083204930663,0.6619047619047619,0.9194214876033058,0.8997933884297521,0.8740740740740741,0.7815384615384615,1.0,0.5667219229175301,0.7339449541284404,0.6548859476203887,0.8095238095238095,0.5515789473684211,0.7077702702702703,0.772554002541296,1.0,0.6157482641453685,0.972027972027972,0.8039111739412146,1.0,0.7720706260032103,0.41967583539738407,0.93048128342246,0.7902298850574713,0.9188118811881189,0.953405017921147,0.758,0.8178294573643411,0.8382265458235644,0.7492116880386799,0.91792656587473,0.7356067316209035,0.913151364764268,1.0,0.9906759906759907,0.5090409760365527,0.6707927311035028,0.9058823529411765,0.8039041703637977,0.8571428571428571,0.6937314768215623,0.7702290076335878,0.9156829679595279,0.7177231100736219,0.8897864974033468,0.6324547390841321,0.8486562942008486,0.4996253278381416,0.8900554368360742,0.9365591397849462,0.6503340757238307,0.9795221843003413,0.7251623376623376,0.9777777777777777
Compression,1.2395209580838322,1.0,1.3932038834951457,2.287425149700599,1.4834437086092715,1.6975308641975309,1.0,1.118881118881119,1.0,1.0123456790123457,1.3611111111111112,2.2016806722689077,1.078740157480315,1.0747330960854093,1.0,1.530612244897959,1.5947712418300655,1.7291666666666667,1.0,1.0,1.3035714285714286,1.8398692810457515,1.7135135135135136,1.9230769230769231,1.4768211920529801,1.0,1.2377049180327868,1.0,1.0,1.0,1.3405797101449275,1.0,0.9466666666666667,1.0,1.2263157894736842,1.247191011235955,1.0489795918367346,1.0598290598290598,1.1944444444444444,2.1243243243243244,1.4789473684210526,2.159090909090909,1.0404040404040404,1.068893528183716,1.099526066350711,1.0,1.0545454545454545,1.0493827160493827,1.0942622950819672,0.8981481481481481,1.0096153846153846,1.0724637681159421,1.2,1.0342465753424657,1.024,1.4757281553398058,1.0384615384615385,0.9775280898876404,1.4790697674418605,1.6319444444444444,1.0662768031189085,1.4690831556503199,1.0657894736842106,1.3503184713375795,1.0,1.5659574468085107,1.1311475409836065,1.6186186186186187,1.606060606060606,1.3464566929133859,1.0232558139534884,1.3142857142857143,2.3176470588235296,2.0168067226890756,1.0,1.3883495145631068,1.0,1.4078947368421053,1.9251700680272108,1.2048192771084338,1.336283185840708,1.005420054200542,1.0,1.0285714285714285,1.422680412371134,1.6,1.5289256198347108,1.041860465116279,1.782312925170068,1.23121387283237,1.0,1.0,2.5440414507772022,1.1148325358851674,1.0,1.4,2.318407960199005,1.6016260162601625,1.388235294117647,1.0,2.1624548736462095,1.101123595505618,1.7716894977168949,1.9622641509433962,2.0945054945054946,1.9310344827586208,1.0,1.0,1.3406113537117903,1.3271604938271604,1.0
Average Pairwise P-Distance,0.584830339321,0.563888888889,0.705501618123,0.73373253493,0.78587196468,0.709053497942,0.765734265734,0.690753690754,0.411458333333,0.716049382716,0.723053181387,0.847338935574,0.51968503937,0.758007117438,0.766666666667,0.795918367347,0.577610842317,0.674603174603,0.782767768124,0.524376417234,0.479415293553,0.676978939724,0.710810810811,0.595913810428,0.769473352255,0.804679802956,0.784153005464,0.624074074074,0.770731707317,0.236842105263,0.715285214536,0.727465986395,0.818666666667,0.344444444444,0.705513784461,0.658105939005,0.62231292517,0.656695156695,0.605291005291,0.559845559846,0.568016194332,0.740868506494,0.447811447811,0.64509394572,0.700157977883,0.737777777778,0.527272727273,0.814814814815,0.635382513661,0.54012345679,0.69184981685,0.859903381643,0.648888888889,0.577625570776,0.482666666667,0.74703628002,0.784615384615,0.786516853933,0.637541528239,0.71047979798,0.452046783626,0.735252309879,0.689692982456,0.855626326964,0.0346666666667,0.60609929078,0.887978142077,0.703521703522,0.757575757576,0.816272965879,0.796899224806,0.788095238095,0.847058823529,0.485623698441,0.622988505747,0.731148867314,0.706793206793,0.74451754386,0.721736313573,0.875502008032,0.727433628319,0.682926829268,0.594318181818,0.808571428571,0.681786941581,0.575355932203,0.687751642297,0.653488372093,0.806555349412,0.572382787412,0.0036036036036,0.383966244726,0.57304835924,0.713861099029,0.696296296296,0.641818181818,0.870646766169,0.652380110758,0.805882352941,0.70243902439,0.65677715786,0.621990369181,0.58648015269,0.719622641509,0.581910397295,0.585449628127,0.680208333333,0.76936026936,0.598253275109,0.677983539095,0.5
Maximum Pairwise P-Distance,0.988023952096,0.8,0.922330097087,0.874251497006,0.870860927152,0.882716049383,1.0,0.867132867133,0.59375,0.83950617284,0.916666666667,0.924369747899,0.779527559055,0.811387900356,0.888888888889,0.925170068027,0.849673202614,0.864583333333,1.0,0.690476190476,0.892857142857,0.875816993464,0.886486486486,0.938461538462,0.94701986755,1.0,0.885245901639,0.866666666667,0.878048780488,0.302631578947,0.876811594203,0.883928571429,0.973333333333,0.541666666667,0.836842105263,0.814606741573,0.751020408163,0.888888888889,0.916666666667,0.924324324324,0.8,0.931818181818,0.838383838384,0.816283924843,0.767772511848,0.853333333333,0.854545454545,0.901234567901,0.829918032787,0.935185185185,0.913461538462,0.884057971014,0.933333333333,0.657534246575,0.752,0.917475728155,0.858974358974,0.887640449438,0.860465116279,0.951388888889,0.834307992203,0.942430703625,0.815789473684,0.936305732484,0.048,0.829787234043,0.967213114754,0.885885885886,0.833333333333,0.905511811024,0.906976744186,0.885714285714,0.929411764706,0.840336134454,0.68275862069,0.907766990291,0.909090909091,0.921052631579,0.893424036281,0.903614457831,0.87610619469,0.772357723577,0.818181818182,0.885714285714,0.876288659794,0.98,0.892561983471,0.758139534884,0.945578231293,0.878612716763,0.00540540540541,0.506329113924,0.79792746114,0.913875598086,0.866666666667,0.925,0.935323383085,0.894308943089,0.882352941176,0.741463414634,0.884476534296,0.876404494382,0.803652968037,0.852830188679,0.894505494505,0.844827586207,0.8125,0.888888888889,0.921397379913,0.827160493827,0.586956521739
Number of Sequences,4,4,4,6,3,6,34,9,4,3,13,4,3,3,4,3,22,7,119,7,95,10,4,53,7,29,3,4,5,3,29,7,5,6,7,7,6,9,21,8,13,8,7,3,6,3,15,3,10,7,7,3,6,4,4,20,6,3,8,11,5,4,4,3,3,16,4,11,3,4,6,6,3,82,3,16,14,4,15,3,5,3,5,6,6,60,13,5,11,10,3,4,25,12,3,11,3,24,5,3,11,8,28,5,13,51,6,9,4,12,4
Reference Length,167,60,206,167,302,162,26,143,32,162,108,119,127,281,45,147,306,96,32,84,56,306,555,65,151,20,122,90,41,76,138,112,75,48,380,356,245,117,36,185,190,176,99,479,211,75,55,81,488,108,104,69,45,146,125,206,78,89,215,144,513,469,152,157,125,235,61,333,66,127,43,140,85,119,145,206,22,152,441,83,113,369,88,70,97,50,121,215,147,173,185,79,386,209,180,40,201,123,170,205,277,89,438,265,455,116,64,99,229,162,46
