,RoseSmallS1R04,RoseSmallS1R01,RoseSmallS1R06,RoseSmallS1R07,RoseSmallS1R08,RoseSmallS1R05,RoseSmallS1R10,RoseSmallS1R03,RoseSmallS1R09,RoseSmallS1R02
1-SPFP,0.200020457219,0.304414266649,0.296232280102,0.278287733192,0.167821183365,0.254431099594,0.135285042229,0.210342370234,0.338530754996,0.223144003966
1-SPFN,0.196853167972,0.300420252554,0.291428072156,0.274094147471,0.165581348439,0.251161399192,0.132546987968,0.207515625315,0.334285570588,0.220824609925
SP-Score,0.198436812595,0.302417259601,0.293830176129,0.276190940332,0.166701265902,0.252796249393,0.133916015099,0.208928997775,0.336408162792,0.221984306946
TC,0.003902439024390244,0.001932367149758454,0.001968503937007874,0.0029702970297029703,0.0048216007714561235,0.008858267716535433,9.930486593843098E-4,0.003948667324777887,0.001953125,0.001943634596695821
Modeler,0.2000204572188411,0.3044142666490082,0.29623228010247654,0.27828773319223743,0.167821183365419,0.25443109959375204,0.13528504222911755,0.21034237023448663,0.3385307549956707,0.22314400396634043
Compression,1.0993788819875776,1.095667870036101,1.106115107913669,1.1013574660633485,1.077260755048288,1.0650994575045207,1.1520947176684881,1.106946983546618,1.0793795620437956,1.0421146953405018
Average Pairwise P-Distance,0.691409900916,0.689072400044,0.681463765468,0.691980376963,0.69908994381,0.690398464325,0.701618126912,0.695136187508,0.690795764477,0.689124496217
Maximum Pairwise P-Distance,0.741116751269,0.744744744745,0.740181268882,0.738647830474,0.74297188755,0.746208291203,0.741573033708,0.743434343434,0.731658291457,0.736040609137
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1127,1108,1112,1105,1139,1106,1098,1094,1096,1116
Estimated Length,1239,1214,1230,1217,1227,1178,1265,1211,1183,1163
Maximum Ungapped Length,1017,1014,1012,1011,1012,1008,1006,1012,1018,1017
Sequence Length Heterogeneity,0.00527347693903,0.00474915468148,0.00526982890635,0.00535095374259,0.00475521555144,0.00375767609933,0.00490518246443,0.00465509681522,0.00546264757821,0.00658330794053
Gappiness Percentage,0.108535936114,0.0936462093863,0.0997482014388,0.094334841629,0.118770851624,0.0944665461121,0.092349726776,0.0859232175503,0.0851094890511,0.101684587814
Average Gap Length,2.31842304776,2.02973395931,2.12490421456,2.08313349321,2.24270557029,2.49236641221,1.84901531729,2.01371036847,2.13944954128,2.16070068545
Median Gap Length,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
