Statistics,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL00052441,AL00057282,AL00055186,AL00054403,AL00050715,AL00102031,AL00053377,AL00089447,AL10048599,AL10063763,AL00055594,AL00052150,AL00052086,AL20089447,AL00101215,AL00088995,AL00089048,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL00050799,AL10063410,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00047861,AL00051984,AL00052141,AL00088696,AL00069381,AL00089800,AL00109622,AL00068994,AL10109622,AL00103575,AL10056276,AL10050712,AL10050335,AL10054446,AL00089623,AL10054814,AL00049599,AL00057413,AL10074933,AL00051713,AL00054253,AL00069117,AL00054814,AL00050464,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL10101215,AL10057491,AL00055723,AL10069117,AL00051392,AL00054790,AL00051906,AL00050331,AL00052113,AL00051306,AL00052821,AL00057492
1-SPFP,0.756756756757,0.972413793103,0.580732700136,0.281229980782,0.5935302391,0.713325867861,0.675170068027,1.0,0.828193832599,0.71829105474,0.405349794239,0.681818181818,0.885402455662,0.831896551724,0.576131687243,0.396325459318,1.0,0.19031377899,0.55864978903,0.626923076923,0.988372093023,1.0,1.0,0.875201721356,0.739910313901,0.973607038123,0.663914688682,0.88517975055,0.913266945069,0.898960363873,0.71736619176,0.512093162138,0.962469135802,0.952083333333,0.968325791855,0.784090909091,0.955956184391,0.668269230769,0.799319727891,0.951306413302,0.629834254144,0.964953271028,0.992797118848,0.882778581766,0.972370766488,0.731800766284,0.518681318681,0.45002589332,0.573472757292,0.854415274463,0.578341013825,1.0,0.643274853801,0.58273381295,0.477049180328,0.948419301165,0.762839007501,0.511627906977,0.97668997669,1.0,0.721945137157,0.760563380282,0.914560770156,0.943786982249,0.863095238095,0.754716981132,0.680765357503,0.680073431242,0.879109225875,0.661657491445,0.90230558812,1.0,0.990675990676,0.949019607843,0.730486008837,0.392018779343,0.812080536913,0.913996627319,0.88042269188,0.576682859126,0.931182795699,0.665928386859,0.781431334623,0.681925575901,0.966666666667
1-SPFN,0.753846153846,0.972413793103,0.583901773533,0.308503162333,0.616959064327,0.703090507726,0.689435600579,1.0,0.837416481069,0.72105880382,0.436807095344,0.645161290323,0.884196185286,0.839130434783,0.616740088106,0.461773700306,1.0,0.22572815534,0.559594251902,0.662601626016,0.988372093023,1.0,1.0,0.883279044517,0.756880733945,0.97503671072,0.670721112076,0.889257416621,0.914736164736,0.914710743802,0.710526315789,0.510720667064,0.962469135802,0.956066945607,0.970013947001,0.788571428571,0.955956184391,0.661904761905,0.83038869258,0.950177935943,0.63687150838,0.962703962704,0.992797118848,0.893118594436,0.973238180196,0.743190661479,0.532731376975,0.445641025641,0.622461170848,0.852380952381,0.579676674365,1.0,0.645161290323,0.58273381295,0.488255033557,0.948419301165,0.767266395821,0.514619883041,0.97668997669,1.0,0.721945137157,0.775119617225,0.916767189385,0.944718657453,0.866188769415,0.754716981132,0.704166666667,0.684643817204,0.880509824748,0.652626944526,0.897396035756,1.0,0.990675990676,0.949019607843,0.788553259141,0.394799054374,0.815913688469,0.917089678511,0.887829500841,0.58030726257,0.931182795699,0.689338937715,0.781431334623,0.702891933029,0.966666666667
SP-Score,0.755301455301,0.972413793103,0.582317236835,0.294866571557,0.605244651714,0.708208187794,0.682302834303,1.0,0.832805156834,0.71967492928,0.421078444791,0.66348973607,0.884799320474,0.835513493253,0.596435887674,0.429049579812,1.0,0.208020967165,0.559122020466,0.64476235147,0.988372093023,1.0,1.0,0.879240382936,0.748395523923,0.974321874421,0.667317900379,0.887218583585,0.914001554903,0.906835553837,0.713946253775,0.511406914601,0.962469135802,0.95407513947,0.969169869428,0.786331168831,0.955956184391,0.665086996337,0.814854210235,0.950742174622,0.633352881262,0.963828616866,0.992797118848,0.887948588101,0.972804473342,0.737495713881,0.525706347828,0.44783345948,0.59796696407,0.853398113422,0.579008844095,1.0,0.644218072062,0.58273381295,0.482652106942,0.948419301165,0.765052701661,0.513123895009,0.97668997669,1.0,0.721945137157,0.767841498753,0.915663979771,0.944252819851,0.864642003755,0.754716981132,0.692466012085,0.682358624223,0.879809525311,0.657142217985,0.899850811938,1.0,0.990675990676,0.949019607843,0.759519633989,0.393408916858,0.813997112691,0.915543152915,0.884126096361,0.578495060848,0.931182795699,0.677633662287,0.781431334623,0.692408754465,0.966666666667
TC,0.533333333333,0.933333333333,0.263157894737,0.110294117647,0.347826086957,0.223684210526,0.129770992366,1.0,0.729559748428,0.372549019608,0.133928571429,0.467741935484,0.8,0.658536585366,0.406593406593,0.146666666667,1.0,0.028328611898,0.26,0.446808510638,0.977528089888,1.0,1.0,0.651376146789,0.323943661972,0.854166666667,0.33630952381,0.636942675159,0.696428571429,0.606837606838,0.15923566879,0.150602409639,0.878787878788,0.91975308642,0.938144329897,0.672131147541,0.666666666667,0.555555555556,0.297619047619,0.867346938776,0.492307692308,0.84375,0.979020979021,0.731092436975,0.896103896104,0.597701149425,0.236994219653,0.115107913669,0.291196388262,0.736111111111,0.348387096774,1.0,0.327868852459,0.433962264151,0.116666666667,0.833333333333,0.536764705882,0.459016393443,0.965034965035,1.0,0.394557823129,0.649350649351,0.734042553191,0.891966759003,0.632183908046,0.357142857143,0.435294117647,0.264462809917,0.741463414634,0.287671232877,0.631578947368,1.0,0.974683544304,0.915730337079,0.388888888889,0.254901960784,0.558282208589,0.860696517413,0.594202898551,0.240909090909,0.761904761905,0.311827956989,0.573033707865,0.168831168831,0.933333333333
Modeler,0.756756756757,0.972413793103,0.580732700136,0.281229980782,0.5935302391,0.713325867861,0.675170068027,1.0,0.828193832599,0.71829105474,0.405349794239,0.681818181818,0.885402455662,0.831896551724,0.576131687243,0.396325459318,1.0,0.19031377899,0.55864978903,0.626923076923,0.988372093023,1.0,1.0,0.875201721356,0.739910313901,0.973607038123,0.663914688682,0.88517975055,0.913266945069,0.898960363873,0.71736619176,0.512093162138,0.962469135802,0.952083333333,0.968325791855,0.784090909091,0.955956184391,0.668269230769,0.799319727891,0.951306413302,0.629834254144,0.964953271028,0.992797118848,0.882778581766,0.972370766488,0.731800766284,0.518681318681,0.45002589332,0.573472757292,0.854415274463,0.578341013825,1.0,0.643274853801,0.58273381295,0.477049180328,0.948419301165,0.762839007501,0.511627906977,0.97668997669,1.0,0.721945137157,0.760563380282,0.914560770156,0.943786982249,0.863095238095,0.754716981132,0.680765357503,0.680073431242,0.879109225875,0.661657491445,0.90230558812,1.0,0.990675990676,0.949019607843,0.730486008837,0.392018779343,0.812080536913,0.913996627319,0.88042269188,0.576682859126,0.931182795699,0.665928386859,0.781431334623,0.681925575901,0.966666666667
Compression,0.994011976048,1.0,0.936893203883,0.832335329341,0.956953642384,1.07407407407,1.00699300699,1.0,0.993827160494,1.0,0.915966386555,1.07874015748,1.0,0.977777777778,0.925170068027,0.833333333333,1.0,0.852252252252,1.06622516556,0.94262295082,1.0,1.0,1.0,0.991071428571,0.946666666667,1.0,0.971052631579,0.983146067416,1.04081632653,0.965811965812,1.30810810811,1.11931818182,1.0,0.991649269311,0.995260663507,1.0,1.0,1.02469135802,0.898148148148,1.00961538462,1.0,1.02222222222,1.0,0.984,1.0,0.977528089888,0.958139534884,1.04861111111,0.923240938166,1.0,1.0,1.0,1.01639344262,1.0,1.0,1.0,1.01428571429,0.917647058824,1.0,1.0,1.0,0.975903614458,1.0,1.0,1.0,1.0,0.958762886598,0.96694214876,1.0,1.08163265306,1.1098265896,1.0,1.0,1.0,0.85,0.965174129353,0.982352941176,1.0,1.0,0.924528301887,1.0,0.959595959596,1.0,0.938271604938,1.0
Average Pairwise P-Distance,0.814298018949,0.52922705314,0.72558849887,0.866442755423,0.76663335237,0.716576829227,0.786193787616,0.402721774194,0.703348308521,0.809063244915,0.888737204087,0.516129032258,0.749552440302,0.788040385601,0.85097728965,0.847672274575,0.524376417234,0.850695955925,0.815129818058,0.792347415101,0.619511754885,0.770731707317,0.236842105263,0.737639698197,0.839825595677,0.308458383227,0.784573698352,0.698984691535,0.647427116702,0.678466734187,0.708650643938,0.809471716687,0.444285188746,0.6296426235,0.732845499985,0.743230079875,0.619349125512,0.828544212133,0.607942720467,0.732430894085,0.861909953792,0.774176562685,0.572314102178,0.467356948607,0.785150303873,0.787018255578,0.739221783702,0.860946387181,0.749079248371,0.693491285403,0.851960784314,0.0346666666667,0.886406493972,0.744036970781,0.818706564327,0.809847374847,0.801628915955,0.912852664577,0.622377622378,0.706793206793,0.744416359698,0.879336650083,0.784402974313,0.666253343173,0.589742678725,0.807710109027,0.761102969559,0.794908485751,0.657215231991,0.832150611068,0.725144030768,0.0036036036036,0.343550331525,0.690131311764,0.766103536779,0.929481607917,0.812615551788,0.697150997151,0.724044994574,0.811895826654,0.681441666037,0.821851041798,0.746465242071,0.803832859116,0.5
Maximum Pairwise P-Distance,0.976744186047,0.739130434783,0.880733944954,0.955056179775,0.839805825243,0.89,0.910256410256,0.58064516129,0.824324324324,0.942857142857,0.918918918919,0.774193548387,0.788844621514,0.864864864865,0.867647058824,0.975,0.690476190476,0.922222222222,0.934579439252,0.829545454545,0.855421686747,0.878048780488,0.302631578947,0.8625,0.983050847458,0.511111111111,0.87265917603,0.80534351145,0.755980861244,0.842105263158,0.945054945055,0.928057553957,0.833333333333,0.72641509434,0.828125,0.810344827586,0.825,0.885714285714,0.904109589041,0.884615384615,0.929824561404,0.90625,0.647887323944,0.718181818182,0.864864864865,0.882352941176,0.885496183206,0.954545454545,0.895833333333,0.801470588235,0.935714285714,0.048,0.964912280702,0.807692307692,0.893617021277,0.923076923077,0.883333333333,0.945454545455,0.678321678322,0.909090909091,0.909090909091,0.906666666667,0.884615384615,0.743119266055,0.8125,0.89552238806,0.873015873016,0.957746478873,0.737704918033,0.949579831933,0.879310344828,0.00540540540541,0.442857142857,0.855421686747,0.913043478261,0.949275362319,0.883720930233,0.732323232323,0.84126984127,0.862595419847,0.803278688525,0.954545454545,0.83908045977,0.923076923077,0.577777777778
Number of Sequences,4.0,4.0,4.0,6.0,3.0,6.0,9.0,4.0,3.0,13.0,4.0,3.0,3.0,4.0,3.0,7.0,7.0,4.0,7.0,3.0,4.0,5.0,3.0,7.0,5.0,6.0,7.0,7.0,6.0,9.0,8.0,8.0,7.0,3.0,6.0,3.0,15.0,3.0,7.0,7.0,3.0,6.0,4.0,4.0,6.0,3.0,8.0,11.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,6.0,6.0,3.0,3.0,14.0,4.0,3.0,5.0,3.0,5.0,6.0,6.0,13.0,5.0,11.0,10.0,3.0,4.0,3.0,11.0,3.0,5.0,3.0,8.0,5.0,6.0,9.0,4.0,12.0,4.0
Reference Length,167.0,60.0,206.0,167.0,302.0,162.0,143.0,32.0,162.0,108.0,119.0,127.0,281.0,45.0,147.0,96.0,84.0,555.0,151.0,122.0,90.0,41.0,76.0,112.0,75.0,48.0,380.0,356.0,245.0,117.0,185.0,176.0,99.0,479.0,211.0,75.0,55.0,81.0,108.0,104.0,69.0,45.0,146.0,125.0,78.0,89.0,215.0,144.0,469.0,152.0,157.0,125.0,61.0,66.0,127.0,43.0,140.0,85.0,145.0,22.0,152.0,83.0,113.0,369.0,88.0,70.0,97.0,121.0,215.0,147.0,173.0,185.0,79.0,180.0,40.0,201.0,170.0,205.0,89.0,265.0,64.0,99.0,229.0,162.0,46.0
