,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL10052799,AL00052441,AL00057282,AL00055186,AL00054403,AL00050715,AL00102031,AL00053377,AL00089447,AL10048599,AL00052799,AL10063763,AL10053473,AL00055594,AL10051350,AL00053335,AL00052150,AL10050412,AL00052086,AL10089447,AL20089447,AL00101215,AL00088995,AL00089048,AL10050815,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL10057468,AL00050799,AL00050021,AL10063410,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00051412,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00063410,AL00047861,AL00051984,AL00052141,AL00088696,AL00053701,AL00069381,AL00089800,AL00109622,AL00068994,AL00053697,AL10109622,AL00051971,AL00103575,AL10056276,AL10050712,AL10050335,AL10054446,AL10054592,AL00089623,AL00063412,AL10054814,AL00049599,AL00051913,AL00057413,AL10074933,AL00051713,AL00054253,AL00069117,AL00054814,AL10053335,AL00050464,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL00052317,AL00050475,AL10101215,AL10057491,AL00055723,AL10050464,AL10069117,AL00051392,AL00100877,AL00054790,AL10054593,AL00051906,AL00053473,AL10050155,AL00050331,AL00052113,AL00051306,AL00052821,AL00057492
1-SPFP,0.536036036036,0.848275862069,0.581137309293,0.280959752322,0.484626647145,0.671717171717,0.763316182332,0.697486275643,0.978609625668,0.813333333333,0.631578947368,0.188118811881,0.664772727273,0.836592178771,0.670103092784,0.470588235294,0.546280014989,0.31843575419,0.940714583976,1.0,0.889722749285,0.46798274718,0.21396731055,0.359831073316,0.472632079962,0.94474863116,0.610655737705,0.923976608187,1.0,1.0,0.629656289365,0.721275426058,0.648264984227,0.973607038123,0.707689575564,0.853798996842,0.939286861548,0.928827946458,0.768832959835,0.695309420575,0.601609135738,0.405524168236,0.888888888889,0.935146443515,0.934592514865,0.828571428571,0.935145010276,0.632432432432,0.82689344919,0.807692307692,0.778903456496,0.76,0.802380952381,0.987995198079,0.898550724638,0.584497825812,0.979500891266,0.74693877551,0.516718913271,0.430436072382,0.887174966946,0.566782810685,0.838983050847,0.524154589372,1.0,0.43146455915,0.412903225806,0.415115139637,0.436090225564,0.364173228346,0.820642978003,0.764078245406,0.0,0.441707157476,0.972027972028,0.695731303772,1.0,0.697318007663,0.395118531177,0.699453551913,0.800248138958,0.914031620553,0.937799043062,0.667368421053,0.514170040486,0.873564888824,0.608856088561,0.875536480687,0.411829740188,0.858370855506,1.0,0.990675990676,0.522166998012,0.562160694897,0.889328063241,0.585677749361,0.0567164179104,0.585375094721,0.647101449275,0.897785349233,0.584172295145,0.912800447177,0.605950956105,0.475446428571,0.370563880126,0.878538301615,0.941935483871,0.780023319083,0.658051689861,0.646044936904,1.0
1-SPFN,0.457692307692,0.848275862069,0.571623465211,0.255094869993,0.483918128655,0.66059602649,0.732679465776,0.698697539797,0.978609625668,0.815144766147,0.566929133858,0.168514412417,0.629032258065,0.816076294278,0.565217391304,0.493392070485,0.511222012409,0.290519877676,0.922994023709,1.0,0.870313170907,0.411824817518,0.233009708738,0.269372217562,0.419695688926,0.934975369458,0.605691056911,0.918604651163,1.0,1.0,0.590335020487,0.71226927253,0.628440366972,0.97503671072,0.692441355343,0.846876727474,0.940797940798,0.940495867769,0.730429086145,0.672768878719,0.578126948497,0.384752829065,0.869135802469,0.935146443515,0.931659693166,0.828571428571,0.934504792332,0.557142857143,0.801505286423,0.816254416961,0.775207591934,0.743016759777,0.785547785548,0.987995198079,0.90775988287,0.520430026689,0.980374665477,0.712062256809,0.496112365187,0.372051282051,0.896659242762,0.583034647551,0.825,0.501154734411,1.0,0.383731146581,0.375366568915,0.356811960413,0.41726618705,0.310402684564,0.806988352745,0.748113755078,0.0,0.378270589287,0.972027972028,0.671010638298,1.0,0.680798004988,0.304927124548,0.612440191388,0.778045838359,0.913129318855,0.936678614098,0.62959285005,0.529166666667,0.830162621275,0.526713709677,0.866702071163,0.328001174053,0.815001943257,1.0,0.990675990676,0.446001018849,0.556271823798,0.882352941176,0.546104928458,0.0449172576832,0.447091733385,0.602157788267,0.891708967851,0.546560152617,0.915872125631,0.534442971473,0.446229050279,0.253763586039,0.86822869335,0.941935483871,0.766908674054,0.640232108317,0.63896499239,1.0
SP-Score,0.496864171864,0.848275862069,0.576380387252,0.268027311157,0.4842723879,0.666156599104,0.747997824054,0.69809190772,0.978609625668,0.81423904974,0.599254040613,0.178316612149,0.646902492669,0.826334236524,0.617660242044,0.481990152889,0.528751013699,0.304477815933,0.931854303843,1.0,0.880017960096,0.439903782349,0.223488509644,0.314601645439,0.446163884444,0.939862000309,0.608173397308,0.921290629675,1.0,1.0,0.609995654926,0.716772349294,0.6383526756,0.974321874421,0.700065465454,0.850337862158,0.940042401173,0.934661907113,0.74963102299,0.684039149647,0.589868042118,0.39513849865,0.879012345679,0.935146443515,0.933126104016,0.828571428571,0.934824901304,0.594787644788,0.814199367806,0.811973362327,0.777055524215,0.751508379888,0.793964368964,0.987995198079,0.903155303754,0.55246392625,0.979937778371,0.72950051616,0.506415639229,0.401243677217,0.891917104854,0.574908729118,0.831991525424,0.512654661892,1.0,0.407597852866,0.394134897361,0.385963550025,0.426678206307,0.337287956455,0.813815665374,0.756096000242,0.0,0.409988873381,0.972027972028,0.683370971035,1.0,0.689058006325,0.350022827863,0.65594687165,0.789146988659,0.913580469704,0.93723882858,0.648480635551,0.521668353576,0.85186375505,0.567784899119,0.871119275925,0.369915457121,0.836686399381,1.0,0.990675990676,0.48408400843,0.559216259347,0.885840502209,0.565891338909,0.0508168377968,0.516233414053,0.624629618771,0.894747158542,0.565366223881,0.914336286404,0.570196963789,0.460837739425,0.312163733083,0.873383497483,0.941935483871,0.773465996569,0.649141899089,0.642504964647,1.0
TC,0.0,0.6333333333333333,0.25263157894736843,0.051470588235294115,0.17391304347826086,0.13157894736842105,0.38461538461538464,0.12213740458015267,0.9375,0.6918238993710691,0.14705882352941177,0.0,0.4435483870967742,0.7346153846153847,0.34146341463414637,0.25274725274725274,0.028,0.04,0.09375,1.0,0.0,0.08053691275167785,0.025495750708215296,0.015384615384615385,0.03333333333333333,0.25,0.3617021276595745,0.8314606741573034,1.0,1.0,0.057971014492753624,0.22935779816513763,0.014084507042253521,0.8541666666666666,0.35119047619047616,0.5031847133757962,0.78125,0.7435897435897436,0.17647058823529413,0.22929936305732485,0.2,0.012048192771084338,0.6363636363636364,0.904320987654321,0.8505154639175257,0.7377049180327869,0.5333333333333333,0.4027777777777778,0.39705882352941174,0.2619047619047619,0.5102040816326531,0.5230769230769231,0.59375,0.972027972027972,0.773109243697479,0.005319148936170213,0.9090909090909091,0.5517241379310345,0.15028901734104047,0.17985611510791366,0.6652806652806653,0.23024830699774265,0.6458333333333334,0.2645161290322581,1.0,0.019230769230769232,0.0,0.06583072100313479,0.2830188679245283,0.0,0.5952380952380952,0.5294117647058824,0.0,0.02702702702702703,0.958041958041958,0.047872340425531915,1.0,0.2585034013605442,0.07532467532467532,0.5194805194805194,0.48936170212765956,0.8254847645429363,0.7931034482758621,0.21428571428571427,0.24705882352941178,0.09090909090909091,0.12396694214876033,0.6634146341463415,0.0,0.5112781954887218,1.0,0.9746835443037974,0.01971830985915493,0.11707317073170732,0.8089887640449438,0.16666666666666666,0.0,0.02459016393442623,0.32515337423312884,0.8208955223880597,0.049429657794676805,0.6521739130434783,0.056511056511056514,0.1318181818181818,0.0,0.18269230769230768,0.8253968253968254,0.3225806451612903,0.29213483146067415,0.2077922077922078,1.0
Modeler,0.536036036036036,0.8482758620689655,0.5811373092926491,0.28095975232198145,0.48462664714494874,0.6717171717171717,0.763316182332053,0.6974862756428778,0.9786096256684492,0.8133333333333334,0.631578947368421,0.18811881188118812,0.6647727272727273,0.8365921787709497,0.6701030927835051,0.47058823529411764,0.5462800149894785,0.31843575418994413,0.9407145839763258,1.0,0.8897227492849253,0.46798274717982746,0.2139673105497771,0.35983107331647896,0.4726320799619229,0.944748631159781,0.610655737704918,0.9239766081871345,1.0,1.0,0.6296562893647651,0.7212754260582738,0.6482649842271293,0.9736070381231672,0.707689575563843,0.8537989968419097,0.9392868615483456,0.9288279464577212,0.7688329598345113,0.6953094205754828,0.6016091357383857,0.40552416823603266,0.8888888888888888,0.9351464435146444,0.9345925148653376,0.8285714285714286,0.9351450102763188,0.6324324324324324,0.8268934491896223,0.8076923076923077,0.7789034564958284,0.76,0.8023809523809524,0.9879951980792316,0.8985507246376812,0.5844978258116267,0.9795008912655971,0.746938775510204,0.5167189132706375,0.4304360723820825,0.8871749669457911,0.5667828106852497,0.8389830508474576,0.5241545893719807,1.0,0.4314645591504075,0.4129032258064516,0.41511513963743263,0.43609022556390975,0.3641732283464567,0.8206429780033841,0.7640782454060462,0.0,0.4417071574756011,0.972027972027972,0.6957313037723362,1.0,0.6973180076628352,0.3951185311774243,0.6994535519125683,0.8002481389578163,0.9140316205533597,0.937799043062201,0.6673684210526316,0.5141700404858299,0.8735648888242988,0.6088560885608856,0.8755364806866953,0.41182974018794916,0.8583708555055259,1.0,0.9906759906759907,0.5221669980119285,0.5621606948968513,0.8893280632411067,0.5856777493606138,0.056716417910447764,0.5853750947208891,0.6471014492753623,0.8977853492333902,0.5841722951446413,0.912800447177194,0.605950956105436,0.47544642857142855,0.37056388012618297,0.8785383016152247,0.9419354838709677,0.7800233190827828,0.658051689860835,0.6460449369036627,1.0
Compression,1.0838323353293413,1.0,0.9854368932038835,1.029940119760479,1.0,1.0493827160493827,1.1153846153846154,1.027972027972028,1.0,1.0061728395061729,1.1759259259259258,1.1932773109243697,1.078740157480315,1.0427046263345197,1.2,0.9659863945578231,1.303921568627451,1.1666666666666667,1.3125,1.0,1.4285714285714286,1.2483660130718954,0.9297297297297298,1.7846153846153847,1.2781456953642385,1.15,1.0081967213114753,1.011111111111111,1.0,1.0,1.3695652173913044,1.0089285714285714,1.0666666666666667,1.0,1.0447368421052632,1.0449438202247192,1.0122448979591836,1.0,1.1388888888888888,1.1891891891891893,1.0736842105263158,1.2102272727272727,1.0606060606060606,0.9958246346555324,1.014218009478673,1.0,1.0363636363636364,1.1728395061728396,1.055327868852459,0.9722222222222222,1.0192307692307692,1.0144927536231885,1.0,1.0,0.992,1.3446601941747574,1.0,1.0674157303370786,1.1162790697674418,1.2708333333333333,0.9766081871345029,0.9914712153518124,1.0263157894736843,1.0573248407643312,1.0,1.1702127659574468,1.1475409836065573,1.2852852852852852,1.0909090909090908,1.2755905511811023,1.0,1.0714285714285714,1.2470588235294118,1.3949579831932772,1.0,1.0970873786407767,1.0,1.0394736842105263,1.6145124716553287,1.1566265060240963,1.008849557522124,1.002710027100271,1.0113636363636365,1.1714285714285715,0.9587628865979382,1.8,1.2975206611570247,1.027906976744186,1.4421768707482994,1.1502890173410405,1.0,1.0,1.6787564766839378,1.0430622009569377,1.011111111111111,1.0,1.1393034825870647,1.7479674796747968,1.1470588235294117,1.0146341463414634,1.2346570397111913,1.0112359550561798,1.3630136986301369,1.0377358490566038,1.5274725274725274,1.456896551724138,1.0,1.101010101010101,1.0218340611353711,1.0740740740740742,1.0
Average Pairwise P-Distance,0.584830339321,0.563888888889,0.705501618123,0.73373253493,0.78587196468,0.709053497942,0.765734265734,0.690753690754,0.411458333333,0.716049382716,0.723053181387,0.847338935574,0.51968503937,0.758007117438,0.766666666667,0.795918367347,0.577610842317,0.674603174603,0.782767768124,0.524376417234,0.479415293553,0.676978939724,0.710810810811,0.595913810428,0.769473352255,0.804679802956,0.784153005464,0.624074074074,0.770731707317,0.236842105263,0.715285214536,0.727465986395,0.818666666667,0.344444444444,0.705513784461,0.658105939005,0.62231292517,0.656695156695,0.605291005291,0.559845559846,0.568016194332,0.740868506494,0.447811447811,0.64509394572,0.700157977883,0.737777777778,0.527272727273,0.814814814815,0.635382513661,0.54012345679,0.69184981685,0.859903381643,0.648888888889,0.577625570776,0.482666666667,0.74703628002,0.784615384615,0.786516853933,0.637541528239,0.71047979798,0.452046783626,0.735252309879,0.689692982456,0.855626326964,0.0346666666667,0.60609929078,0.887978142077,0.703521703522,0.757575757576,0.816272965879,0.796899224806,0.788095238095,0.847058823529,0.485623698441,0.622988505747,0.731148867314,0.706793206793,0.74451754386,0.721736313573,0.875502008032,0.727433628319,0.682926829268,0.594318181818,0.808571428571,0.681786941581,0.575355932203,0.687751642297,0.653488372093,0.806555349412,0.572382787412,0.0036036036036,0.383966244726,0.57304835924,0.713861099029,0.696296296296,0.641818181818,0.870646766169,0.652380110758,0.805882352941,0.70243902439,0.65677715786,0.621990369181,0.58648015269,0.719622641509,0.581910397295,0.585449628127,0.680208333333,0.76936026936,0.598253275109,0.677983539095,0.5
Maximum Pairwise P-Distance,0.988023952096,0.8,0.922330097087,0.874251497006,0.870860927152,0.882716049383,1.0,0.867132867133,0.59375,0.83950617284,0.916666666667,0.924369747899,0.779527559055,0.811387900356,0.888888888889,0.925170068027,0.849673202614,0.864583333333,1.0,0.690476190476,0.892857142857,0.875816993464,0.886486486486,0.938461538462,0.94701986755,1.0,0.885245901639,0.866666666667,0.878048780488,0.302631578947,0.876811594203,0.883928571429,0.973333333333,0.541666666667,0.836842105263,0.814606741573,0.751020408163,0.888888888889,0.916666666667,0.924324324324,0.8,0.931818181818,0.838383838384,0.816283924843,0.767772511848,0.853333333333,0.854545454545,0.901234567901,0.829918032787,0.935185185185,0.913461538462,0.884057971014,0.933333333333,0.657534246575,0.752,0.917475728155,0.858974358974,0.887640449438,0.860465116279,0.951388888889,0.834307992203,0.942430703625,0.815789473684,0.936305732484,0.048,0.829787234043,0.967213114754,0.885885885886,0.833333333333,0.905511811024,0.906976744186,0.885714285714,0.929411764706,0.840336134454,0.68275862069,0.907766990291,0.909090909091,0.921052631579,0.893424036281,0.903614457831,0.87610619469,0.772357723577,0.818181818182,0.885714285714,0.876288659794,0.98,0.892561983471,0.758139534884,0.945578231293,0.878612716763,0.00540540540541,0.506329113924,0.79792746114,0.913875598086,0.866666666667,0.925,0.935323383085,0.894308943089,0.882352941176,0.741463414634,0.884476534296,0.876404494382,0.803652968037,0.852830188679,0.894505494505,0.844827586207,0.8125,0.888888888889,0.921397379913,0.827160493827,0.586956521739
Number of Sequences,4,4,4,6,3,6,34,9,4,3,13,4,3,3,4,3,22,7,119,7,95,10,4,53,7,29,3,4,5,3,29,7,5,6,7,7,6,9,21,8,13,8,7,3,6,3,15,3,10,7,7,3,6,4,4,20,6,3,8,11,5,4,4,3,3,16,4,11,3,4,6,6,3,82,3,16,14,4,15,3,5,3,5,6,6,60,13,5,11,10,3,4,25,12,3,11,3,24,5,3,11,8,28,5,13,51,6,9,4,12,4
Reference Length,167,60,206,167,302,162,26,143,32,162,108,119,127,281,45,147,306,96,32,84,56,306,555,65,151,20,122,90,41,76,138,112,75,48,380,356,245,117,36,185,190,176,99,479,211,75,55,81,488,108,104,69,45,146,125,206,78,89,215,144,513,469,152,157,125,235,61,333,66,127,43,140,85,119,145,206,22,152,441,83,113,369,88,70,97,50,121,215,147,173,185,79,386,209,180,40,201,123,170,205,277,89,438,265,455,116,64,99,229,162,46
