Statistics,tRNA-synt_2b,MHC_II_N,oxidored_q6,kunitz,rep,cyt5,icd,ccH,sodcu,thiored,DEAD,dhfr,cytb,int,fer2,NTP_transferase,annexin,fbpase,DNA_PPF,cat3,HATPase_c,ferritin,TNF,RGS,BIR,Fapy_DNA_glyco,tms,Ribosomal_L6_D,bac_luciferase,ngf,LIM,TyrKc,gtp,MHC_II_beta_NC,hom,cytprime,cryst,glnasn,CPSase_L_chain,EFTU_2,Peptidase_M24,LDLa,sugbp,oat,WW,LuxS,msb,ghf7,plantltp,reductases,mmp,FAD-oxidase_C,squash,ppase,biotin_lipoyl,tgfb,ghf22,Sulfotransfer,scorptoxin,protg,cyt3,HGTP_anticodon,seatoxin,igV,hip,CH,adk,porin,ghf33,MoCF_biosynth,HTH_AraC,sh2,cpa,MM_CoA_mutase,pec_lyase,slectin,cbp,ins,hpr,ets,TIG,Phage_integrase,PDZ,DHOdehase,helicase_C,mycin,fkbp,KISc,histone,ghf5,pdc,adh,kazal,bowman,MHC_II_alpha_NC,laminin_G,HLH,cyclo,tbpc,GEL,CBM_20,igI,Levi_coat,myb_DNA-binding,MHC_II_C,Epimerase,hemopexin,profilin,peroxidase,bromodomain,GLA,TIL,Glyco_hydro_18,parv,cah,DEATH,sti,hla,fer4,ChtBD,ricin,pot,actin,hr,FAD_binding_4,flav,Bac_DNA_binding,Stap_Strp_toxin,kringle,rvp,ghf18,ndk,lipase,PK,HMG_box,zf-CCHH,igcon,sodfe,DMRL_synthase,CBS,RuBisCO_small,Sm,tln,aldedh,TPR,rub,cytc,hormone_rec,Propep_M14,S_100,serbact,pgk,cpn60_TCP1,egf,rnasemam,il8,RRF,Rhodanese,Pro_CA,Lum_binding
1-SPFP,0.450562233424,0.48166969147,0.970918960838,0.967690466693,0.779746835443,0.736440677966,0.898830409357,0.976608187135,0.907565789474,0.533778148457,0.372456964006,0.817713697219,0.869528619529,0.879578246393,0.796932265508,0.658270932607,1.0,0.983243243243,0.367741935484,0.738557020946,0.358169440242,0.996887966805,0.779305354559,0.846560846561,0.862003780718,0.900132275132,0.954528085594,0.772413793103,0.756473058083,0.9625,0.979032258065,0.935064935065,0.862489120975,0.906107566089,0.929319371728,0.739316239316,0.746372031662,0.985499741067,0.564059900166,0.766903914591,0.592753623188,0.934497816594,0.811480362538,0.73426277989,0.819095477387,0.897076023392,0.813484562067,0.940285204991,0.819691577699,0.661205501618,0.975650713686,0.252816901408,0.869047619048,0.787109375,0.877182044888,0.868174061433,0.959892394228,0.708228379513,0.904451038576,0.497058823529,0.798308392973,0.508013937282,0.802272727273,0.588183421517,0.820895522388,0.758012820513,0.80325203252,0.415026833631,0.568077511474,0.746234067207,0.658227848101,0.854034957233,0.90993959363,0.774595267746,0.547236180905,0.928237129485,0.853251533742,0.943835616438,1.0,0.912280701754,0.98538961039,0.148462354189,0.798018292683,0.593200468933,0.627808988764,0.957317073171,0.964912280702,0.847837985769,0.74200913242,0.547407407407,0.76897689769,0.986036519871,0.835714285714,0.982658959538,0.986988847584,0.477822580645,0.936995153473,0.8575,0.93984962406,0.562193927522,0.900282885431,0.650200679222,0.74659400545,0.940594059406,0.988230967267,0.740970654628,0.892321270962,0.949111470113,0.888748019017,0.976958525346,0.785365853659,0.770588235294,0.707998106957,0.990658362989,0.85099913119,0.61974789916,0.788156288156,1.0,0.759446825088,0.966265060241,0.902195217562,1.0,0.616898703793,1.0,0.442648190916,0.90480466996,0.959183673469,0.694192682108,0.90099009901,0.738305084746,0.439759036145,0.985227272727,0.994124293785,0.966819625838,0.876944837341,0.878553878554,0.778836833603,0.817924528302,0.860573715811,0.69387755102,0.913457377759,0.790243902439,0.830188679245,0.903531124863,0.289215686275,0.991836734694,0.92309055467,0.635926573427,0.944134078212,0.743760399334,0.94499449945,0.96481559983,0.715506715507,0.661495624503,0.866123399302,0.88212069938,0.890210430009,0.501063829787,0.834810636583,0.893542757417
1-SPFN,0.475839475839,0.444928751048,0.970542635659,0.960792079208,0.781725888325,0.751730103806,0.889725036179,0.973760932945,0.908761528327,0.535564853556,0.395348837209,0.819401444788,0.860116569525,0.882516703786,0.817801922273,0.661422708618,1.0,0.988586956522,0.37012987013,0.731182795699,0.362696284948,0.996887966805,0.774820143885,0.837696335079,0.855534709193,0.896574440053,0.95672156262,0.767123287671,0.764497878359,0.9625,0.979032258065,0.943173431734,0.865880297073,0.906934306569,0.914359304572,0.701351351351,0.639446171235,0.985499741067,0.54854368932,0.780797101449,0.605925925926,0.938596491228,0.812953995157,0.727501046463,0.823232323232,0.902352941176,0.821246819338,0.941123996432,0.831528279182,0.673603956316,0.976881042455,0.249305555556,0.869047619048,0.794088669951,0.877729257642,0.85864978903,0.957667439307,0.704384133612,0.904988123515,0.492711370262,0.805646749836,0.503105590062,0.81712962963,0.584404205607,0.83081570997,0.758012820513,0.853731343284,0.407255705091,0.574522949974,0.754098360656,0.675324675325,0.862211376009,0.916989485335,0.783375314861,0.584227467811,0.92034029389,0.848255672115,0.955617198336,1.0,0.912280701754,0.986190089358,0.153846153846,0.804147465438,0.579278763595,0.647826086957,0.957317073171,0.930769230769,0.850631521142,0.722222222222,0.543782192789,0.769230769231,0.985771812081,0.850909090909,0.988372093023,0.986988847584,0.489669421488,0.936995153473,0.860367892977,0.935453695042,0.571144278607,0.903798367057,0.666034155598,0.760055478502,0.951903807615,0.987141807494,0.74348810872,0.897071872227,0.949111470113,0.904516129032,0.976958525346,0.777777777778,0.763848396501,0.704,0.989777777778,0.84585492228,0.616187989556,0.800371977681,1.0,0.754304507642,0.968599033816,0.89972634871,1.0,0.636453689946,1.0,0.458898643256,0.896751223854,0.951417004049,0.684088653655,0.905150976909,0.736806495264,0.452853598015,0.985227272727,0.993899683687,0.969557522124,0.878186968839,0.892971815912,0.787230568256,0.815769665036,0.880546075085,0.661478599222,0.915835140998,0.782608695652,0.832568807339,0.905178701678,0.29648241206,0.991836734694,0.921620665251,0.664687071722,0.944134078212,0.754430379747,0.949171270718,0.96481559983,0.747448979592,0.641837128522,0.888358208955,0.883865498728,0.900092506938,0.510845986985,0.848484848485,0.899824253076
SP-Score,0.463200854632,0.463299221259,0.970730798248,0.964241272951,0.780736361884,0.744085390886,0.894277722768,0.97518456004,0.9081636589,0.534671501007,0.383902900608,0.818557571004,0.864822594527,0.88104747509,0.807367093891,0.659846820613,1.0,0.985915099882,0.368935902807,0.734869908323,0.360432862595,0.996887966805,0.777062749222,0.84212859082,0.858769244956,0.898353357592,0.955624824107,0.769768540387,0.760485468221,0.9625,0.979032258065,0.9391191834,0.864184709024,0.906520936329,0.92183933815,0.720333795334,0.692909101449,0.985499741067,0.556301794743,0.77385050802,0.599339774557,0.936547153911,0.812217178848,0.730881913177,0.82116390031,0.899714482284,0.817365690703,0.940704600711,0.82560992844,0.667404728967,0.97626587807,0.251061228482,0.869047619048,0.790599022475,0.877455651265,0.863411925231,0.958779916768,0.706306256562,0.904719581046,0.494885096896,0.801977571405,0.505559763672,0.809701178451,0.586293813562,0.825855616179,0.758012820513,0.828491687902,0.411141269361,0.571300230724,0.750166213932,0.666776261713,0.858123166621,0.913464539482,0.778985291304,0.565731824358,0.924288711688,0.850753602929,0.949726407387,1.0,0.912280701754,0.985789849874,0.151154254017,0.80108287906,0.586239616264,0.63781753786,0.957317073171,0.947840755735,0.849234753456,0.732115677321,0.545594800098,0.76910383346,0.985904165976,0.843311688312,0.98551552628,0.986988847584,0.483746001066,0.936995153473,0.858933946488,0.937651659551,0.566669103065,0.902040626244,0.65811741741,0.753324741976,0.946248933511,0.987686387381,0.742229381674,0.894696571595,0.949111470113,0.896632074025,0.976958525346,0.781571815718,0.767218315898,0.705999053478,0.990218070384,0.848427026735,0.617967944358,0.794264132919,1.0,0.756875666365,0.967432047029,0.900960783136,1.0,0.626676196869,1.0,0.450773417086,0.900777946907,0.955300338759,0.689140667882,0.90307053796,0.737555790005,0.44630631708,0.985227272727,0.994011988736,0.968188573981,0.87756590309,0.885762847233,0.783033700929,0.816847096669,0.870559895448,0.677678075121,0.914646259378,0.786426299046,0.831378743292,0.904354913271,0.292849049167,0.991836734694,0.92235560996,0.650306822574,0.944134078212,0.749095389541,0.947082885084,0.96481559983,0.731477847549,0.651666376512,0.877240804128,0.882993099054,0.895151468474,0.505954908386,0.841647742534,0.896683505246
TC,0.148255813953,0.0,0.906015037594,0.816666666667,0.52,0.238095238095,0.724517906336,0.949152542373,0.777108433735,0.130434782609,0.0252100840336,0.682795698925,0.641304347826,0.722772277228,0.405172413793,0.476973684211,1.0,0.959627329193,0.0152671755725,0.469135802469,0.015503875969,0.988372093023,0.535031847134,0.639705882353,0.704761904762,0.785714285714,0.842105263158,0.542553191489,0.5625,0.916666666667,0.890243902439,0.749185667752,0.547368421053,0.842105263158,0.521739130435,0.434108527132,0.0165745856354,0.963525835866,0.316666666667,0.52,0.360902255639,0.883720930233,0.671096345515,0.545454545455,0.608695652174,0.759493670886,0.489655172414,0.837905236908,0.472527472527,0.325077399381,0.89349112426,0.0559440559441,0.758620689655,0.577142857143,0.623529411765,0.401709401709,0.823076923077,0.297297297297,0.72602739726,0.0,0.542372881356,0.139130434783,0.469387755102,0.255639097744,0.619047619048,0.534482758621,0.264227642276,0.135057471264,0.329015544041,0.5,0.514705882353,0.5,0.805825242718,0.559440559441,0.249376558603,0.810218978102,0.544502617801,0.753623188406,1.0,0.787234042553,0.942528735632,0.0,0.585858585859,0.306501547988,0.274193548387,0.884955752212,0.858407079646,0.71686746988,0.556818181818,0.205655526992,0.6,0.957333333333,0.775862068966,0.957142857143,0.961538461538,0.333333333333,0.869047619048,0.719576719577,0.853260869565,0.212328767123,0.601851851852,0.27619047619,0.476923076923,0.803571428571,0.930693069307,0.521739130435,0.771573604061,0.8671875,0.667621776504,0.934426229508,0.621621621622,0.584615384615,0.495169082126,0.954128440367,0.627306273063,0.258064516129,0.510869565217,1.0,0.279569892473,0.883720930233,0.728937728938,1.0,0.215584415584,1.0,0.189393939394,0.714285714286,0.884210526316,0.329218106996,0.707865168539,0.387387387387,0.156441717791,0.940397350993,0.977827050998,0.92,0.62962962963,0.6,0.457943925234,0.459330143541,0.680473372781,0.461538461538,0.743243243243,0.571428571429,0.614420062696,0.774900398406,0.0,0.962962962963,0.681818181818,0.334519572954,0.840425531915,0.408163265306,0.853403141361,0.915841584158,0.505813953488,0.147058823529,0.619402985075,0.493506493506,0.774193548387,0.208333333333,0.683127572016,0.8
Modeler,0.450562233424,0.48166969147,0.970918960838,0.967690466693,0.779746835443,0.736440677966,0.898830409357,0.976608187135,0.907565789474,0.533778148457,0.372456964006,0.817713697219,0.869528619529,0.879578246393,0.796932265508,0.658270932607,1.0,0.983243243243,0.367741935484,0.738557020946,0.358169440242,0.996887966805,0.779305354559,0.846560846561,0.862003780718,0.900132275132,0.954528085594,0.772413793103,0.756473058083,0.9625,0.979032258065,0.935064935065,0.862489120975,0.906107566089,0.929319371728,0.739316239316,0.746372031662,0.985499741067,0.564059900166,0.766903914591,0.592753623188,0.934497816594,0.811480362538,0.73426277989,0.819095477387,0.897076023392,0.813484562067,0.940285204991,0.819691577699,0.661205501618,0.975650713686,0.252816901408,0.869047619048,0.787109375,0.877182044888,0.868174061433,0.959892394228,0.708228379513,0.904451038576,0.497058823529,0.798308392973,0.508013937282,0.802272727273,0.588183421517,0.820895522388,0.758012820513,0.80325203252,0.415026833631,0.568077511474,0.746234067207,0.658227848101,0.854034957233,0.90993959363,0.774595267746,0.547236180905,0.928237129485,0.853251533742,0.943835616438,1.0,0.912280701754,0.98538961039,0.148462354189,0.798018292683,0.593200468933,0.627808988764,0.957317073171,0.964912280702,0.847837985769,0.74200913242,0.547407407407,0.76897689769,0.986036519871,0.835714285714,0.982658959538,0.986988847584,0.477822580645,0.936995153473,0.8575,0.93984962406,0.562193927522,0.900282885431,0.650200679222,0.74659400545,0.940594059406,0.988230967267,0.740970654628,0.892321270962,0.949111470113,0.888748019017,0.976958525346,0.785365853659,0.770588235294,0.707998106957,0.990658362989,0.85099913119,0.61974789916,0.788156288156,1.0,0.759446825088,0.966265060241,0.902195217562,1.0,0.616898703793,1.0,0.442648190916,0.90480466996,0.959183673469,0.694192682108,0.90099009901,0.738305084746,0.439759036145,0.985227272727,0.994124293785,0.966819625838,0.876944837341,0.878553878554,0.778836833603,0.817924528302,0.860573715811,0.69387755102,0.913457377759,0.790243902439,0.830188679245,0.903531124863,0.289215686275,0.991836734694,0.92309055467,0.635926573427,0.944134078212,0.743760399334,0.94499449945,0.96481559983,0.715506715507,0.661495624503,0.866123399302,0.88212069938,0.890210430009,0.501063829787,0.834810636583,0.893542757417
Compression,0.910064239829,1.21875,1.0,1.03125,0.988636363636,0.956989247312,1.03233256351,1.01538461538,0.994082840237,1.0,0.941176470588,0.994708994709,1.05,1.00456621005,1.03361344538,0.996784565916,1.0,0.994366197183,0.992366412214,1.01568627451,1.02661596958,1.0,1.01136363636,1.02702702703,1.01212121212,1.00716845878,1.00280112045,1.01941747573,0.991071428571,1.0,1.0,1.03215434084,0.985714285714,1.0,1.0,1.08088235294,1.45833333333,1.0,0.993006993007,0.976,0.961432506887,1.0,1.00911854103,1.01807228916,1.01960784314,1.0,1.01265822785,1.00442477876,0.96875,0.986033519553,1.00555555556,0.983651226158,1.0,0.982638888889,0.973214285714,1.0593220339,1.01526717557,1.03412073491,1.0,1.01176470588,1.0,1.04724409449,0.944444444444,1.08759124088,1.0,1.0,0.880398671096,1.02770083102,0.994764397906,0.990147783251,0.971830985915,1.03125,0.990990990991,0.984455958549,0.934042553191,1.04225352113,1.095,1.0,1.0,1.0,1.0,0.954356846473,0.981818181818,1.02777777778,0.935779816514,1.0,1.04761904762,0.992718446602,1.03125,1.04468085106,1.01669449082,1.00266666667,0.983606557377,1.0,1.0,0.981220657277,1.0,0.995073891626,1.0103626943,0.993333333333,1.0,0.929078014184,0.962962962963,1.0,1.0,0.987775061125,0.991150442478,1.0,0.966057441253,1.0,1.03636363636,1.02298850575,1.00374531835,1.0,1.01433691756,1.01886792453,0.994949494949,1.0,0.966480446927,1.0,1.02491103203,1.0,0.956140350877,1.0,0.993630573248,1.03825136612,1.0198019802,1.02362204724,1.03,1.04545454545,0.974212034384,1.0,1.00221238938,0.99427480916,1.06741573034,1.0,1.0350877193,1.0502283105,0.956043956044,1.10447761194,0.987951807229,1.01075268817,0.991150442478,1.00572519084,1.10126582278,1.0,1.0652173913,1.0,1.0,1.0,1.0,1.0,0.942477876106,1.07042253521,0.971428571429,0.975308641975,0.979166666667,0.99537037037,0.985074626866,0.991228070175
Average Pairwise P-Distance,0.813060615249,0.69157746224,0.432541212615,0.621300680491,0.696524216524,0.497570671228,0.583461582685,0.652770575865,0.577504625952,0.794302357561,0.703921305539,0.640414891982,0.644403962918,0.774687089415,0.546840027063,0.676688133147,0.428456546658,0.321474752932,0.674867493739,0.752409548259,0.754982275496,0.395941660193,0.68045391178,0.666708669355,0.637616691285,0.596884675783,0.540818317462,0.821860771164,0.698817114418,0.432814449081,0.472027358929,0.549611150813,0.665527900799,0.542842294496,0.647106699063,0.732550430418,0.555849520145,0.482811077208,0.769613204258,0.603161530548,0.778699499205,0.543583686876,0.762125149573,0.761455715607,0.710407900063,0.574859638103,0.733829693113,0.526189692191,0.511895604396,0.77855309792,0.449466071387,0.892280673019,0.522129477589,0.610618569508,0.71074070732,0.56180829161,0.485511040209,0.738017462322,0.536707070444,0.507921318448,0.596915099147,0.779268400873,0.574178324287,0.81766256597,0.666263277859,0.774494364128,0.673693334175,0.754471684433,0.77068656165,0.71772579895,0.727523894863,0.649837334514,0.538145283908,0.675947544238,0.704938332975,0.666731476643,0.616818569791,0.550970474549,0.555956413038,0.514941639368,0.446402349673,0.845144176372,0.693596967243,0.738523872717,0.724893232418,0.602234243589,0.527409429113,0.548908326168,0.826348980178,0.821664031898,0.795805989437,0.360924960618,0.592340974888,0.351111239414,0.552210959782,0.817367294175,0.718990786467,0.559455969637,0.393381802865,0.762799751747,0.482047419162,0.844681223369,0.531445063548,0.592582154704,0.611573779299,0.776182796718,0.679011511958,0.602567561363,0.62742241785,0.657440713035,0.472144413321,0.639874226527,0.724493600477,0.444054946113,0.612811388951,0.803647499156,0.635619647256,0.235393258427,0.667164418006,0.40665221619,0.625041880386,0.612652229351,0.602763160125,0.466850061025,0.821594228125,0.65038575879,0.669831363203,0.674801967022,0.566619523167,0.63385914695,0.801401791822,0.441311587603,0.262909945551,0.52468294926,0.75150051136,0.645335152946,0.670088729725,0.576749866252,0.667755917722,0.689152170795,0.538122283561,0.804998272552,0.564584649463,0.614808567767,0.829902923445,0.378913108719,0.555258866212,0.784890184516,0.505694618273,0.657035371119,0.475470216982,0.485784743044,0.628134386911,0.688783219691,0.578133444705,0.654539898619,0.598179098968,0.773244035327,0.608288055899,0.729374418295
Maximum Pairwise P-Distance,0.882352941176,0.935897435897,0.606299212598,0.839285714286,0.813333333333,0.760563380282,0.735465116279,0.741379310345,0.75,0.931506849315,0.848314606742,0.748427672956,0.733333333333,0.826315789474,0.862068965517,0.811158798283,0.536507936508,0.544554455446,0.917525773196,0.905,0.865168539326,0.482352941176,0.785714285714,0.75,0.704545454545,0.64,0.631782945736,0.898550724638,0.837104072398,0.471698113208,0.6,0.649606299213,0.845161290323,0.78021978022,0.839285714286,0.786885245902,0.811320754717,0.541538461538,0.868686868687,0.869565217391,0.857142857143,0.615384615385,0.807272727273,0.798507462687,0.810810810811,0.65306122449,0.857142857143,0.59585492228,0.763888888889,0.848888888889,0.527950310559,0.938775510204,0.714285714286,0.730994152047,0.835443037975,0.8,0.691056910569,0.872340425532,0.716666666667,0.875,0.747572815534,0.864583333333,0.783783783784,0.936170212766,0.80701754386,0.865384615385,0.837209302326,0.867857142857,0.784126984127,0.84328358209,0.833333333333,0.758241758242,0.692567567568,0.827067669173,0.807692307692,0.765151515152,0.854166666667,0.739130434783,0.682352941176,0.642857142857,0.6,0.903846153846,0.835294117647,0.780068728522,0.818181818182,0.63963963964,0.579439252336,0.666666666667,0.871428571429,0.87044534413,0.841085271318,0.47311827957,0.745454545455,0.491525423729,0.761111111111,0.850649350649,0.793103448276,0.713333333333,0.633333333333,0.85046728972,0.712765957447,0.963855421687,0.775862068966,0.765957446809,0.783505154639,0.808362369338,0.775956284153,0.72131147541,0.843065693431,0.736363636364,0.571428571429,0.733333333333,0.757925072046,0.551401869159,0.7004048583,0.895833333333,0.7875,0.325842696629,0.833333333333,0.487804878049,0.742738589212,0.650793650794,0.854785478548,0.535211267606,0.905263157895,0.794117647059,0.757894736842,0.824175824176,0.688311688312,0.764150943396,0.8875,0.559440559441,0.33180778032,0.564835164835,0.898550724638,0.851851851852,0.847826086957,0.677777777778,0.775362318841,0.766666666667,0.701923076923,0.867647058824,0.717948717949,0.726635514019,0.922413793103,0.545454545455,0.673267326733,0.848214285714,0.682352941176,0.816091954023,0.648351648352,0.530303030303,0.806451612903,0.830188679245,0.732673267327,0.885245901639,0.653409090909,0.888,0.765625,0.804347826087
Number of Sequences,5.0,13.0,5.0,10.0,4.0,6.0,5.0,4.0,7.0,6.0,4.0,4.0,6.0,5.0,13.0,4.0,6.0,4.0,4.0,4.0,6.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,7.0,8.0,4.0,8.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,4.0,5.0,7.0,6.0,4.0,4.0,4.0,7.0,8.0,12.0,5.0,8.0,4.0,6.0,6.0,5.0,9.0,5.0,4.0,9.0,4.0,4.0,4.0,4.0,11.0,4.0,4.0,4.0,5.0,8.0,6.0,5.0,4.0,6.0,4.0,6.0,4.0,5.0,4.0,4.0,4.0,4.0,6.0,4.0,5.0,6.0,5.0,4.0,4.0,5.0,6.0,4.0,5.0,8.0,9.0,4.0,5.0,8.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,7.0,5.0,7.0,5.0,5.0,14.0,5.0,7.0,4.0,4.0,5.0,4.0,6.0,4.0,6.0,9.0,6.0,5.0,4.0,5.0,4.0,5.0,15.0,12.0,8.0,5.0,4.0,7.0,4.0,4.0,4.0,6.0,5.0,11.0,5.0,4.0,6.0,5.0,4.0,4.0,12.0,6.0,11.0,4.0,6.0,4.0,4.0
Reference Length,467.0,96.0,285.0,64.0,88.0,93.0,433.0,65.0,169.0,132.0,442.0,189.0,100.0,219.0,119.0,311.0,323.0,355.0,131.0,255.0,263.0,173.0,176.0,148.0,165.0,279.0,357.0,103.0,336.0,116.0,86.0,311.0,210.0,217.0,98.0,136.0,192.0,334.0,143.0,125.0,363.0,48.0,329.0,498.0,51.0,162.0,158.0,452.0,96.0,358.0,180.0,367.0,36.0,288.0,112.0,118.0,131.0,381.0,74.0,85.0,130.0,127.0,54.0,137.0,88.0,143.0,301.0,361.0,573.0,203.0,71.0,128.0,333.0,193.0,470.0,142.0,200.0,74.0,89.0,112.0,88.0,241.0,110.0,396.0,218.0,116.0,126.0,412.0,96.0,470.0,599.0,375.0,61.0,73.0,187.0,213.0,92.0,203.0,193.0,150.0,120.0,141.0,135.0,61.0,105.0,409.0,226.0,144.0,383.0,145.0,55.0,87.0,534.0,109.0,279.0,159.0,198.0,178.0,179.0,45.0,281.0,70.0,456.0,82.0,314.0,183.0,101.0,254.0,100.0,132.0,349.0,152.0,452.0,524.0,89.0,39.0,114.0,219.0,182.0,67.0,166.0,93.0,339.0,524.0,237.0,54.0,138.0,308.0,98.0,103.0,205.0,435.0,226.0,71.0,140.0,81.0,192.0,216.0,268.0,114.0
