,RoseSmallL1R07,RoseSmallL1R09,RoseSmallL1R10,RoseSmallL1R08,RoseSmallL1R01,RoseSmallL1R05,RoseSmallL1R06,RoseSmallL1R04,RoseSmallL1R03,RoseSmallL1R02
1-SPFP,0.0493078583613,0.0722490726123,0.041985381608,0.0720511452219,0.0471035980053,0.0565408600025,0.0881050509528,0.12608884549,0.0797222462162,0.0546683232825
1-SPFN,0.0327676436657,0.0496603100316,0.0281259000757,0.0460481880981,0.0304041009254,0.0353803868068,0.0691278758694,0.0974021226964,0.0555421823701,0.0422046128292
SP-Score,0.0410377510135,0.0609546913219,0.0350556408419,0.05904966666,0.0387538494653,0.0459606234046,0.0786164634111,0.111745484093,0.0676322142931,0.0484364680558
TC,0.0,0.0,0.0,0.007670182166826462,0.001813236627379873,0.0,0.0,0.014222222222222223,0.014340344168260038,0.0
Modeler,0.04930785836130246,0.0722490726122793,0.04198538160802312,0.07205114522187693,0.047103598005291035,0.05654086000245807,0.08810505095278078,0.12608884549040525,0.07972224621615656,0.05466832328252371
Compression,2.823529411764706,2.6328810853950517,2.566742944317315,2.735738255033557,2.604265402843602,2.8812292358803986,2.156896551724138,1.9363434492968172,2.612641815235008,2.3014240506329116
Average Pairwise P-Distance,0.704561743279,0.696563443924,0.695354260144,0.687884248223,0.694264759563,0.696374217017,0.694863349246,0.693497026321,0.693799059011,0.70163082702
Maximum Pairwise P-Distance,0.755020080321,0.737854251012,0.748490945674,0.735412474849,0.743693239152,0.762096774194,0.741482965932,0.73246492986,0.749498997996,0.743229689067
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1139,1253,1311,1192,1266,1204,1160,1351,1234,1264
Estimated Length,3216,3299,3365,3261,3297,3469,2502,2616,3224,2909
Maximum Ungapped Length,1048,1052,1049,1041,1070,1057,1027,1084,1041,1069
Sequence Length Heterogeneity,0.0109644036051,0.0134046126421,0.0168876911404,0.012424394656,0.0206898254456,0.0185882541355,0.00941896491909,0.0173645747222,0.0107651460388,0.0199976896927
Gappiness Percentage,0.115504828797,0.185634477255,0.226300533944,0.151543624161,0.193744075829,0.158936877076,0.132586206897,0.235914137676,0.180713128039,0.196360759494
Average Gap Length,6.60441767068,9.17192429022,9.74638633377,8.65134099617,9.49226006192,9.2,8.85944700461,11.3666191155,8.02158273381,8.39648173207
Median Gap Length,5.0,8.0,8.0,8.0,7.0,6.0,8.0,10.0,5.0,5.0
