Statistics,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL00052441,AL00057282,AL00055186,AL00054403,AL00050715,AL00102031,AL00053377,AL00089447,AL10048599,AL10063763,AL00055594,AL00052150,AL00052086,AL20089447,AL00101215,AL00088995,AL00089048,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL00050799,AL10063410,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00047861,AL00051984,AL00052141,AL00088696,AL00069381,AL00089800,AL00109622,AL00068994,AL10109622,AL00103575,AL10056276,AL10050712,AL10050335,AL10054446,AL00089623,AL10054814,AL00049599,AL00057413,AL10074933,AL00051713,AL00054253,AL00069117,AL00054814,AL00050464,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL10101215,AL10057491,AL00055723,AL10069117,AL00051392,AL00054790,AL00051906,AL00050331,AL00052113,AL00051306,AL00052821,AL00057492
1-SPFP,0.567567567568,0.834482758621,0.652575957728,0.269902912621,0.614084507042,0.606692265496,0.744318181818,0.957219251337,0.824444444444,0.684074457084,0.247148288973,0.664772727273,0.781767955801,0.73275862069,0.665413533835,0.379163108454,1.0,0.200814111262,0.488794926004,0.561538461538,0.959302325581,1.0,1.0,0.787211176787,0.71964017991,0.973607038123,0.72326502497,0.8246692752,0.924461587914,0.916421808684,0.517045454545,0.486853510546,0.920698254364,0.939330543933,0.935101186322,0.852272727273,0.931294225063,0.685714285714,0.853741496599,0.915183867141,0.696629213483,0.894366197183,0.996381182147,0.871532846715,0.969534050179,0.731800766284,0.496687116564,0.384342538637,0.595306239267,0.849462365591,0.685057471264,1.0,0.731563421829,0.521739130435,0.453808752026,0.717647058824,0.72491349481,0.494565217391,0.972027972028,1.0,0.689526184539,0.830985915493,0.741784037559,0.922090729783,0.943847072879,0.784294234592,0.662298387097,0.662424648359,0.910447761194,0.562041654444,0.884592737978,1.0,0.990675990676,0.894117647059,0.7,0.225950782998,0.783657066309,0.908937605396,0.85201793722,0.478527607362,0.936559139785,0.666297935103,0.548571428571,0.63232868496,0.977777777778
1-SPFN,0.565384615385,0.834482758621,0.673942701228,0.293042867182,0.637426900585,0.610375275938,0.758321273517,0.957219251337,0.826280623608,0.664935500084,0.288248337029,0.629032258065,0.771117166213,0.739130434783,0.779735682819,0.452599388379,1.0,0.239482200647,0.488588334742,0.593495934959,0.959302325581,1.0,1.0,0.795331161781,0.733944954128,0.97503671072,0.729800173762,0.815551870278,0.925353925354,0.927933884298,0.520594965675,0.501786777844,0.911604938272,0.939330543933,0.934449093445,0.857142857143,0.931081697855,0.685714285714,0.886925795053,0.915183867141,0.692737430168,0.888111888112,0.991596638655,0.874084919473,0.965209634255,0.743190661479,0.507649862052,0.388974358974,0.621266427718,0.846428571429,0.688221709007,1.0,0.727272727273,0.517985611511,0.469798657718,0.710482529118,0.729541497388,0.53216374269,0.972027972028,1.0,0.689526184539,0.846889952153,0.762364294331,0.923000987167,0.943847072879,0.783515392254,0.684375,0.664650537634,0.907063197026,0.562371587907,0.875825884182,1.0,0.990675990676,0.894117647059,0.712241653418,0.238770685579,0.788941335131,0.912013536379,0.852495793606,0.490223463687,0.936559139785,0.690485288498,0.557059961315,0.641856925419,0.977777777778
SP-Score,0.566476091476,0.834482758621,0.663259329478,0.281472889902,0.625755703814,0.608533770717,0.751319727667,0.957219251337,0.825362534026,0.674504978584,0.267698313001,0.646902492669,0.776442561007,0.735944527736,0.722574608327,0.415881248417,1.0,0.220148155955,0.488691630373,0.577517198249,0.959302325581,1.0,1.0,0.791271169284,0.726792567019,0.974321874421,0.726532599366,0.820110572739,0.924907756634,0.922177846491,0.51882021011,0.494320144195,0.916151596318,0.939330543933,0.934775139884,0.854707792208,0.931187961459,0.685714285714,0.870333645826,0.915183867141,0.694683321825,0.891239042647,0.993988910401,0.872808883094,0.967371842217,0.737495713881,0.502168489308,0.386658448806,0.608286333493,0.84794546851,0.686639590136,1.0,0.729418074551,0.519862370973,0.461803704872,0.714064793971,0.727227496099,0.513364480041,0.972027972028,1.0,0.689526184539,0.838937933823,0.752074165945,0.922545858475,0.943847072879,0.783904813423,0.673336693548,0.663537592997,0.90875547911,0.562206621176,0.88020931108,1.0,0.990675990676,0.894117647059,0.706120826709,0.232360734288,0.78629920072,0.910475570888,0.852256865413,0.484375535525,0.936559139785,0.678391611801,0.552815694943,0.637092805189,0.977777777778
TC,0.177777777778,0.616666666667,0.478947368421,0.125,0.373188405797,0.0986842105263,0.328244274809,0.90625,0.716981132075,0.274509803922,0.0446428571429,0.443548387097,0.669230769231,0.487804878049,0.582417582418,0.133333333333,1.0,0.0254957507082,0.0933333333333,0.329787234043,0.910112359551,1.0,1.0,0.477064220183,0.295774647887,0.854166666667,0.395833333333,0.46178343949,0.758928571429,0.692307692308,0.0191082802548,0.174698795181,0.777777777778,0.91049382716,0.840206185567,0.770491803279,0.466666666667,0.611111111111,0.488095238095,0.80612244898,0.492307692308,0.75,0.965034965035,0.714285714286,0.857142857143,0.597701149425,0.184971098266,0.122302158273,0.349887133183,0.694444444444,0.503225806452,1.0,0.540983606557,0.358490566038,0.15,0.214285714286,0.514705882353,0.475409836066,0.958041958042,1.0,0.299319727891,0.753246753247,0.393617021277,0.850415512465,0.816091954023,0.414285714286,0.388235294118,0.206611570248,0.751219512195,0.171232876712,0.601503759398,1.0,0.974683544304,0.825842696629,0.277777777778,0.143790849673,0.453987730061,0.850746268657,0.623188405797,0.190909090909,0.793650793651,0.290322580645,0.14606741573,0.175324675325,0.955555555556
Modeler,0.567567567568,0.834482758621,0.652575957728,0.269902912621,0.614084507042,0.606692265496,0.744318181818,0.957219251337,0.824444444444,0.684074457084,0.247148288973,0.664772727273,0.781767955801,0.73275862069,0.665413533835,0.379163108454,1.0,0.200814111262,0.488794926004,0.561538461538,0.959302325581,1.0,1.0,0.787211176787,0.71964017991,0.973607038123,0.72326502497,0.8246692752,0.924461587914,0.916421808684,0.517045454545,0.486853510546,0.920698254364,0.939330543933,0.935101186322,0.852272727273,0.931294225063,0.685714285714,0.853741496599,0.915183867141,0.696629213483,0.894366197183,0.996381182147,0.871532846715,0.969534050179,0.731800766284,0.496687116564,0.384342538637,0.595306239267,0.849462365591,0.685057471264,1.0,0.731563421829,0.521739130435,0.453808752026,0.717647058824,0.72491349481,0.494565217391,0.972027972028,1.0,0.689526184539,0.830985915493,0.741784037559,0.922090729783,0.943847072879,0.784294234592,0.662298387097,0.662424648359,0.910447761194,0.562041654444,0.884592737978,1.0,0.990675990676,0.894117647059,0.7,0.225950782998,0.783657066309,0.908937605396,0.85201793722,0.478527607362,0.936559139785,0.666297935103,0.548571428571,0.63232868496,0.977777777778
Compression,1.00598802395,1.0,0.936893203883,0.790419161677,0.956953642384,0.975308641975,1.00699300699,1.0,1.00617283951,0.953703703704,0.848739495798,1.07874015748,1.01779359431,0.977777777778,0.809523809524,0.739583333333,1.0,0.823423423423,1.0,0.94262295082,1.0,1.0,1.0,1.0,0.946666666667,1.0,0.992105263158,1.00842696629,1.00408163265,1.0,0.935135135135,0.9375,1.0202020202,0.995824634656,1.01421800948,1.0,1.0,1.0,0.898148148148,1.0,1.0,1.0,1.02739726027,1.0,1.01282051282,0.977528089888,0.920930232558,0.972222222222,0.953091684435,1.0,1.0,1.0,1.01639344262,1.01515151515,0.96062992126,1.0,1.0,0.870588235294,1.0,1.0,1.0,0.975903614458,0.929203539823,1.0,1.0,1.0,0.907216494845,0.942148760331,1.00930232558,1.0,1.08670520231,1.0,1.0,1.0,0.875,0.89552238806,0.976470588235,1.0,1.0,0.909433962264,1.0,0.949494949495,0.973799126638,0.981481481481,1.0
Average Pairwise P-Distance,0.814298018949,0.52922705314,0.72558849887,0.866442755423,0.76663335237,0.716576829227,0.786193787616,0.402721774194,0.703348308521,0.809063244915,0.888737204087,0.516129032258,0.749552440302,0.788040385601,0.85097728965,0.847672274575,0.524376417234,0.850695955925,0.815129818058,0.792347415101,0.619511754885,0.770731707317,0.236842105263,0.737639698197,0.839825595677,0.308458383227,0.784573698352,0.698984691535,0.647427116702,0.678466734187,0.708650643938,0.809471716687,0.444285188746,0.6296426235,0.732845499985,0.743230079875,0.619349125512,0.828544212133,0.607942720467,0.732430894085,0.861909953792,0.774176562685,0.572314102178,0.467356948607,0.785150303873,0.787018255578,0.739221783702,0.860946387181,0.749079248371,0.693491285403,0.851960784314,0.0346666666667,0.886406493972,0.744036970781,0.818706564327,0.809847374847,0.801628915955,0.912852664577,0.622377622378,0.706793206793,0.744416359698,0.879336650083,0.784402974313,0.666253343173,0.589742678725,0.807710109027,0.761102969559,0.794908485751,0.657215231991,0.832150611068,0.725144030768,0.0036036036036,0.343550331525,0.690131311764,0.766103536779,0.929481607917,0.812615551788,0.697150997151,0.724044994574,0.811895826654,0.681441666037,0.821851041798,0.746465242071,0.803832859116,0.5
Maximum Pairwise P-Distance,0.976744186047,0.739130434783,0.880733944954,0.955056179775,0.839805825243,0.89,0.910256410256,0.58064516129,0.824324324324,0.942857142857,0.918918918919,0.774193548387,0.788844621514,0.864864864865,0.867647058824,0.975,0.690476190476,0.922222222222,0.934579439252,0.829545454545,0.855421686747,0.878048780488,0.302631578947,0.8625,0.983050847458,0.511111111111,0.87265917603,0.80534351145,0.755980861244,0.842105263158,0.945054945055,0.928057553957,0.833333333333,0.72641509434,0.828125,0.810344827586,0.825,0.885714285714,0.904109589041,0.884615384615,0.929824561404,0.90625,0.647887323944,0.718181818182,0.864864864865,0.882352941176,0.885496183206,0.954545454545,0.895833333333,0.801470588235,0.935714285714,0.048,0.964912280702,0.807692307692,0.893617021277,0.923076923077,0.883333333333,0.945454545455,0.678321678322,0.909090909091,0.909090909091,0.906666666667,0.884615384615,0.743119266055,0.8125,0.89552238806,0.873015873016,0.957746478873,0.737704918033,0.949579831933,0.879310344828,0.00540540540541,0.442857142857,0.855421686747,0.913043478261,0.949275362319,0.883720930233,0.732323232323,0.84126984127,0.862595419847,0.803278688525,0.954545454545,0.83908045977,0.923076923077,0.577777777778
Number of Sequences,4.0,4.0,4.0,6.0,3.0,6.0,9.0,4.0,3.0,13.0,4.0,3.0,3.0,4.0,3.0,7.0,7.0,4.0,7.0,3.0,4.0,5.0,3.0,7.0,5.0,6.0,7.0,7.0,6.0,9.0,8.0,8.0,7.0,3.0,6.0,3.0,15.0,3.0,7.0,7.0,3.0,6.0,4.0,4.0,6.0,3.0,8.0,11.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,6.0,6.0,3.0,3.0,14.0,4.0,3.0,5.0,3.0,5.0,6.0,6.0,13.0,5.0,11.0,10.0,3.0,4.0,3.0,11.0,3.0,5.0,3.0,8.0,5.0,6.0,9.0,4.0,12.0,4.0
Reference Length,167.0,60.0,206.0,167.0,302.0,162.0,143.0,32.0,162.0,108.0,119.0,127.0,281.0,45.0,147.0,96.0,84.0,555.0,151.0,122.0,90.0,41.0,76.0,112.0,75.0,48.0,380.0,356.0,245.0,117.0,185.0,176.0,99.0,479.0,211.0,75.0,55.0,81.0,108.0,104.0,69.0,45.0,146.0,125.0,78.0,89.0,215.0,144.0,469.0,152.0,157.0,125.0,61.0,66.0,127.0,43.0,140.0,85.0,145.0,22.0,152.0,83.0,113.0,369.0,88.0,70.0,97.0,121.0,215.0,147.0,173.0,185.0,79.0,180.0,40.0,201.0,170.0,205.0,89.0,265.0,64.0,99.0,229.0,162.0,46.0
