,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL10052799,AL00052441,AL00057282,AL00055186,AL00054403,AL00050715,AL00102031,AL00053377,AL00089447,AL10048599,AL00052799,AL10063763,AL10053473,AL00055594,AL10051350,AL00053335,AL00052150,AL10050412,AL00052086,AL10089447,AL20089447,AL00101215,AL00088995,AL00089048,AL10050815,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL10057468,AL00050799,AL00050021,AL10063410,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00051412,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00063410,AL00047861,AL00051984,AL00052141,AL00088696,AL00053701,AL00069381,AL00089800,AL00109622,AL00068994,AL00053697,AL10109622,AL00051971,AL00103575,AL10056276,AL10050712,AL10050335,AL10054446,AL10054592,AL00089623,AL00063412,AL10054814,AL00049599,AL00051913,AL00057413,AL10074933,AL00051713,AL00054253,AL00069117,AL00054814,AL10053335,AL00050464,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL00052317,AL00050475,AL10101215,AL10057491,AL00055723,AL10050464,AL10069117,AL00051392,AL00100877,AL00054790,AL10054593,AL00051906,AL00053473,AL10050155,AL00050331,AL00052113,AL00051306,AL00052821,AL00057492
1-SPFP,0.503816793893,0.834482758621,0.653439153439,0.302076777848,0.590277777778,0.58501913614,0.973706176962,0.728055077453,0.957219251337,0.824444444444,0.642488770587,0.247148288973,0.664772727273,0.790633608815,0.73275862069,0.642857142857,0.0901087194912,0.377455166524,0.997372569627,1.0,0.844812421403,0.425441696113,0.200814111262,0.165636672326,0.488794926004,1.0,0.561538461538,0.959302325581,1.0,1.0,0.541172299693,0.787211176787,0.71964017991,0.973607038123,0.700831024931,0.830803406146,0.924461587914,0.916421808684,0.867794383314,0.53718384296,0.652448071217,0.492068070378,0.93566084788,0.941422594142,0.934426229508,0.852272727273,0.92547857794,0.685714285714,0.874410553334,0.853741496599,0.915183867141,0.696629213483,0.885245901639,0.996381182147,0.871532846715,0.504961165409,0.969534050179,0.731800766284,0.495962808906,0.408998988878,0.882623957876,0.600457927876,0.859188544153,0.685057471264,1.0,0.436303807669,0.788856304985,0.456471816284,0.521739130435,0.453808752026,0.717647058824,0.756167527252,0.494565217391,0.131950857751,0.972027972028,0.701818181818,1.0,0.689526184539,0.355568981449,0.830985915493,0.732394366197,0.922090729783,0.943847072879,0.784294234592,0.662298387097,0.809465930018,0.548614448182,0.910447761194,0.609599063506,0.890674603175,1.0,0.990675990676,0.0499019042123,0.608182997288,0.890196078431,0.703937007874,0.225950782998,0.58492899906,0.792642140468,0.908937605396,0.50717589847,0.85201793722,0.0579606496933,0.49460916442,0.0371273712737,0.884122206646,0.936559139785,0.670232386573,0.548571428571,0.641327300151,0.977777777778
1-SPFN,0.507692307692,0.834482758621,0.673942701228,0.337315530569,0.62134502924,0.590507726269,0.973706176962,0.734587554269,0.957219251337,0.826280623608,0.647009549338,0.288248337029,0.629032258065,0.782016348774,0.739130434783,0.753303964758,0.0775829511735,0.450560652396,0.997372569627,1.0,0.804881089242,0.439416058394,0.239482200647,0.104909994193,0.488588334742,1.0,0.593495934959,0.959302325581,1.0,1.0,0.551867919981,0.795331161781,0.733944954128,0.97503671072,0.70338835795,0.826976229961,0.925353925354,0.927933884298,0.86537831641,0.542715484363,0.658062102507,0.508040500298,0.926419753086,0.941422594142,0.93410041841,0.857142857143,0.926745778183,0.685714285714,0.875037333493,0.886925795053,0.915183867141,0.692737430168,0.881118881119,0.991596638655,0.874084919473,0.510769462091,0.965209634255,0.743190661479,0.508402307499,0.414871794872,0.895991091314,0.626642771804,0.857142857143,0.688221709007,1.0,0.475691902182,0.788856304985,0.460412718467,0.517985611511,0.469798657718,0.710482529118,0.76494486361,0.53216374269,0.0843244209962,0.972027972028,0.70835106383,1.0,0.689526184539,0.338338236786,0.846889952153,0.75271411339,0.923000987167,0.943847072879,0.783515392254,0.684375,0.758795704865,0.575436827957,0.907063197026,0.611388318168,0.872328021764,1.0,0.990675990676,0.0458906435728,0.692720923986,0.890196078431,0.710651828299,0.238770685579,0.570174592457,0.799055967633,0.912013536379,0.509836651961,0.852495793606,0.044766043109,0.512569832402,0.0277458988726,0.847267770358,0.936559139785,0.694306457776,0.557059961315,0.647184170472,0.977777777778
SP-Score,0.505754550793,0.834482758621,0.663690927333,0.319696154208,0.605811403509,0.587763431205,0.973706176962,0.731321315861,0.957219251337,0.825362534026,0.644749159963,0.267698313001,0.646902492669,0.786324978795,0.735944527736,0.698080553807,0.0838458353323,0.41400790946,0.997372569627,1.0,0.824846755323,0.432428877254,0.220148155955,0.13527333326,0.488691630373,1.0,0.577517198249,0.959302325581,1.0,1.0,0.546520109837,0.791271169284,0.726792567019,0.974321874421,0.70210969144,0.828889818054,0.924907756634,0.922177846491,0.866586349862,0.539949663661,0.655255086862,0.500054285338,0.931040300483,0.941422594142,0.934263323959,0.854707792208,0.926112178062,0.685714285714,0.874723943413,0.870333645826,0.915183867141,0.694683321825,0.883182391379,0.993988910401,0.872808883094,0.50786531375,0.967371842217,0.737495713881,0.502182558203,0.411935391875,0.889307524595,0.61355034984,0.858165700648,0.686639590136,1.0,0.455997854925,0.788856304985,0.458442267375,0.519862370973,0.461803704872,0.714064793971,0.760556195431,0.513364480041,0.108137639373,0.972027972028,0.705084622824,1.0,0.689526184539,0.346953609117,0.838937933823,0.742554239793,0.922545858475,0.943847072879,0.783904813423,0.673336693548,0.784130817442,0.562025638069,0.90875547911,0.610493690837,0.88150131247,1.0,0.990675990676,0.0478962738926,0.650451960637,0.890196078431,0.707294418086,0.232360734288,0.577551795758,0.795849054051,0.910475570888,0.508506275216,0.852256865413,0.0513633464011,0.503589498411,0.0324366350732,0.865694988502,0.936559139785,0.682269422175,0.552815694943,0.644255735311,0.977777777778
TC,0.08888888888888889,0.6166666666666667,0.47368421052631576,0.125,0.35144927536231885,0.10526315789473684,0.8846153846153846,0.3053435114503817,0.90625,0.7169811320754716,0.27450980392156865,0.044642857142857144,0.4435483870967742,0.6884615384615385,0.4878048780487805,0.5164835164835165,0.004,0.13333333333333333,0.8125,1.0,0.25,0.11409395973154363,0.025495750708215296,0.0,0.09333333333333334,1.0,0.32978723404255317,0.9101123595505618,1.0,1.0,0.10144927536231885,0.47706422018348627,0.29577464788732394,0.8541666666666666,0.3898809523809524,0.46496815286624205,0.7589285714285714,0.6923076923076923,0.4411764705882353,0.006369426751592357,0.2064516129032258,0.1686746987951807,0.8080808080808081,0.9135802469135802,0.8505154639175257,0.7704918032786885,0.4888888888888889,0.6111111111111112,0.542016806722689,0.4880952380952381,0.8061224489795918,0.49230769230769234,0.75,0.965034965034965,0.7142857142857143,0.031914893617021274,0.8571428571428571,0.5977011494252874,0.1791907514450867,0.09352517985611511,0.6735966735966736,0.3544018058690745,0.7152777777777778,0.5032258064516129,1.0,0.028846153846153848,0.5409836065573771,0.15047021943573669,0.3584905660377358,0.15,0.21428571428571427,0.5661764705882353,0.47540983606557374,0.0,0.958041958041958,0.11170212765957446,1.0,0.29931972789115646,0.11948051948051948,0.7532467532467533,0.3829787234042553,0.850415512465374,0.8160919540229885,0.4142857142857143,0.38823529411764707,0.3409090909090909,0.18181818181818182,0.751219512195122,0.2465753424657534,0.6090225563909775,1.0,0.9746835443037974,0.0,0.22926829268292684,0.8202247191011236,0.2777777777777778,0.1437908496732026,0.06557377049180328,0.4539877300613497,0.8507462686567164,0.07604562737642585,0.6231884057971014,0.0,0.2,0.0,0.3173076923076923,0.7936507936507936,0.3225806451612903,0.14606741573033707,0.19480519480519481,0.9555555555555556
Modeler,0.5038167938931297,0.8344827586206897,0.6534391534391535,0.302076777847703,0.5902777777777778,0.5850191361399671,0.9737061769616027,0.7280550774526678,0.9572192513368984,0.8244444444444444,0.6424887705872567,0.24714828897338403,0.6647727272727273,0.790633608815427,0.7327586206896551,0.6428571428571429,0.09010871949118025,0.3774551665243382,0.9973725696269049,1.0,0.8448124214030778,0.4254416961130742,0.20081411126187246,0.16563667232597623,0.4887949260042283,1.0,0.5615384615384615,0.9593023255813954,1.0,1.0,0.541172299692744,0.7872111767866738,0.719640179910045,0.9736070381231672,0.7008310249307479,0.8308034061458719,0.924461587913854,0.9164218086842965,0.8677943833141731,0.5371838429596074,0.6524480712166172,0.4920680703778483,0.9356608478802992,0.9414225941422594,0.9344262295081968,0.8522727272727273,0.9254785779398359,0.6857142857142857,0.8744105533337313,0.8537414965986394,0.9151838671411625,0.6966292134831461,0.8852459016393442,0.9963811821471653,0.8715328467153285,0.5049611654093425,0.9695340501792115,0.7318007662835249,0.49596280890628824,0.4089989888776542,0.8826239578762615,0.6004579278763594,0.8591885441527446,0.6850574712643678,1.0,0.43630380766906185,0.7888563049853372,0.45647181628392486,0.5217391304347826,0.4538087520259319,0.7176470588235294,0.7561675272518646,0.4945652173913043,0.13195085775053872,0.972027972027972,0.7018181818181818,1.0,0.6895261845386533,0.3555689814485749,0.8309859154929577,0.7323943661971831,0.9220907297830375,0.9438470728793309,0.7842942345924453,0.6622983870967742,0.8094659300184162,0.5486144481819638,0.9104477611940298,0.6095990635059995,0.8906746031746032,1.0,0.9906759906759907,0.04990190421234853,0.6081829972880557,0.8901960784313725,0.7039370078740157,0.22595078299776286,0.5849289990599179,0.7926421404682275,0.9089376053962901,0.5071758984699324,0.852017937219731,0.057960649693271034,0.4946091644204852,0.03712737127371274,0.8841222066463263,0.9365591397849462,0.6702323865732203,0.5485714285714286,0.6413273001508296,0.9777777777777777
Compression,0.9880239520958084,1.0,0.9368932038834952,0.7784431137724551,0.9403973509933775,0.9629629629629629,1.0,0.993006993006993,1.0,1.0061728395061729,0.9166666666666666,0.8487394957983193,1.078740157480315,1.01067615658363,0.9777777777777777,0.8095238095238095,0.8169934640522876,0.7395833333333334,1.0,1.0,1.0178571428571428,0.9150326797385621,0.8234234234234235,1.0769230769230769,1.0,1.0,0.9426229508196722,1.0,1.0,1.0,0.8985507246376812,1.0,0.9466666666666667,1.0,0.9447368421052632,0.9971910112359551,1.0040816326530613,1.0,1.0555555555555556,0.9351351351351351,0.9052631578947369,0.9375,1.02020202020202,0.9958246346555324,1.009478672985782,1.0,0.9454545454545454,1.0,1.0102459016393444,0.8981481481481481,1.0,1.0,1.0,1.0273972602739727,1.0,0.9563106796116505,1.0128205128205128,0.9775280898876404,0.9209302325581395,0.9444444444444444,0.9668615984405458,0.9530916844349681,1.0,1.0,1.0,0.7191489361702128,1.0,0.9129129129129129,1.0151515151515151,0.9606299212598425,1.0,0.9857142857142858,0.8705882352941177,0.865546218487395,1.0,0.9563106796116505,1.0,1.0,0.9931972789115646,0.9759036144578314,0.9292035398230089,1.0,1.0,1.0,0.9072164948453608,1.16,0.8677685950413223,1.0093023255813953,0.9931972789115646,1.0346820809248556,1.0,1.0,0.7305699481865285,0.7942583732057417,1.0,0.875,0.8955223880597015,0.9024390243902439,0.9764705882352941,1.0,0.8953068592057761,1.0,0.8835616438356164,0.9018867924528302,0.8879120879120879,1.1551724137931034,1.0,0.9393939393939394,0.9737991266375546,0.9320987654320988,1.0
Average Pairwise P-Distance,0.584830339321,0.563888888889,0.705501618123,0.73373253493,0.78587196468,0.709053497942,0.765734265734,0.690753690754,0.411458333333,0.716049382716,0.723053181387,0.847338935574,0.51968503937,0.758007117438,0.766666666667,0.795918367347,0.577610842317,0.674603174603,0.782767768124,0.524376417234,0.479415293553,0.676978939724,0.710810810811,0.595913810428,0.769473352255,0.804679802956,0.784153005464,0.624074074074,0.770731707317,0.236842105263,0.715285214536,0.727465986395,0.818666666667,0.344444444444,0.705513784461,0.658105939005,0.62231292517,0.656695156695,0.605291005291,0.559845559846,0.568016194332,0.740868506494,0.447811447811,0.64509394572,0.700157977883,0.737777777778,0.527272727273,0.814814814815,0.635382513661,0.54012345679,0.69184981685,0.859903381643,0.648888888889,0.577625570776,0.482666666667,0.74703628002,0.784615384615,0.786516853933,0.637541528239,0.71047979798,0.452046783626,0.735252309879,0.689692982456,0.855626326964,0.0346666666667,0.60609929078,0.887978142077,0.703521703522,0.757575757576,0.816272965879,0.796899224806,0.788095238095,0.847058823529,0.485623698441,0.622988505747,0.731148867314,0.706793206793,0.74451754386,0.721736313573,0.875502008032,0.727433628319,0.682926829268,0.594318181818,0.808571428571,0.681786941581,0.575355932203,0.687751642297,0.653488372093,0.806555349412,0.572382787412,0.0036036036036,0.383966244726,0.57304835924,0.713861099029,0.696296296296,0.641818181818,0.870646766169,0.652380110758,0.805882352941,0.70243902439,0.65677715786,0.621990369181,0.58648015269,0.719622641509,0.581910397295,0.585449628127,0.680208333333,0.76936026936,0.598253275109,0.677983539095,0.5
Maximum Pairwise P-Distance,0.988023952096,0.8,0.922330097087,0.874251497006,0.870860927152,0.882716049383,1.0,0.867132867133,0.59375,0.83950617284,0.916666666667,0.924369747899,0.779527559055,0.811387900356,0.888888888889,0.925170068027,0.849673202614,0.864583333333,1.0,0.690476190476,0.892857142857,0.875816993464,0.886486486486,0.938461538462,0.94701986755,1.0,0.885245901639,0.866666666667,0.878048780488,0.302631578947,0.876811594203,0.883928571429,0.973333333333,0.541666666667,0.836842105263,0.814606741573,0.751020408163,0.888888888889,0.916666666667,0.924324324324,0.8,0.931818181818,0.838383838384,0.816283924843,0.767772511848,0.853333333333,0.854545454545,0.901234567901,0.829918032787,0.935185185185,0.913461538462,0.884057971014,0.933333333333,0.657534246575,0.752,0.917475728155,0.858974358974,0.887640449438,0.860465116279,0.951388888889,0.834307992203,0.942430703625,0.815789473684,0.936305732484,0.048,0.829787234043,0.967213114754,0.885885885886,0.833333333333,0.905511811024,0.906976744186,0.885714285714,0.929411764706,0.840336134454,0.68275862069,0.907766990291,0.909090909091,0.921052631579,0.893424036281,0.903614457831,0.87610619469,0.772357723577,0.818181818182,0.885714285714,0.876288659794,0.98,0.892561983471,0.758139534884,0.945578231293,0.878612716763,0.00540540540541,0.506329113924,0.79792746114,0.913875598086,0.866666666667,0.925,0.935323383085,0.894308943089,0.882352941176,0.741463414634,0.884476534296,0.876404494382,0.803652968037,0.852830188679,0.894505494505,0.844827586207,0.8125,0.888888888889,0.921397379913,0.827160493827,0.586956521739
Number of Sequences,4,4,4,6,3,6,34,9,4,3,13,4,3,3,4,3,22,7,119,7,95,10,4,53,7,29,3,4,5,3,29,7,5,6,7,7,6,9,21,8,13,8,7,3,6,3,15,3,10,7,7,3,6,4,4,20,6,3,8,11,5,4,4,3,3,16,4,11,3,4,6,6,3,82,3,16,14,4,15,3,5,3,5,6,6,60,13,5,11,10,3,4,25,12,3,11,3,24,5,3,11,8,28,5,13,51,6,9,4,12,4
Reference Length,167,60,206,167,302,162,26,143,32,162,108,119,127,281,45,147,306,96,32,84,56,306,555,65,151,20,122,90,41,76,138,112,75,48,380,356,245,117,36,185,190,176,99,479,211,75,55,81,488,108,104,69,45,146,125,206,78,89,215,144,513,469,152,157,125,235,61,333,66,127,43,140,85,119,145,206,22,152,441,83,113,369,88,70,97,50,121,215,147,173,185,79,386,209,180,40,201,123,170,205,277,89,438,265,455,116,64,99,229,162,46
