,RNASimSmallR06,RNASimSmallR09,RNASimSmallR01,RNASimSmallR10,RNASimSmallR03,RNASimSmallR07,RNASimSmallR05,RNASimSmallR02,RNASimSmallR04,RNASimSmallR08
1-SPFP,0.992840121674,0.995006984538,0.995383405738,0.996242040585,0.993364727434,0.99568532135,0.994455749276,0.990946315133,0.995045643792,0.993910269053
1-SPFN,0.99298842167,0.995074419337,0.995431503299,0.996237682237,0.993469223166,0.995763675154,0.994457934581,0.990917910612,0.995043457628,0.993888489587
SP-Score,0.992914271672,0.995040701937,0.995407454518,0.996239861411,0.9934169753,0.995724498252,0.994456841928,0.990932112872,0.99504455071,0.99389937932
TC,0.9145466405740378,0.9512353706111834,0.9530332681017613,0.9440468445022772,0.9146735617323852,0.9467186484730344,0.9412532637075718,0.8988326848249028,0.9327676240208878,0.9108653220559532
Modeler,0.9928401216740059,0.9950069845378291,0.9953834057375789,0.9962420405850867,0.9933647274344855,0.995685321349572,0.9944557492759292,0.9909463151326191,0.9950456437916754,0.9939102690525965
Compression,0.9987080103359173,1.0,1.0,1.0,0.9993650793650793,0.9993544222078761,1.0006493506493506,1.0012919896640826,1.0,1.000646830530401
Average Pairwise P-Distance,0.187016307673,0.177425099822,0.178354416811,0.177944127384,0.219580192963,0.198282222387,0.191723086779,0.197020947036,0.196498122551,0.205618072099
Maximum Pairwise P-Distance,0.325985303941,0.246234446627,0.23746701847,0.248184818482,0.364116094987,0.278763971072,0.249670619236,0.340199335548,0.251485148515,0.346103038309
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1548,1542,1546,1544,1575,1549,1540,1548,1538,1546
Estimated Length,1546,1542,1546,1544,1574,1548,1541,1550,1538,1547
Maximum Ungapped Length,1531,1536,1528,1536,1534,1533,1531,1529,1528,1532
Sequence Length Heterogeneity,0.00230287513724,0.00154889409204,0.0014914896869,0.00184556153242,0.00197169547195,0.00131825608563,0.00199408675507,0.00209392506105,0.00196687607255,0.00157249749485
Gappiness Percentage,0.0151162790698,0.00715953307393,0.0141009055627,0.00917098445596,0.0298920634921,0.0118528082634,0.0104935064935,0.0172351421189,0.00920676202861,0.0114877102199
Average Gap Length,1.01386481802,1.07392996109,1.00368324125,1.00283286119,1.00856898029,1.00437636761,1.00748129676,1.04545454545,1.00283286119,1.04470588235
Median Gap Length,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
