Statistics,tRNA-synt_2b,MHC_II_N,oxidored_q6,kunitz,rep,cyt5,icd,ccH,sodcu,thiored,DEAD,dhfr,cytb,int,fer2,NTP_transferase,annexin,fbpase,DNA_PPF,cat3,HATPase_c,ferritin,TNF,RGS,BIR,Fapy_DNA_glyco,tms,Ribosomal_L6_D,bac_luciferase,ngf,LIM,TyrKc,gtp,MHC_II_beta_NC,hom,cytprime,cryst,glnasn,CPSase_L_chain,EFTU_2,Peptidase_M24,LDLa,sugbp,oat,WW,LuxS,msb,ghf7,plantltp,reductases,mmp,FAD-oxidase_C,squash,ppase,biotin_lipoyl,tgfb,ghf22,Sulfotransfer,scorptoxin,protg,cyt3,HGTP_anticodon,seatoxin,igV,hip,CH,adk,porin,ghf33,MoCF_biosynth,HTH_AraC,sh2,cpa,MM_CoA_mutase,pec_lyase,slectin,cbp,ins,hpr,ets,TIG,Phage_integrase,PDZ,DHOdehase,helicase_C,mycin,fkbp,KISc,histone,ghf5,pdc,adh,kazal,bowman,MHC_II_alpha_NC,laminin_G,HLH,cyclo,tbpc,GEL,CBM_20,igI,Levi_coat,myb_DNA-binding,MHC_II_C,Epimerase,hemopexin,profilin,peroxidase,bromodomain,GLA,TIL,Glyco_hydro_18,parv,cah,DEATH,sti,hla,fer4,ChtBD,ricin,pot,actin,hr,FAD_binding_4,flav,Bac_DNA_binding,Stap_Strp_toxin,kringle,rvp,ghf18,ndk,lipase,PK,HMG_box,zf-CCHH,igcon,sodfe,DMRL_synthase,CBS,RuBisCO_small,Sm,tln,aldedh,TPR,rub,cytc,hormone_rec,Propep_M14,S_100,serbact,pgk,cpn60_TCP1,egf,rnasemam,il8,RRF,Rhodanese,Pro_CA,Lum_binding
1-SPFP,0.98502994012,1.0,0.968541093197,0.986754966887,0.915708812261,0.812324929972,0.957545605307,0.964391691395,0.915778618082,0.564556962025,0.788931788932,0.940758293839,0.85460251046,0.954489544895,0.817307692308,0.885985748219,1.0,0.99666851749,1.0,0.841856060606,0.980519480519,1.0,0.868189806678,0.951515151515,0.982630272953,0.934507042254,0.98549556809,0.994444444444,0.921711057304,0.995169082126,0.996621621622,0.964979796036,0.916210426089,0.973080757727,0.955479452055,0.83829787234,0.757984705353,0.987571206629,0.914425427873,0.992857142857,0.871871871872,0.950248756219,0.855476344783,0.866807610994,0.949044585987,0.940279542567,0.938219895288,0.959681200188,0.839611178615,0.767158108795,0.978741496599,0.996268656716,0.981481481481,0.989650711514,0.988095238095,0.964467005076,0.972115977791,0.989002932551,0.932639314146,0.988165680473,0.869565217391,0.914492753623,0.944289693593,0.691153238547,0.895131086142,0.896480331263,0.905203503349,0.713342140026,0.940382452193,0.89918699187,1.0,0.899178644764,0.922178988327,0.975820379965,0.876617773943,0.920886075949,0.907266435986,0.977917981073,1.0,0.936344969199,0.96986970684,0.903225806452,0.890446976337,0.812682215743,0.970731707317,0.941085271318,0.957928802589,0.947368421053,0.769633507853,0.726279185296,0.840160936357,0.998913633895,0.997202797203,0.984848484848,0.995145631068,0.747851002865,0.963898916968,0.974827245805,0.951951951952,0.94262295082,0.911696359411,0.739436619718,0.914670658683,0.965442764579,0.992625368732,0.828421741978,0.927835051546,0.953059513831,0.931626928471,0.994915254237,0.926829268293,0.87908496732,0.871473354232,0.985320284698,0.897837091578,0.956756756757,0.877384196185,1.0,0.848409542744,0.990196078431,0.95531323498,0.965789473684,0.966816143498,1.0,0.909952606635,0.914599236641,0.962264150943,0.932151898734,0.942631767659,0.870669745958,0.663536776213,0.98951048951,0.992771628642,0.983474250576,0.968882602546,0.9377593361,0.841604898485,0.881431767338,0.945359281437,0.853260869565,0.956106870229,0.968253968254,0.896615384615,0.922352054278,0.633663366337,0.991701244813,0.946286349324,0.760820045558,0.954802259887,0.861340679522,0.948571428571,0.952054794521,0.969283276451,0.866234531526,0.904306220096,0.91899710704,0.880624426079,0.938100320171,0.91221826809,0.869658119658
1-SPFN,0.134725634726,0.352891869237,0.954651162791,0.944158415842,0.606598984772,0.752595155709,0.835600578871,0.947521865889,0.877470355731,0.373221757322,0.509136212625,0.819401444788,0.680266444629,0.864142538976,0.781445883828,0.765389876881,0.995557436006,0.975543478261,0.37012987013,0.682795698925,0.289161240904,0.998962655602,0.710791366906,0.821989528796,0.74296435272,0.87417654809,0.936805821524,0.408675799087,0.807637906648,0.965625,0.951612903226,0.925276752768,0.840760157274,0.890510948905,0.898261429491,0.798648648649,0.476123198644,0.987571206629,0.605177993528,0.503623188406,0.645185185185,0.837719298246,0.799031476998,0.686479698619,0.752525252525,0.870588235294,0.854961832061,0.913024085638,0.831528279182,0.621883371111,0.967633459437,0.185416666667,0.630952380952,0.753694581281,0.828446662508,0.801687763713,0.961205319019,0.563256784969,0.904394299287,0.486880466472,0.682862770847,0.870945479641,0.784722222222,0.511098130841,0.722054380665,0.69391025641,0.828122545169,0.31597425395,0.431150077359,0.647540983607,0.331168831169,0.822038670922,0.918096292197,0.711586901763,0.545064377682,0.900232018561,0.639668211759,0.859916782247,0.975524475524,0.888888888889,0.967506092608,0.153846153846,0.780337941628,0.638236977676,0.576811594203,0.925304878049,0.910769230769,0.771004942339,0.653333333333,0.358597007604,0.758336084516,0.987382550336,0.864242424242,0.94476744186,0.952602230483,0.539256198347,0.86268174475,0.825668896321,0.889616463985,0.457711442786,0.835640752574,0.365275142315,0.847434119279,0.895791583166,0.988978692138,0.71630804077,0.878438331854,0.918416801292,0.857096774194,0.901689708141,0.734299516908,0.784256559767,0.654117647059,0.984444444444,0.842400690846,0.369712793734,0.798512089275,1.0,0.660475914103,0.975845410628,0.873338545739,0.965789473684,0.533927686974,0.977142857143,0.153232242618,0.853137516689,0.929149797571,0.608997684419,0.933925399645,0.765223274696,0.35070306038,0.964772727273,0.992995933122,0.905840707965,0.970254957507,0.88690688548,0.852873938602,0.815581482875,0.862116040956,0.610894941634,0.869414316703,0.589371980676,0.835435779817,0.892414296134,0.500279173646,0.975510204082,0.903927813163,0.610324349018,0.944134078212,0.791561181435,0.917127071823,0.94277236117,0.362244897959,0.567348514087,0.902686567164,0.807855326363,0.887141535615,0.476681127983,0.629811629812,0.715289982425
SP-Score,0.559877787423,0.676445934619,0.961596127994,0.965456691365,0.761153898516,0.782460042841,0.896573092089,0.955956778642,0.896624486907,0.468889359674,0.649034000778,0.880079869314,0.767434477545,0.909316041935,0.799376788068,0.82568781255,0.997778718003,0.986105997876,0.685064935065,0.762325879765,0.634840360712,0.999481327801,0.789490586792,0.886752340155,0.862797312837,0.904341795172,0.961150694807,0.701560121766,0.864674481976,0.980397041063,0.974117262424,0.945128274402,0.878485291681,0.931795853316,0.926870440773,0.818473260495,0.617053951998,0.987571206629,0.7598017107,0.748240165631,0.758528528529,0.893984027232,0.82725391089,0.776643654806,0.850784919256,0.90543388893,0.896590863675,0.936352642913,0.835569728898,0.694520739953,0.973187478018,0.590842661692,0.806216931217,0.871672646397,0.908270950302,0.883077384395,0.966660648405,0.77612985876,0.918516806717,0.737523073473,0.776213994119,0.892719116632,0.864505957908,0.601125684694,0.808592733403,0.795195293837,0.866663024259,0.514658196988,0.685766264776,0.773363987738,0.665584415584,0.860608657843,0.920137640262,0.843703640864,0.710841075813,0.910559047255,0.773467323873,0.91891738166,0.987762237762,0.912616929044,0.968687899724,0.528535980149,0.835392458982,0.72545959671,0.77377165076,0.933195074683,0.934349016679,0.859186681696,0.711483420593,0.54243809645,0.799248510437,0.993148092115,0.930722610723,0.964807963354,0.973873930776,0.643553600606,0.913290330859,0.900248071063,0.920784207968,0.700167196803,0.873668555992,0.552355881017,0.881052388981,0.930617173873,0.990802030435,0.772364891374,0.9031366917,0.935738157562,0.894361851332,0.948302481189,0.8305643926,0.831670763544,0.762795500645,0.984882364571,0.870118891212,0.663234775245,0.83794814273,1.0,0.754442728423,0.98302074453,0.914325890359,0.965789473684,0.750371915236,0.988571428571,0.531592424626,0.883868376665,0.945706974257,0.770574791577,0.938278583652,0.817946510327,0.507119918297,0.977141608392,0.992883780882,0.944657479271,0.969568780027,0.91233311079,0.847239418544,0.848506625107,0.903737661196,0.7320779056,0.912760593466,0.778812974465,0.866025582216,0.907383175206,0.566971269991,0.983605724447,0.925107081244,0.685572197288,0.94946816905,0.826450930479,0.932849250197,0.947413577845,0.665764087205,0.716791522807,0.90349639363,0.863426216701,0.883882980847,0.707390724077,0.771014948951,0.792474051042
TC,0.0639534883721,0.0315789473684,0.883458646617,0.75,0.306666666667,0.345238095238,0.666666666667,0.864406779661,0.746987951807,0.104347826087,0.49299719888,0.752688172043,0.358695652174,0.69801980198,0.405172413793,0.677631578947,0.990566037736,0.94099378882,0.259541984733,0.399176954733,0.201550387597,0.994186046512,0.484076433121,0.639705882353,0.552380952381,0.785714285714,0.835087719298,0.234042553191,0.761904761905,0.916666666667,0.768292682927,0.732899022801,0.484210526316,0.815789473684,0.594202898551,0.666666666667,0.0165745856354,0.969604863222,0.525,0.05,0.462406015038,0.697674418605,0.641196013289,0.556818181818,0.521739130435,0.76582278481,0.558620689655,0.825436408978,0.538461538462,0.325077399381,0.887573964497,0.0314685314685,0.310344827586,0.531428571429,0.564705882353,0.478632478632,0.846153846154,0.222972972973,0.739726027397,0.015625,0.389830508475,0.617391304348,0.551020408163,0.12030075188,0.547619047619,0.525862068966,0.382113821138,0.175287356322,0.290155440415,0.408045977011,0.117647058824,0.459677419355,0.812297734628,0.594405594406,0.344139650873,0.788321167883,0.130890052356,0.666666666667,0.931818181818,0.755319148936,0.896551724138,0.106060606061,0.59595959596,0.43653250774,0.413978494624,0.83185840708,0.849557522124,0.626506024096,0.454545454545,0.159383033419,0.603571428571,0.976,0.775862068966,0.828571428571,0.89010989011,0.34358974359,0.619047619048,0.645502645503,0.755434782609,0.212328767123,0.527777777778,0.0,0.7,0.732142857143,0.920792079208,0.530434782609,0.751269035533,0.8125,0.624641833811,0.811475409836,0.486486486486,0.6,0.463768115942,0.935779816514,0.656826568266,0.0322580645161,0.532608695652,1.0,0.204301075269,0.93023255814,0.703296703297,0.911764705882,0.163636363636,0.924050632911,0.0454545454545,0.657142857143,0.852631578947,0.263374485597,0.741573033708,0.468468468468,0.174846625767,0.920529801325,0.973392461197,0.826,0.83950617284,0.514285714286,0.485981308411,0.502392344498,0.692307692308,0.430769230769,0.695945945946,0.454545454545,0.677115987461,0.747011952191,0.00512820512821,0.925925925926,0.681818181818,0.348754448399,0.851063829787,0.428571428571,0.780104712042,0.873762376238,0.244186046512,0.235294117647,0.671641791045,0.493506493506,0.747311827957,0.380208333333,0.353909465021,0.581818181818
Modeler,0.98502994012,1.0,0.968541093197,0.986754966887,0.915708812261,0.812324929972,0.957545605307,0.964391691395,0.915778618082,0.564556962025,0.788931788932,0.940758293839,0.85460251046,0.954489544895,0.817307692308,0.885985748219,1.0,0.99666851749,1.0,0.841856060606,0.980519480519,1.0,0.868189806678,0.951515151515,0.982630272953,0.934507042254,0.98549556809,0.994444444444,0.921711057304,0.995169082126,0.996621621622,0.964979796036,0.916210426089,0.973080757727,0.955479452055,0.83829787234,0.757984705353,0.987571206629,0.914425427873,0.992857142857,0.871871871872,0.950248756219,0.855476344783,0.866807610994,0.949044585987,0.940279542567,0.938219895288,0.959681200188,0.839611178615,0.767158108795,0.978741496599,0.996268656716,0.981481481481,0.989650711514,0.988095238095,0.964467005076,0.972115977791,0.989002932551,0.932639314146,0.988165680473,0.869565217391,0.914492753623,0.944289693593,0.691153238547,0.895131086142,0.896480331263,0.905203503349,0.713342140026,0.940382452193,0.89918699187,1.0,0.899178644764,0.922178988327,0.975820379965,0.876617773943,0.920886075949,0.907266435986,0.977917981073,1.0,0.936344969199,0.96986970684,0.903225806452,0.890446976337,0.812682215743,0.970731707317,0.941085271318,0.957928802589,0.947368421053,0.769633507853,0.726279185296,0.840160936357,0.998913633895,0.997202797203,0.984848484848,0.995145631068,0.747851002865,0.963898916968,0.974827245805,0.951951951952,0.94262295082,0.911696359411,0.739436619718,0.914670658683,0.965442764579,0.992625368732,0.828421741978,0.927835051546,0.953059513831,0.931626928471,0.994915254237,0.926829268293,0.87908496732,0.871473354232,0.985320284698,0.897837091578,0.956756756757,0.877384196185,1.0,0.848409542744,0.990196078431,0.95531323498,0.965789473684,0.966816143498,1.0,0.909952606635,0.914599236641,0.962264150943,0.932151898734,0.942631767659,0.870669745958,0.663536776213,0.98951048951,0.992771628642,0.983474250576,0.968882602546,0.9377593361,0.841604898485,0.881431767338,0.945359281437,0.853260869565,0.956106870229,0.968253968254,0.896615384615,0.922352054278,0.633663366337,0.991701244813,0.946286349324,0.760820045558,0.954802259887,0.861340679522,0.948571428571,0.952054794521,0.969283276451,0.866234531526,0.904306220096,0.91899710704,0.880624426079,0.938100320171,0.91221826809,0.869658119658
Compression,2.67237687366,3.61458333333,1.03859649123,1.265625,1.625,1.20430107527,1.31639722864,1.04615384615,1.1124260355,1.72727272727,1.34162895928,1.26984126984,1.62,1.30136986301,1.15966386555,1.18649517685,1.02476780186,1.04225352113,1.74045801527,1.37647058824,2.60076045627,1.00578034682,1.49431818182,1.28378378378,1.37575757576,1.17204301075,1.1512605042,2.03883495146,1.13095238095,1.06034482759,1.24418604651,1.22829581994,1.31904761905,1.14746543779,1.29591836735,1.11764705882,2.14583333333,1.0,1.59440559441,1.752,1.50137741047,1.33333333333,1.16717325228,1.49196787149,1.50980392157,1.20987654321,1.48101265823,1.10840707965,1.02083333333,1.46089385475,1.07777777778,2.34059945504,1.58333333333,1.30555555556,1.5,1.54237288136,1.03816793893,1.99212598425,1.12162162162,1.74117647059,1.59230769231,1.22047244094,1.38888888889,2.29197080292,1.48863636364,1.46153846154,1.39867109635,2.06925207756,1.91448516579,1.53201970443,1.87323943662,1.578125,1.01501501502,1.47150259067,1.66170212766,1.08450704225,2.105,1.39189189189,1.06741573034,1.15178571429,1.0,2.65560165975,1.40909090909,1.42676767677,1.83944954128,1.05172413793,1.07936507937,1.32766990291,1.35416666667,2.35957446809,1.25876460768,1.024,1.37704918033,1.15068493151,1.08556149733,1.69953051643,1.3152173913,1.35960591133,1.13471502591,2.19333333333,1.35,2.72340425532,1.14074074074,1.24590163934,1.0380952381,1.31540342298,1.11061946903,1.09722222222,1.19060052219,1.2275862069,1.30909090909,1.2183908046,1.50561797753,1.0,1.14695340502,2.90566037736,1.29797979798,1.0,1.7374301676,1.04444444444,1.26690391459,1.0,1.68421052632,1.10975609756,2.45222929936,1.18032786885,1.10891089109,2.03149606299,1.1,1.39393939394,2.0,1.06578947368,1.0,1.19847328244,1.06741573034,1.5641025641,1.00877192982,1.28767123288,1.2967032967,1.5223880597,1.20481927711,1.81720430108,1.13569321534,1.08778625954,1.70886075949,1.03703703704,1.22463768116,1.57467532468,1.02040816327,1.33009708738,1.08780487805,1.02068965517,1.54867256637,2.25352112676,1.02142857143,1.41975308642,0.989583333333,2.12037037037,1.57462686567,1.36842105263
Average Pairwise P-Distance,0.813060615249,0.69157746224,0.432541212615,0.621300680491,0.696524216524,0.497570671228,0.583461582685,0.652770575865,0.577504625952,0.794302357561,0.703921305539,0.640414891982,0.644403962918,0.774687089415,0.546840027063,0.676688133147,0.428456546658,0.321474752932,0.674867493739,0.752409548259,0.754982275496,0.395941660193,0.68045391178,0.666708669355,0.637616691285,0.596884675783,0.540818317462,0.821860771164,0.698817114418,0.432814449081,0.472027358929,0.549611150813,0.665527900799,0.542842294496,0.647106699063,0.732550430418,0.555849520145,0.482811077208,0.769613204258,0.603161530548,0.778699499205,0.543583686876,0.762125149573,0.761455715607,0.710407900063,0.574859638103,0.733829693113,0.526189692191,0.511895604396,0.77855309792,0.449466071387,0.892280673019,0.522129477589,0.610618569508,0.71074070732,0.56180829161,0.485511040209,0.738017462322,0.536707070444,0.507921318448,0.596915099147,0.779268400873,0.574178324287,0.81766256597,0.666263277859,0.774494364128,0.673693334175,0.754471684433,0.77068656165,0.71772579895,0.727523894863,0.649837334514,0.538145283908,0.675947544238,0.704938332975,0.666731476643,0.616818569791,0.550970474549,0.555956413038,0.514941639368,0.446402349673,0.845144176372,0.693596967243,0.738523872717,0.724893232418,0.602234243589,0.527409429113,0.548908326168,0.826348980178,0.821664031898,0.795805989437,0.360924960618,0.592340974888,0.351111239414,0.552210959782,0.817367294175,0.718990786467,0.559455969637,0.393381802865,0.762799751747,0.482047419162,0.844681223369,0.531445063548,0.592582154704,0.611573779299,0.776182796718,0.679011511958,0.602567561363,0.62742241785,0.657440713035,0.472144413321,0.639874226527,0.724493600477,0.444054946113,0.612811388951,0.803647499156,0.635619647256,0.235393258427,0.667164418006,0.40665221619,0.625041880386,0.612652229351,0.602763160125,0.466850061025,0.821594228125,0.65038575879,0.669831363203,0.674801967022,0.566619523167,0.63385914695,0.801401791822,0.441311587603,0.262909945551,0.52468294926,0.75150051136,0.645335152946,0.670088729725,0.576749866252,0.667755917722,0.689152170795,0.538122283561,0.804998272552,0.564584649463,0.614808567767,0.829902923445,0.378913108719,0.555258866212,0.784890184516,0.505694618273,0.657035371119,0.475470216982,0.485784743044,0.628134386911,0.688783219691,0.578133444705,0.654539898619,0.598179098968,0.773244035327,0.608288055899,0.729374418295
Maximum Pairwise P-Distance,0.882352941176,0.935897435897,0.606299212598,0.839285714286,0.813333333333,0.760563380282,0.735465116279,0.741379310345,0.75,0.931506849315,0.848314606742,0.748427672956,0.733333333333,0.826315789474,0.862068965517,0.811158798283,0.536507936508,0.544554455446,0.917525773196,0.905,0.865168539326,0.482352941176,0.785714285714,0.75,0.704545454545,0.64,0.631782945736,0.898550724638,0.837104072398,0.471698113208,0.6,0.649606299213,0.845161290323,0.78021978022,0.839285714286,0.786885245902,0.811320754717,0.541538461538,0.868686868687,0.869565217391,0.857142857143,0.615384615385,0.807272727273,0.798507462687,0.810810810811,0.65306122449,0.857142857143,0.59585492228,0.763888888889,0.848888888889,0.527950310559,0.938775510204,0.714285714286,0.730994152047,0.835443037975,0.8,0.691056910569,0.872340425532,0.716666666667,0.875,0.747572815534,0.864583333333,0.783783783784,0.936170212766,0.80701754386,0.865384615385,0.837209302326,0.867857142857,0.784126984127,0.84328358209,0.833333333333,0.758241758242,0.692567567568,0.827067669173,0.807692307692,0.765151515152,0.854166666667,0.739130434783,0.682352941176,0.642857142857,0.6,0.903846153846,0.835294117647,0.780068728522,0.818181818182,0.63963963964,0.579439252336,0.666666666667,0.871428571429,0.87044534413,0.841085271318,0.47311827957,0.745454545455,0.491525423729,0.761111111111,0.850649350649,0.793103448276,0.713333333333,0.633333333333,0.85046728972,0.712765957447,0.963855421687,0.775862068966,0.765957446809,0.783505154639,0.808362369338,0.775956284153,0.72131147541,0.843065693431,0.736363636364,0.571428571429,0.733333333333,0.757925072046,0.551401869159,0.7004048583,0.895833333333,0.7875,0.325842696629,0.833333333333,0.487804878049,0.742738589212,0.650793650794,0.854785478548,0.535211267606,0.905263157895,0.794117647059,0.757894736842,0.824175824176,0.688311688312,0.764150943396,0.8875,0.559440559441,0.33180778032,0.564835164835,0.898550724638,0.851851851852,0.847826086957,0.677777777778,0.775362318841,0.766666666667,0.701923076923,0.867647058824,0.717948717949,0.726635514019,0.922413793103,0.545454545455,0.673267326733,0.848214285714,0.682352941176,0.816091954023,0.648351648352,0.530303030303,0.806451612903,0.830188679245,0.732673267327,0.885245901639,0.653409090909,0.888,0.765625,0.804347826087
Number of Sequences,5.0,13.0,5.0,10.0,4.0,6.0,5.0,4.0,7.0,6.0,4.0,4.0,6.0,5.0,13.0,4.0,6.0,4.0,4.0,4.0,6.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,7.0,8.0,4.0,8.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,4.0,5.0,7.0,6.0,4.0,4.0,4.0,7.0,8.0,12.0,5.0,8.0,4.0,6.0,6.0,5.0,9.0,5.0,4.0,9.0,4.0,4.0,4.0,4.0,11.0,4.0,4.0,4.0,5.0,8.0,6.0,5.0,4.0,6.0,4.0,6.0,4.0,5.0,4.0,4.0,4.0,4.0,6.0,4.0,5.0,6.0,5.0,4.0,4.0,5.0,6.0,4.0,5.0,8.0,9.0,4.0,5.0,8.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,7.0,5.0,7.0,5.0,5.0,14.0,5.0,7.0,4.0,4.0,5.0,4.0,6.0,4.0,6.0,9.0,6.0,5.0,4.0,5.0,4.0,5.0,15.0,12.0,8.0,5.0,4.0,7.0,4.0,4.0,4.0,6.0,5.0,11.0,5.0,4.0,6.0,5.0,4.0,4.0,12.0,6.0,11.0,4.0,6.0,4.0,4.0
Reference Length,467.0,96.0,285.0,64.0,88.0,93.0,433.0,65.0,169.0,132.0,442.0,189.0,100.0,219.0,119.0,311.0,323.0,355.0,131.0,255.0,263.0,173.0,176.0,148.0,165.0,279.0,357.0,103.0,336.0,116.0,86.0,311.0,210.0,217.0,98.0,136.0,192.0,334.0,143.0,125.0,363.0,48.0,329.0,498.0,51.0,162.0,158.0,452.0,96.0,358.0,180.0,367.0,36.0,288.0,112.0,118.0,131.0,381.0,74.0,85.0,130.0,127.0,54.0,137.0,88.0,143.0,301.0,361.0,573.0,203.0,71.0,128.0,333.0,193.0,470.0,142.0,200.0,74.0,89.0,112.0,88.0,241.0,110.0,396.0,218.0,116.0,126.0,412.0,96.0,470.0,599.0,375.0,61.0,73.0,187.0,213.0,92.0,203.0,193.0,150.0,120.0,141.0,135.0,61.0,105.0,409.0,226.0,144.0,383.0,145.0,55.0,87.0,534.0,109.0,279.0,159.0,198.0,178.0,179.0,45.0,281.0,70.0,456.0,82.0,314.0,183.0,101.0,254.0,100.0,132.0,349.0,152.0,452.0,524.0,89.0,39.0,114.0,219.0,182.0,67.0,166.0,93.0,339.0,524.0,237.0,54.0,138.0,308.0,98.0,103.0,205.0,435.0,226.0,71.0,140.0,81.0,192.0,216.0,268.0,114.0
