Statistics,tRNA-synt_2b,MHC_II_N,oxidored_q6,kunitz,rep,cyt5,icd,ccH,sodcu,thiored,DEAD,dhfr,cytb,int,fer2,NTP_transferase,annexin,fbpase,DNA_PPF,cat3,HATPase_c,ferritin,TNF,RGS,BIR,Fapy_DNA_glyco,tms,Ribosomal_L6_D,bac_luciferase,ngf,LIM,TyrKc,gtp,MHC_II_beta_NC,hom,cytprime,cryst,glnasn,CPSase_L_chain,EFTU_2,Peptidase_M24,LDLa,sugbp,oat,WW,LuxS,msb,ghf7,plantltp,reductases,mmp,FAD-oxidase_C,squash,ppase,biotin_lipoyl,tgfb,ghf22,Sulfotransfer,scorptoxin,protg,cyt3,HGTP_anticodon,seatoxin,igV,hip,CH,adk,porin,ghf33,MoCF_biosynth,HTH_AraC,sh2,cpa,MM_CoA_mutase,pec_lyase,slectin,cbp,ins,hpr,ets,TIG,Phage_integrase,PDZ,DHOdehase,helicase_C,mycin,fkbp,KISc,histone,ghf5,pdc,adh,kazal,bowman,MHC_II_alpha_NC,laminin_G,HLH,cyclo,tbpc,GEL,CBM_20,igI,Levi_coat,myb_DNA-binding,MHC_II_C,Epimerase,hemopexin,profilin,peroxidase,bromodomain,GLA,TIL,Glyco_hydro_18,parv,cah,DEATH,sti,hla,fer4,ChtBD,ricin,pot,actin,hr,FAD_binding_4,flav,Bac_DNA_binding,Stap_Strp_toxin,kringle,rvp,ghf18,ndk,lipase,PK,HMG_box,zf-CCHH,igcon,sodfe,DMRL_synthase,CBS,RuBisCO_small,Sm,tln,aldedh,TPR,rub,cytc,hormone_rec,Propep_M14,S_100,serbact,pgk,cpn60_TCP1,egf,rnasemam,il8,RRF,Rhodanese,Pro_CA,Lum_binding
1-SPFP,0.481223383662,0.642065761258,0.955779674166,0.95447284345,0.807594936709,0.75775862069,0.917004048583,0.912536443149,0.882565789474,0.434679334917,0.562297734628,0.865563598759,0.879762912786,0.901775804661,0.802457466919,0.72311827957,0.996615189338,0.972462203024,0.375,0.715175097276,0.584870848708,1.0,0.81417208966,0.846965699208,0.793436293436,0.924292297564,0.946347031963,0.775784753363,0.889596602972,0.9578125,0.970684039088,0.935064935065,0.830246241011,0.867094408799,0.939297124601,0.760544217687,0.904613642796,0.987571206629,0.757527733756,0.635208711434,0.740100791937,0.882096069869,0.760216346154,0.75864978903,0.81,0.855981416957,0.887952559301,0.939312806783,0.814064362336,0.645920606423,0.96725440806,0.241139680334,0.85119047619,0.759765625,0.900613496933,0.876653862569,0.96431190418,0.63377374071,0.928867812685,0.520114942529,0.87532808399,0.809883321894,0.791383219955,0.668060200669,0.737704918033,0.811594202899,0.815255731922,0.471720818291,0.639939485628,0.742528735632,0.858974358974,0.863358637289,0.914379802415,0.72104607721,0.5944386149,0.928348909657,0.87645631068,0.947873799726,0.984830805134,0.896686159844,0.970779220779,0.383110195675,0.873088685015,0.687040181098,0.589638718473,0.957317073171,0.9300155521,0.881679389313,0.794310722101,0.568036095939,0.745200130166,0.989258861439,0.973333333333,0.962427745665,0.934762348555,0.586734693878,0.848142164782,0.881688963211,0.942615239887,0.675171736997,0.862190812721,0.667697063369,0.861924686192,0.960396039604,0.983437615017,0.773085585586,0.910856134157,0.922392886015,0.859047619048,0.973886328725,0.985507246377,0.814705882353,0.704748472026,0.979982206406,0.883670831538,0.619047619048,0.777913361806,1.0,0.747956662232,0.990361445783,0.924494999019,0.926315789474,0.622039632673,0.998571428571,0.471228615863,0.878213802436,0.95951417004,0.762906938507,0.92404620231,0.735215053763,0.489099136158,0.981818181818,0.995481247176,0.958613371065,0.96218487395,0.926423770782,0.844512195122,0.880588673621,0.873670212766,0.673228346457,0.887975778547,0.858536585366,0.834945930563,0.888970051132,0.526260504202,0.991836734694,0.909941727,0.691138140747,0.927374301676,0.862990810359,0.922822491731,0.946966482817,0.72582619339,0.77299185099,0.887653598596,0.824909243228,0.888380603843,0.663308589608,0.838839645447,0.718085106383
1-SPFN,0.509009009009,0.602347024308,0.95503875969,0.946534653465,0.809644670051,0.760380622837,0.917800289436,0.912536443149,0.88372859025,0.459414225941,0.577242524917,0.863777089783,0.865112406328,0.904788418708,0.827831174258,0.735978112175,0.996615189338,0.978804347826,0.37012987013,0.705837173579,0.607047108388,1.0,0.810071942446,0.840314136126,0.771106941839,0.924901185771,0.952508617388,0.7899543379,0.888967468175,0.9578125,0.961290322581,0.943173431734,0.832241153342,0.863138686131,0.946555054733,0.755405405405,0.903079966092,0.987571206629,0.773462783172,0.634057971014,0.761481481481,0.885964912281,0.765738498789,0.752616157388,0.818181818182,0.867058823529,0.90489821883,0.938893844781,0.821901323706,0.667216154956,0.968474148802,0.240972222222,0.85119047619,0.766502463054,0.915782907049,0.866666666667,0.962547273393,0.640918580376,0.930522565321,0.527696793003,0.875902823375,0.814354727398,0.80787037037,0.700058411215,0.747734138973,0.807692307692,0.871484681854,0.458747805734,0.654461062403,0.75644028103,0.87012987013,0.875351980477,0.921970116215,0.729219143577,0.607832618026,0.9218870843,0.880946572335,0.95839112344,0.983682983683,0.896686159844,0.971567831032,0.408791208791,0.877112135177,0.694905552376,0.626811594203,0.957317073171,0.92,0.887973640857,0.806666666667,0.586705911209,0.756025090789,0.988993288591,0.973333333333,0.968023255814,0.932156133829,0.594008264463,0.848142164782,0.881688963211,0.937324602432,0.684577114428,0.866169684061,0.683111954459,0.857142857143,0.971943887776,0.981631153564,0.777463193658,0.9157054126,0.921647819063,0.872903225806,0.973886328725,0.985507246377,0.807580174927,0.705411764706,0.979111111111,0.885578583765,0.617754569191,0.790452572846,1.0,0.761269104275,0.992753623188,0.921422986708,0.926315789474,0.637444279346,0.998571428571,0.483639265762,0.866488651535,0.95951417004,0.767449553424,0.9378330373,0.740189445196,0.491728701406,0.981818181818,0.995481247176,0.959292035398,0.973087818697,0.934356047092,0.859405617244,0.889537071886,0.896928327645,0.665369649805,0.890672451193,0.850241545894,0.841169724771,0.887673231218,0.5594639866,0.991836734694,0.911712668082,0.72681589767,0.927374301676,0.871729957806,0.924861878453,0.946163628656,0.75637755102,0.768815129294,0.905671641791,0.834699067533,0.898242368178,0.6784164859,0.85257985258,0.711775043937
SP-Score,0.495116196336,0.622206392783,0.955409216928,0.950503748458,0.80861980338,0.759069621764,0.917402169009,0.912536443149,0.883147189862,0.447046780429,0.569770129772,0.864670344271,0.872437659557,0.903282111685,0.815144320588,0.729548195872,0.996615189338,0.975633275425,0.372564935065,0.710506135428,0.595958978548,1.0,0.812122016053,0.843639917667,0.782271617637,0.924596741667,0.949427824676,0.782869545631,0.889282035574,0.9578125,0.965987180834,0.9391191834,0.831243697177,0.865116547465,0.942926089667,0.757974811546,0.903846804444,0.987571206629,0.765495258464,0.634633341224,0.750791136709,0.884030491075,0.762977422472,0.755632973209,0.814090909091,0.861520120243,0.896425389065,0.939103325782,0.817982843021,0.656568380689,0.967864278431,0.241055951278,0.85119047619,0.763134044027,0.908198201991,0.871660264618,0.963429588786,0.637346160543,0.929695189003,0.523905867766,0.875615453682,0.812119024646,0.799626795163,0.684059305942,0.742719528503,0.809643255295,0.843370206888,0.465234312013,0.647200274016,0.749484508331,0.864552114552,0.869355308883,0.918174959315,0.725132610394,0.601135616463,0.925117996979,0.878701441507,0.953132461583,0.984256894409,0.896686159844,0.971173525905,0.395950702233,0.875100410096,0.690972866737,0.608225156338,0.957317073171,0.92500777605,0.884826515085,0.800488694384,0.577371003574,0.750612610478,0.989126075015,0.973333333333,0.965225500739,0.933459241192,0.59037147917,0.848142164782,0.881688963211,0.93996992116,0.679874425712,0.864180248391,0.675404508914,0.859533771668,0.96616996369,0.98253438429,0.775274389622,0.913280773378,0.922020352539,0.865975422427,0.973886328725,0.985507246377,0.81114302864,0.705080118366,0.979546658758,0.884624707652,0.618401094119,0.784182967326,1.0,0.754612883254,0.991557534486,0.922958992864,0.926315789474,0.629741956009,0.998571428571,0.477433940813,0.872351226986,0.95951417004,0.765178245965,0.930939619805,0.73770224948,0.490413918782,0.981818181818,0.995481247176,0.958952703231,0.967636346323,0.930389908937,0.851958906183,0.885062872754,0.885299270206,0.669298998131,0.88932411487,0.85438906563,0.838057827667,0.888321641175,0.542862245401,0.991836734694,0.910827197541,0.708977019209,0.927374301676,0.867360384083,0.923842185092,0.946565055737,0.741101872205,0.770903490142,0.896662620193,0.829804155381,0.89331148601,0.670862537754,0.845709749014,0.71493007516
TC,0.220930232558,0.221052631579,0.872180451128,0.766666666667,0.573333333333,0.261904761905,0.776859504132,0.796610169492,0.710843373494,0.0869565217391,0.408963585434,0.779569892473,0.597826086957,0.762376237624,0.422413793103,0.526315789474,0.987421383648,0.937888198758,0.030534351145,0.390946502058,0.294573643411,1.0,0.566878980892,0.669117647059,0.561904761905,0.834586466165,0.821052631579,0.542553191489,0.818452380952,0.907407407407,0.792682926829,0.742671009772,0.436842105263,0.763157894737,0.739130434783,0.581395348837,0.635359116022,0.969604863222,0.633333333333,0.25,0.541353383459,0.790697674419,0.58803986711,0.618181818182,0.521739130435,0.727848101266,0.627586206897,0.837905236908,0.472527472527,0.30959752322,0.87573964497,0.0244755244755,0.689655172414,0.537142857143,0.729411764706,0.512820512821,0.846153846154,0.216216216216,0.794520547945,0.078125,0.652542372881,0.547826086957,0.448979591837,0.300751879699,0.416666666667,0.629310344828,0.329268292683,0.215517241379,0.422279792746,0.534482758621,0.75,0.532258064516,0.809061488673,0.538461538462,0.304239401496,0.832116788321,0.596858638743,0.797101449275,0.931818181818,0.755319148936,0.896551724138,0.176767676768,0.717171717172,0.445820433437,0.284946236559,0.884955752212,0.858407079646,0.756024096386,0.636363636364,0.236503856041,0.571428571429,0.965333333333,0.913793103448,0.885714285714,0.862637362637,0.348717948718,0.654761904762,0.751322751323,0.842391304348,0.342465753425,0.574074074074,0.161904761905,0.7,0.857142857143,0.910891089109,0.559420289855,0.812182741117,0.828125,0.618911174785,0.909836065574,0.972972972973,0.630769230769,0.497584541063,0.926605504587,0.69741697417,0.298387096774,0.5,1.0,0.311827956989,0.953488372093,0.765567765568,0.838235294118,0.202597402597,0.987341772152,0.208333333333,0.657142857143,0.894736842105,0.43621399177,0.76404494382,0.369369369369,0.177914110429,0.933774834437,0.984478935698,0.902,0.864197530864,0.714285714286,0.467289719626,0.598086124402,0.680473372781,0.507692307692,0.72972972973,0.662337662338,0.633228840125,0.743027888446,0.0102564102564,0.962962962963,0.689393939394,0.434163701068,0.797872340426,0.632653061224,0.785340314136,0.888613861386,0.517441860465,0.485294117647,0.649253731343,0.415584415584,0.768817204301,0.369791666667,0.687242798354,0.5
Modeler,0.481223383662,0.642065761258,0.955779674166,0.95447284345,0.807594936709,0.75775862069,0.917004048583,0.912536443149,0.882565789474,0.434679334917,0.562297734628,0.865563598759,0.879762912786,0.901775804661,0.802457466919,0.72311827957,0.996615189338,0.972462203024,0.375,0.715175097276,0.584870848708,1.0,0.81417208966,0.846965699208,0.793436293436,0.924292297564,0.946347031963,0.775784753363,0.889596602972,0.9578125,0.970684039088,0.935064935065,0.830246241011,0.867094408799,0.939297124601,0.760544217687,0.904613642796,0.987571206629,0.757527733756,0.635208711434,0.740100791937,0.882096069869,0.760216346154,0.75864978903,0.81,0.855981416957,0.887952559301,0.939312806783,0.814064362336,0.645920606423,0.96725440806,0.241139680334,0.85119047619,0.759765625,0.900613496933,0.876653862569,0.96431190418,0.63377374071,0.928867812685,0.520114942529,0.87532808399,0.809883321894,0.791383219955,0.668060200669,0.737704918033,0.811594202899,0.815255731922,0.471720818291,0.639939485628,0.742528735632,0.858974358974,0.863358637289,0.914379802415,0.72104607721,0.5944386149,0.928348909657,0.87645631068,0.947873799726,0.984830805134,0.896686159844,0.970779220779,0.383110195675,0.873088685015,0.687040181098,0.589638718473,0.957317073171,0.9300155521,0.881679389313,0.794310722101,0.568036095939,0.745200130166,0.989258861439,0.973333333333,0.962427745665,0.934762348555,0.586734693878,0.848142164782,0.881688963211,0.942615239887,0.675171736997,0.862190812721,0.667697063369,0.861924686192,0.960396039604,0.983437615017,0.773085585586,0.910856134157,0.922392886015,0.859047619048,0.973886328725,0.985507246377,0.814705882353,0.704748472026,0.979982206406,0.883670831538,0.619047619048,0.777913361806,1.0,0.747956662232,0.990361445783,0.924494999019,0.926315789474,0.622039632673,0.998571428571,0.471228615863,0.878213802436,0.95951417004,0.762906938507,0.92404620231,0.735215053763,0.489099136158,0.981818181818,0.995481247176,0.958613371065,0.96218487395,0.926423770782,0.844512195122,0.880588673621,0.873670212766,0.673228346457,0.887975778547,0.858536585366,0.834945930563,0.888970051132,0.526260504202,0.991836734694,0.909941727,0.691138140747,0.927374301676,0.862990810359,0.922822491731,0.946966482817,0.72582619339,0.77299185099,0.887653598596,0.824909243228,0.888380603843,0.663308589608,0.838839645447,0.718085106383
Compression,0.89721627409,1.11458333333,1.0,1.046875,0.988636363636,1.0,1.00230946882,1.0,0.994082840237,0.901515151515,0.986425339367,1.00529100529,1.06,1.00456621005,0.941176470588,0.980707395498,1.0,0.988732394366,1.01526717557,1.03137254902,0.965779467681,1.0,1.00568181818,1.01351351351,1.01818181818,1.0,0.994397759104,1.0,1.00297619048,1.0,1.06976744186,1.02572347267,0.985714285714,1.00921658986,0.959183673469,1.01470588235,1.02083333333,1.0,0.972027972028,1.016,0.969696969697,1.0,0.981762917933,1.02008032129,1.01960784314,0.993827160494,1.0,1.00663716814,0.979166666667,0.966480446927,1.00555555556,0.980926430518,1.0,0.982638888889,0.964285714286,1.04237288136,1.01526717557,0.992125984252,1.0,0.964705882353,1.04615384615,0.984251968504,0.944444444444,1.0,1.0,1.02097902098,0.87707641196,1.05263157895,0.980802792321,0.980295566502,0.985915492958,1.0390625,0.987987987988,0.984455958549,1.00212765957,1.02112676056,0.995,1.0,1.0,1.0,1.0,0.921161825726,1.00909090909,0.972222222222,0.908256880734,1.0,1.00793650794,0.98786407767,1.02083333333,0.997872340426,0.994991652755,1.00266666667,1.0,1.0,1.00534759358,1.01408450704,1.0,1.0,1.0103626943,1.00666666667,1.0,0.936170212766,1.01481481481,1.0,1.00952380952,1.0097799511,0.991150442478,1.00694444444,0.971279373368,1.0,1.0,1.03448275862,0.979400749064,1.0,0.996415770609,1.0251572327,1.0101010101,1.0,0.916201117318,1.0,1.02135231317,1.0,0.964912280702,1.0,0.974522292994,1.03825136612,1.0,1.0,1.0,1.0303030303,1.00859598854,1.0,1.0,1.00190839695,1.0,1.0,0.991228070175,1.01826484018,0.950549450549,1.05970149254,0.981927710843,1.01075268817,0.988200589971,1.01526717557,1.00421940928,1.0,1.02898550725,1.0,1.0,1.0,1.00487804878,1.00459770115,0.951327433628,1.04225352113,0.964285714286,0.975308641975,0.979166666667,0.986111111111,0.985074626866,1.01754385965
Average Pairwise P-Distance,0.813060615249,0.69157746224,0.432541212615,0.621300680491,0.696524216524,0.497570671228,0.583461582685,0.652770575865,0.577504625952,0.794302357561,0.703921305539,0.640414891982,0.644403962918,0.774687089415,0.546840027063,0.676688133147,0.428456546658,0.321474752932,0.674867493739,0.752409548259,0.754982275496,0.395941660193,0.68045391178,0.666708669355,0.637616691285,0.596884675783,0.540818317462,0.821860771164,0.698817114418,0.432814449081,0.472027358929,0.549611150813,0.665527900799,0.542842294496,0.647106699063,0.732550430418,0.555849520145,0.482811077208,0.769613204258,0.603161530548,0.778699499205,0.543583686876,0.762125149573,0.761455715607,0.710407900063,0.574859638103,0.733829693113,0.526189692191,0.511895604396,0.77855309792,0.449466071387,0.892280673019,0.522129477589,0.610618569508,0.71074070732,0.56180829161,0.485511040209,0.738017462322,0.536707070444,0.507921318448,0.596915099147,0.779268400873,0.574178324287,0.81766256597,0.666263277859,0.774494364128,0.673693334175,0.754471684433,0.77068656165,0.71772579895,0.727523894863,0.649837334514,0.538145283908,0.675947544238,0.704938332975,0.666731476643,0.616818569791,0.550970474549,0.555956413038,0.514941639368,0.446402349673,0.845144176372,0.693596967243,0.738523872717,0.724893232418,0.602234243589,0.527409429113,0.548908326168,0.826348980178,0.821664031898,0.795805989437,0.360924960618,0.592340974888,0.351111239414,0.552210959782,0.817367294175,0.718990786467,0.559455969637,0.393381802865,0.762799751747,0.482047419162,0.844681223369,0.531445063548,0.592582154704,0.611573779299,0.776182796718,0.679011511958,0.602567561363,0.62742241785,0.657440713035,0.472144413321,0.639874226527,0.724493600477,0.444054946113,0.612811388951,0.803647499156,0.635619647256,0.235393258427,0.667164418006,0.40665221619,0.625041880386,0.612652229351,0.602763160125,0.466850061025,0.821594228125,0.65038575879,0.669831363203,0.674801967022,0.566619523167,0.63385914695,0.801401791822,0.441311587603,0.262909945551,0.52468294926,0.75150051136,0.645335152946,0.670088729725,0.576749866252,0.667755917722,0.689152170795,0.538122283561,0.804998272552,0.564584649463,0.614808567767,0.829902923445,0.378913108719,0.555258866212,0.784890184516,0.505694618273,0.657035371119,0.475470216982,0.485784743044,0.628134386911,0.688783219691,0.578133444705,0.654539898619,0.598179098968,0.773244035327,0.608288055899,0.729374418295
Maximum Pairwise P-Distance,0.882352941176,0.935897435897,0.606299212598,0.839285714286,0.813333333333,0.760563380282,0.735465116279,0.741379310345,0.75,0.931506849315,0.848314606742,0.748427672956,0.733333333333,0.826315789474,0.862068965517,0.811158798283,0.536507936508,0.544554455446,0.917525773196,0.905,0.865168539326,0.482352941176,0.785714285714,0.75,0.704545454545,0.64,0.631782945736,0.898550724638,0.837104072398,0.471698113208,0.6,0.649606299213,0.845161290323,0.78021978022,0.839285714286,0.786885245902,0.811320754717,0.541538461538,0.868686868687,0.869565217391,0.857142857143,0.615384615385,0.807272727273,0.798507462687,0.810810810811,0.65306122449,0.857142857143,0.59585492228,0.763888888889,0.848888888889,0.527950310559,0.938775510204,0.714285714286,0.730994152047,0.835443037975,0.8,0.691056910569,0.872340425532,0.716666666667,0.875,0.747572815534,0.864583333333,0.783783783784,0.936170212766,0.80701754386,0.865384615385,0.837209302326,0.867857142857,0.784126984127,0.84328358209,0.833333333333,0.758241758242,0.692567567568,0.827067669173,0.807692307692,0.765151515152,0.854166666667,0.739130434783,0.682352941176,0.642857142857,0.6,0.903846153846,0.835294117647,0.780068728522,0.818181818182,0.63963963964,0.579439252336,0.666666666667,0.871428571429,0.87044534413,0.841085271318,0.47311827957,0.745454545455,0.491525423729,0.761111111111,0.850649350649,0.793103448276,0.713333333333,0.633333333333,0.85046728972,0.712765957447,0.963855421687,0.775862068966,0.765957446809,0.783505154639,0.808362369338,0.775956284153,0.72131147541,0.843065693431,0.736363636364,0.571428571429,0.733333333333,0.757925072046,0.551401869159,0.7004048583,0.895833333333,0.7875,0.325842696629,0.833333333333,0.487804878049,0.742738589212,0.650793650794,0.854785478548,0.535211267606,0.905263157895,0.794117647059,0.757894736842,0.824175824176,0.688311688312,0.764150943396,0.8875,0.559440559441,0.33180778032,0.564835164835,0.898550724638,0.851851851852,0.847826086957,0.677777777778,0.775362318841,0.766666666667,0.701923076923,0.867647058824,0.717948717949,0.726635514019,0.922413793103,0.545454545455,0.673267326733,0.848214285714,0.682352941176,0.816091954023,0.648351648352,0.530303030303,0.806451612903,0.830188679245,0.732673267327,0.885245901639,0.653409090909,0.888,0.765625,0.804347826087
Number of Sequences,5.0,13.0,5.0,10.0,4.0,6.0,5.0,4.0,7.0,6.0,4.0,4.0,6.0,5.0,13.0,4.0,6.0,4.0,4.0,4.0,6.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,7.0,8.0,4.0,8.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,4.0,5.0,7.0,6.0,4.0,4.0,4.0,7.0,8.0,12.0,5.0,8.0,4.0,6.0,6.0,5.0,9.0,5.0,4.0,9.0,4.0,4.0,4.0,4.0,11.0,4.0,4.0,4.0,5.0,8.0,6.0,5.0,4.0,6.0,4.0,6.0,4.0,5.0,4.0,4.0,4.0,4.0,6.0,4.0,5.0,6.0,5.0,4.0,4.0,5.0,6.0,4.0,5.0,8.0,9.0,4.0,5.0,8.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,7.0,5.0,7.0,5.0,5.0,14.0,5.0,7.0,4.0,4.0,5.0,4.0,6.0,4.0,6.0,9.0,6.0,5.0,4.0,5.0,4.0,5.0,15.0,12.0,8.0,5.0,4.0,7.0,4.0,4.0,4.0,6.0,5.0,11.0,5.0,4.0,6.0,5.0,4.0,4.0,12.0,6.0,11.0,4.0,6.0,4.0,4.0
Reference Length,467.0,96.0,285.0,64.0,88.0,93.0,433.0,65.0,169.0,132.0,442.0,189.0,100.0,219.0,119.0,311.0,323.0,355.0,131.0,255.0,263.0,173.0,176.0,148.0,165.0,279.0,357.0,103.0,336.0,116.0,86.0,311.0,210.0,217.0,98.0,136.0,192.0,334.0,143.0,125.0,363.0,48.0,329.0,498.0,51.0,162.0,158.0,452.0,96.0,358.0,180.0,367.0,36.0,288.0,112.0,118.0,131.0,381.0,74.0,85.0,130.0,127.0,54.0,137.0,88.0,143.0,301.0,361.0,573.0,203.0,71.0,128.0,333.0,193.0,470.0,142.0,200.0,74.0,89.0,112.0,88.0,241.0,110.0,396.0,218.0,116.0,126.0,412.0,96.0,470.0,599.0,375.0,61.0,73.0,187.0,213.0,92.0,203.0,193.0,150.0,120.0,141.0,135.0,61.0,105.0,409.0,226.0,144.0,383.0,145.0,55.0,87.0,534.0,109.0,279.0,159.0,198.0,178.0,179.0,45.0,281.0,70.0,456.0,82.0,314.0,183.0,101.0,254.0,100.0,132.0,349.0,152.0,452.0,524.0,89.0,39.0,114.0,219.0,182.0,67.0,166.0,93.0,339.0,524.0,237.0,54.0,138.0,308.0,98.0,103.0,205.0,435.0,226.0,71.0,140.0,81.0,192.0,216.0,268.0,114.0
