Statistics,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL00052441,AL00057282,AL00055186,AL00054403,AL00050715,AL00102031,AL00053377,AL00089447,AL10048599,AL10063763,AL00055594,AL00052150,AL00052086,AL20089447,AL00101215,AL00088995,AL00089048,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL00050799,AL10063410,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00047861,AL00051984,AL00052141,AL00088696,AL00069381,AL00089800,AL00109622,AL00068994,AL10109622,AL00103575,AL10056276,AL10050712,AL10050335,AL10054446,AL00089623,AL10054814,AL00049599,AL00057413,AL10074933,AL00051713,AL00054253,AL00069117,AL00054814,AL00050464,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL10101215,AL10057491,AL00055723,AL10069117,AL00051392,AL00054790,AL00051906,AL00050331,AL00052113,AL00051306,AL00052821,AL00057492
1-SPFP,0.536036036036,0.848275862069,0.581137309293,0.280959752322,0.484626647145,0.671717171717,0.697486275643,0.978609625668,0.813333333333,0.631578947368,0.188118811881,0.664772727273,0.836592178771,0.670103092784,0.470588235294,0.31843575419,1.0,0.21396731055,0.472632079962,0.610655737705,0.923976608187,1.0,1.0,0.721275426058,0.648264984227,0.973607038123,0.707689575564,0.853798996842,0.939286861548,0.928827946458,0.695309420575,0.405524168236,0.888888888889,0.935146443515,0.934592514865,0.828571428571,0.935145010276,0.632432432432,0.807692307692,0.778903456496,0.76,0.802380952381,0.987995198079,0.898550724638,0.979500891266,0.74693877551,0.516718913271,0.430436072382,0.566782810685,0.838983050847,0.524154589372,1.0,0.412903225806,0.436090225564,0.364173228346,0.820642978003,0.764078245406,0.0,0.972027972028,1.0,0.697318007663,0.699453551913,0.800248138958,0.914031620553,0.937799043062,0.667368421053,0.514170040486,0.608856088561,0.875536480687,0.411829740188,0.858370855506,1.0,0.990675990676,0.889328063241,0.585677749361,0.0567164179104,0.647101449275,0.897785349233,0.912800447177,0.475446428571,0.941935483871,0.780023319083,0.658051689861,0.646044936904,1.0
1-SPFN,0.457692307692,0.848275862069,0.571623465211,0.255094869993,0.483918128655,0.66059602649,0.698697539797,0.978609625668,0.815144766147,0.566929133858,0.168514412417,0.629032258065,0.816076294278,0.565217391304,0.493392070485,0.290519877676,1.0,0.233009708738,0.419695688926,0.605691056911,0.918604651163,1.0,1.0,0.71226927253,0.628440366972,0.97503671072,0.692441355343,0.846876727474,0.940797940798,0.940495867769,0.672768878719,0.384752829065,0.869135802469,0.935146443515,0.931659693166,0.828571428571,0.934504792332,0.557142857143,0.816254416961,0.775207591934,0.743016759777,0.785547785548,0.987995198079,0.90775988287,0.980374665477,0.712062256809,0.496112365187,0.372051282051,0.583034647551,0.825,0.501154734411,1.0,0.375366568915,0.41726618705,0.310402684564,0.806988352745,0.748113755078,0.0,0.972027972028,1.0,0.680798004988,0.612440191388,0.778045838359,0.913129318855,0.936678614098,0.62959285005,0.529166666667,0.526713709677,0.866702071163,0.328001174053,0.815001943257,1.0,0.990675990676,0.882352941176,0.546104928458,0.0449172576832,0.602157788267,0.891708967851,0.915872125631,0.446229050279,0.941935483871,0.766908674054,0.640232108317,0.63896499239,1.0
SP-Score,0.496864171864,0.848275862069,0.576380387252,0.268027311157,0.4842723879,0.666156599104,0.69809190772,0.978609625668,0.81423904974,0.599254040613,0.178316612149,0.646902492669,0.826334236524,0.617660242044,0.481990152889,0.304477815933,1.0,0.223488509644,0.446163884444,0.608173397308,0.921290629675,1.0,1.0,0.716772349294,0.6383526756,0.974321874421,0.700065465454,0.850337862158,0.940042401173,0.934661907113,0.684039149647,0.39513849865,0.879012345679,0.935146443515,0.933126104016,0.828571428571,0.934824901304,0.594787644788,0.811973362327,0.777055524215,0.751508379888,0.793964368964,0.987995198079,0.903155303754,0.979937778371,0.72950051616,0.506415639229,0.401243677217,0.574908729118,0.831991525424,0.512654661892,1.0,0.394134897361,0.426678206307,0.337287956455,0.813815665374,0.756096000242,0.0,0.972027972028,1.0,0.689058006325,0.65594687165,0.789146988659,0.913580469704,0.93723882858,0.648480635551,0.521668353576,0.567784899119,0.871119275925,0.369915457121,0.836686399381,1.0,0.990675990676,0.885840502209,0.565891338909,0.0508168377968,0.624629618771,0.894747158542,0.914336286404,0.460837739425,0.941935483871,0.773465996569,0.649141899089,0.642504964647,1.0
TC,0.0,0.633333333333,0.252631578947,0.0514705882353,0.173913043478,0.131578947368,0.12213740458,0.9375,0.691823899371,0.147058823529,0.0,0.443548387097,0.734615384615,0.341463414634,0.252747252747,0.04,1.0,0.0254957507082,0.0333333333333,0.36170212766,0.831460674157,1.0,1.0,0.229357798165,0.0140845070423,0.854166666667,0.35119047619,0.503184713376,0.78125,0.74358974359,0.229299363057,0.0120481927711,0.636363636364,0.904320987654,0.850515463918,0.737704918033,0.533333333333,0.402777777778,0.261904761905,0.510204081633,0.523076923077,0.59375,0.972027972028,0.773109243697,0.909090909091,0.551724137931,0.150289017341,0.179856115108,0.230248306998,0.645833333333,0.264516129032,1.0,0.0,0.283018867925,0.0,0.595238095238,0.529411764706,0.0,0.958041958042,1.0,0.258503401361,0.519480519481,0.489361702128,0.825484764543,0.793103448276,0.214285714286,0.247058823529,0.123966942149,0.663414634146,0.0,0.511278195489,1.0,0.974683544304,0.808988764045,0.166666666667,0.0,0.325153374233,0.820895522388,0.652173913043,0.131818181818,0.825396825397,0.322580645161,0.292134831461,0.207792207792,1.0
Modeler,0.536036036036,0.848275862069,0.581137309293,0.280959752322,0.484626647145,0.671717171717,0.697486275643,0.978609625668,0.813333333333,0.631578947368,0.188118811881,0.664772727273,0.836592178771,0.670103092784,0.470588235294,0.31843575419,1.0,0.21396731055,0.472632079962,0.610655737705,0.923976608187,1.0,1.0,0.721275426058,0.648264984227,0.973607038123,0.707689575564,0.853798996842,0.939286861548,0.928827946458,0.695309420575,0.405524168236,0.888888888889,0.935146443515,0.934592514865,0.828571428571,0.935145010276,0.632432432432,0.807692307692,0.778903456496,0.76,0.802380952381,0.987995198079,0.898550724638,0.979500891266,0.74693877551,0.516718913271,0.430436072382,0.566782810685,0.838983050847,0.524154589372,1.0,0.412903225806,0.436090225564,0.364173228346,0.820642978003,0.764078245406,0.0,0.972027972028,1.0,0.697318007663,0.699453551913,0.800248138958,0.914031620553,0.937799043062,0.667368421053,0.514170040486,0.608856088561,0.875536480687,0.411829740188,0.858370855506,1.0,0.990675990676,0.889328063241,0.585677749361,0.0567164179104,0.647101449275,0.897785349233,0.912800447177,0.475446428571,0.941935483871,0.780023319083,0.658051689861,0.646044936904,1.0
Compression,1.08383233533,1.0,0.985436893204,1.02994011976,1.0,1.04938271605,1.02797202797,1.0,1.00617283951,1.17592592593,1.19327731092,1.07874015748,1.04270462633,1.2,0.965986394558,1.16666666667,1.0,0.92972972973,1.27814569536,1.00819672131,1.01111111111,1.0,1.0,1.00892857143,1.06666666667,1.0,1.04473684211,1.04494382022,1.01224489796,1.0,1.18918918919,1.21022727273,1.06060606061,0.995824634656,1.01421800948,1.0,1.03636363636,1.17283950617,0.972222222222,1.01923076923,1.01449275362,1.0,1.0,0.992,1.0,1.06741573034,1.11627906977,1.27083333333,0.991471215352,1.02631578947,1.05732484076,1.0,1.14754098361,1.09090909091,1.27559055118,1.0,1.07142857143,1.24705882353,1.0,1.0,1.03947368421,1.15662650602,1.00884955752,1.0027100271,1.01136363636,1.17142857143,0.958762886598,1.29752066116,1.02790697674,1.44217687075,1.15028901734,1.0,1.0,1.01111111111,1.0,1.13930348259,1.14705882353,1.01463414634,1.01123595506,1.03773584906,1.0,1.10101010101,1.02183406114,1.07407407407,1.0
Average Pairwise P-Distance,0.814298018949,0.52922705314,0.72558849887,0.866442755423,0.76663335237,0.716576829227,0.786193787616,0.402721774194,0.703348308521,0.809063244915,0.888737204087,0.516129032258,0.749552440302,0.788040385601,0.85097728965,0.847672274575,0.524376417234,0.850695955925,0.815129818058,0.792347415101,0.619511754885,0.770731707317,0.236842105263,0.737639698197,0.839825595677,0.308458383227,0.784573698352,0.698984691535,0.647427116702,0.678466734187,0.708650643938,0.809471716687,0.444285188746,0.6296426235,0.732845499985,0.743230079875,0.619349125512,0.828544212133,0.607942720467,0.732430894085,0.861909953792,0.774176562685,0.572314102178,0.467356948607,0.785150303873,0.787018255578,0.739221783702,0.860946387181,0.749079248371,0.693491285403,0.851960784314,0.0346666666667,0.886406493972,0.744036970781,0.818706564327,0.809847374847,0.801628915955,0.912852664577,0.622377622378,0.706793206793,0.744416359698,0.879336650083,0.784402974313,0.666253343173,0.589742678725,0.807710109027,0.761102969559,0.794908485751,0.657215231991,0.832150611068,0.725144030768,0.0036036036036,0.343550331525,0.690131311764,0.766103536779,0.929481607917,0.812615551788,0.697150997151,0.724044994574,0.811895826654,0.681441666037,0.821851041798,0.746465242071,0.803832859116,0.5
Maximum Pairwise P-Distance,0.976744186047,0.739130434783,0.880733944954,0.955056179775,0.839805825243,0.89,0.910256410256,0.58064516129,0.824324324324,0.942857142857,0.918918918919,0.774193548387,0.788844621514,0.864864864865,0.867647058824,0.975,0.690476190476,0.922222222222,0.934579439252,0.829545454545,0.855421686747,0.878048780488,0.302631578947,0.8625,0.983050847458,0.511111111111,0.87265917603,0.80534351145,0.755980861244,0.842105263158,0.945054945055,0.928057553957,0.833333333333,0.72641509434,0.828125,0.810344827586,0.825,0.885714285714,0.904109589041,0.884615384615,0.929824561404,0.90625,0.647887323944,0.718181818182,0.864864864865,0.882352941176,0.885496183206,0.954545454545,0.895833333333,0.801470588235,0.935714285714,0.048,0.964912280702,0.807692307692,0.893617021277,0.923076923077,0.883333333333,0.945454545455,0.678321678322,0.909090909091,0.909090909091,0.906666666667,0.884615384615,0.743119266055,0.8125,0.89552238806,0.873015873016,0.957746478873,0.737704918033,0.949579831933,0.879310344828,0.00540540540541,0.442857142857,0.855421686747,0.913043478261,0.949275362319,0.883720930233,0.732323232323,0.84126984127,0.862595419847,0.803278688525,0.954545454545,0.83908045977,0.923076923077,0.577777777778
Number of Sequences,4.0,4.0,4.0,6.0,3.0,6.0,9.0,4.0,3.0,13.0,4.0,3.0,3.0,4.0,3.0,7.0,7.0,4.0,7.0,3.0,4.0,5.0,3.0,7.0,5.0,6.0,7.0,7.0,6.0,9.0,8.0,8.0,7.0,3.0,6.0,3.0,15.0,3.0,7.0,7.0,3.0,6.0,4.0,4.0,6.0,3.0,8.0,11.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,6.0,6.0,3.0,3.0,14.0,4.0,3.0,5.0,3.0,5.0,6.0,6.0,13.0,5.0,11.0,10.0,3.0,4.0,3.0,11.0,3.0,5.0,3.0,8.0,5.0,6.0,9.0,4.0,12.0,4.0
Reference Length,167.0,60.0,206.0,167.0,302.0,162.0,143.0,32.0,162.0,108.0,119.0,127.0,281.0,45.0,147.0,96.0,84.0,555.0,151.0,122.0,90.0,41.0,76.0,112.0,75.0,48.0,380.0,356.0,245.0,117.0,185.0,176.0,99.0,479.0,211.0,75.0,55.0,81.0,108.0,104.0,69.0,45.0,146.0,125.0,78.0,89.0,215.0,144.0,469.0,152.0,157.0,125.0,61.0,66.0,127.0,43.0,140.0,85.0,145.0,22.0,152.0,83.0,113.0,369.0,88.0,70.0,97.0,121.0,215.0,147.0,173.0,185.0,79.0,180.0,40.0,201.0,170.0,205.0,89.0,265.0,64.0,99.0,229.0,162.0,46.0
