,RoseSmallS1R04,RoseSmallS1R01,RoseSmallS1R06,RoseSmallS1R07,RoseSmallS1R08,RoseSmallS1R05,RoseSmallS1R10,RoseSmallS1R03,RoseSmallS1R09,RoseSmallS1R02
1-SPFP,0.457739771911,0.458119905616,0.561831933029,0.345346445257,0.235423852092,0.399024106642,0.15157414214,0.417132625104,0.479549694384,0.338433221657
1-SPFN,0.380609635789,0.392346309553,0.495275156599,0.272628241552,0.168664167689,0.32299671245,0.112957113968,0.338532801389,0.399061174538,0.274969671104
SP-Score,0.41917470385,0.425233107584,0.528553544814,0.308987343405,0.20204400989,0.361010409546,0.132265628054,0.377832713246,0.439305434461,0.30670144638
TC,0.0624390243902439,0.06183574879227053,0.0,0.0,0.010607521697203472,0.003937007874015748,0.003972194637537239,0.0,0.0,0.0
Modeler,0.457739771910992,0.4581199056157088,0.5618319330293835,0.34534644525743297,0.2354238520916919,0.3990241066423039,0.15157414214017986,0.4171326251041412,0.4795496943836704,0.33843322165694667
Compression,1.4383318544809227,1.4431407942238268,1.4298561151079137,1.5846153846153845,1.7585601404741,1.6184448462929475,1.7677595628415301,1.5082266910420474,1.5346715328467153,1.5259856630824373
Average Pairwise P-Distance,0.691409900916,0.689072400044,0.681463765468,0.691980376963,0.69908994381,0.690398464325,0.701618126912,0.695136187508,0.690795764477,0.689124496217
Maximum Pairwise P-Distance,0.741116751269,0.744744744745,0.740181268882,0.738647830474,0.74297188755,0.746208291203,0.741573033708,0.743434343434,0.731658291457,0.736040609137
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1127,1108,1112,1105,1139,1106,1098,1094,1096,1116
Estimated Length,1621,1599,1590,1751,2003,1790,1941,1650,1682,1703
Maximum Ungapped Length,1017,1014,1012,1011,1012,1008,1006,1012,1018,1017
Sequence Length Heterogeneity,0.00527347693903,0.00474915468148,0.00526982890635,0.00535095374259,0.00475521555144,0.00375767609933,0.00490518246443,0.00465509681522,0.00546264757821,0.00658330794053
Gappiness Percentage,0.108535936114,0.0936462093863,0.0997482014388,0.094334841629,0.118770851624,0.0944665461121,0.092349726776,0.0859232175503,0.0851094890511,0.101684587814
Average Gap Length,2.31842304776,2.02973395931,2.12490421456,2.08313349321,2.24270557029,2.49236641221,1.84901531729,2.01371036847,2.13944954128,2.16070068545
Median Gap Length,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
