Statistics,tRNA-synt_2b,MHC_II_N,oxidored_q6,kunitz,rep,cyt5,icd,ccH,sodcu,thiored,DEAD,dhfr,cytb,int,fer2,NTP_transferase,annexin,fbpase,DNA_PPF,cat3,HATPase_c,ferritin,TNF,RGS,BIR,Fapy_DNA_glyco,tms,Ribosomal_L6_D,bac_luciferase,ngf,LIM,TyrKc,gtp,MHC_II_beta_NC,hom,cytprime,cryst,glnasn,CPSase_L_chain,EFTU_2,Peptidase_M24,LDLa,sugbp,oat,WW,LuxS,msb,ghf7,plantltp,reductases,mmp,FAD-oxidase_C,squash,ppase,biotin_lipoyl,tgfb,ghf22,Sulfotransfer,scorptoxin,protg,cyt3,HGTP_anticodon,seatoxin,igV,hip,CH,adk,porin,ghf33,MoCF_biosynth,HTH_AraC,sh2,cpa,MM_CoA_mutase,pec_lyase,slectin,cbp,ins,hpr,ets,TIG,Phage_integrase,PDZ,DHOdehase,helicase_C,mycin,fkbp,KISc,histone,ghf5,pdc,adh,kazal,bowman,MHC_II_alpha_NC,laminin_G,HLH,cyclo,tbpc,GEL,CBM_20,igI,Levi_coat,myb_DNA-binding,MHC_II_C,Epimerase,hemopexin,profilin,peroxidase,bromodomain,GLA,TIL,Glyco_hydro_18,parv,cah,DEATH,sti,hla,fer4,ChtBD,ricin,pot,actin,hr,FAD_binding_4,flav,Bac_DNA_binding,Stap_Strp_toxin,kringle,rvp,ghf18,ndk,lipase,PK,HMG_box,zf-CCHH,igcon,sodfe,DMRL_synthase,CBS,RuBisCO_small,Sm,tln,aldedh,TPR,rub,cytc,hormone_rec,Propep_M14,S_100,serbact,pgk,cpn60_TCP1,egf,rnasemam,il8,RRF,Rhodanese,Pro_CA,Lum_binding
1-SPFP,0.0161958568738,0.0964292533893,0.961598138092,0.949899799599,0.821522309711,0.714043993232,0.0577702702703,0.973760932945,0.107757107757,0.427425821973,0.00927643784787,0.848360655738,0.775042444822,0.896053362979,0.13612893131,0.764233087743,0.14164305949,0.972462203024,0.345454545455,0.682129277567,0.0208096859629,1.0,0.840257879656,0.825333333333,0.893129770992,0.931216931217,0.0429056924384,0.654506437768,0.883392226148,0.971875,0.962540716612,0.0632100805619,0.0663869693978,0.915223336372,0.921052631579,0.829467939973,0.107365792759,0.987571206629,0.754358161648,0.53982300885,0.757487216947,0.890350877193,0.827049670856,0.0210856886496,0.89898989899,0.900591715976,0.0578571428571,0.0725060827251,0.829181494662,0.0226295541978,0.970130416491,0.328319162852,0.833333333333,0.757100881489,0.885856079404,0.873369793858,0.211335254563,0.0193122939237,0.86449704142,0.537313432836,0.88961892247,0.870701513067,0.821100917431,0.116851168512,0.829850746269,0.716560509554,0.0392822502425,0.0395305744287,0.00979858464888,0.74942791762,0.658227848101,0.0687474500204,0.913424657534,0.774032459426,0.0350318471338,0.918897637795,0.0693240901213,0.915848527349,0.990675990676,0.938976377953,0.96986970684,0.316916488223,0.86301369863,0.706317586796,0.715819613457,0.955792682927,0.953301127214,0.0308924485126,0.726218097448,0.02578125,0.0513268156425,0.20253164557,0.835714285714,0.950437317784,0.962651727358,0.632612966601,0.924874791319,0.904344010531,0.952112676056,0.533141210375,0.844845908608,0.0747496423462,0.897364771151,0.952475247525,0.984191176471,0.771860986547,0.877497827976,0.944264943457,0.0367647058824,0.963133640553,0.94,0.75,0.0394922425952,0.983533600356,0.885578583765,0.692652832305,0.802843016069,1.0,0.0502625656414,0.990361445783,0.0638113778931,0.965789473684,0.0241196333816,0.992857142857,0.496514329977,0.880107768298,0.951219512195,0.0708092485549,0.912126537786,0.791024782317,0.0475231574708,0.982954545455,0.134720158494,0.0724070450098,0.960507757405,0.201655052265,0.146151053014,0.100532350532,0.866136514248,0.7734375,0.886678200692,0.849753694581,0.857061503417,0.0688715953307,0.51280623608,0.991836734694,0.0800975808091,0.688214599824,0.944134078212,0.841256366723,0.938189845475,0.0609090909091,0.756157635468,0.0685742476566,0.882285054818,0.0772900763359,0.878205128205,0.599794238683,0.808319738989,0.843309859155
1-SPFN,0.0176085176085,0.0846605196982,0.960852713178,0.938613861386,0.794416243655,0.730103806228,0.049493487699,0.973760932945,0.101119894598,0.446025104603,0.00830564784053,0.854489164087,0.760199833472,0.897550111359,0.121186794818,0.780437756498,0.126930399831,0.978804347826,0.37012987013,0.688940092166,0.0210647261586,1.0,0.843884892086,0.810209424084,0.878048780488,0.927536231884,0.0386824971275,0.696347031963,0.884016973126,0.971875,0.953225806452,0.0564575645756,0.0587592835299,0.916058394161,0.92401802962,0.821621621622,0.0972025996044,0.987571206629,0.770226537217,0.552536231884,0.768148148148,0.890350877193,0.836561743341,0.019673503558,0.89898989899,0.895294117647,0.0515267175573,0.0664585191793,0.841155234657,0.0206058108387,0.969314838167,0.348611111111,0.803571428571,0.76157635468,0.890829694323,0.875949367089,0.187873612297,0.0171189979123,0.86757719715,0.524781341108,0.889034799737,0.873706004141,0.828703703704,0.110981308411,0.839879154079,0.721153846154,0.0381775333857,0.0374488004681,0.00928313563693,0.766978922717,0.675324675325,0.0632626243664,0.922523519646,0.780856423174,0.0354077253219,0.902552204176,0.0585508660649,0.905686546463,0.990675990676,0.929824561404,0.967506092608,0.325274725275,0.870967741935,0.710360618203,0.724637681159,0.955792682927,0.910769230769,0.0296540362438,0.695555555556,0.0242825607064,0.0485308682734,0.184697986577,0.850909090909,0.947674418605,0.958178438662,0.665289256198,0.894991922456,0.861622073579,0.948550046773,0.55223880597,0.846645367412,0.0660974067046,0.897364771151,0.963927855711,0.983468038207,0.77972819932,0.896184560781,0.944264943457,0.0338709677419,0.963133640553,0.908212560386,0.743440233236,0.0395294117647,0.982222222222,0.885578583765,0.644908616188,0.805331680099,1.0,0.0388856645386,0.992753623188,0.057662236122,0.965789473684,0.0247647350173,0.992857142857,0.511572226656,0.872274143302,0.947368421053,0.0648362553755,0.921847246892,0.799052774019,0.0488006617039,0.982954545455,0.122910076819,0.0654867256637,0.964589235127,0.16518016411,0.131450032658,0.0923974407226,0.892150170648,0.770428015564,0.889370932755,0.833333333333,0.862958715596,0.0645514223195,0.514237855946,0.991836734694,0.0697098372258,0.714938328004,0.944134078212,0.836286919831,0.939226519337,0.0568037303942,0.783163265306,0.0536472404477,0.912835820896,0.0686634642554,0.887141535615,0.632321041215,0.81162981163,0.841827768014
SP-Score,0.0169021872412,0.0905448865438,0.961225425635,0.944256830493,0.807969276683,0.72207389973,0.0536318789846,0.973760932945,0.104438501178,0.436725463288,0.0087910428442,0.851424909912,0.767621139147,0.896801737169,0.128657863064,0.77233542212,0.13428672966,0.975633275425,0.357792207792,0.685534684866,0.0209372060607,1.0,0.842071385871,0.817771378709,0.88558927574,0.92937658155,0.040794094783,0.675426734866,0.883704599637,0.971875,0.957883261532,0.0598338225688,0.0625731264639,0.915640865266,0.9225353306,0.825544780797,0.102284196182,0.987571206629,0.762292349433,0.546179620367,0.762817682547,0.890350877193,0.831805707099,0.0203795961038,0.89898989899,0.897942916812,0.0546919302072,0.0694823009522,0.835168364659,0.0216176825182,0.969722627329,0.338465136981,0.818452380952,0.759338618084,0.888342886864,0.874659580473,0.19960443343,0.018215645918,0.866037119285,0.531047386972,0.889326861104,0.872203758604,0.824902310567,0.113916238461,0.834864950174,0.718857177854,0.0387298918141,0.0384896874484,0.00954086014291,0.758203420168,0.666776261713,0.0660050371934,0.91797408859,0.7774444413,0.0352197862278,0.910724920986,0.0639374780931,0.910767536906,0.990675990676,0.934400469678,0.968687899724,0.321095606749,0.866990720283,0.708339102499,0.720228647308,0.955792682927,0.932035178992,0.0302732423782,0.710886826502,0.0250319053532,0.0499288419579,0.193614816073,0.843311688312,0.949055868194,0.96041508301,0.6489511114,0.909933356887,0.882983042055,0.950331361415,0.542690008172,0.84574563801,0.0704235245254,0.897364771151,0.958201551618,0.983829607339,0.775794592934,0.886841194378,0.944264943457,0.0353178368121,0.963133640553,0.924106280193,0.746720116618,0.03951082718,0.982877911289,0.885578583765,0.668780724247,0.804087348084,1.0,0.04457411509,0.991557534486,0.0607368070076,0.965789473684,0.0244421841995,0.992857142857,0.504043278316,0.8761909558,0.949293966624,0.0678227519652,0.916986892339,0.795038778168,0.0481619095873,0.982954545455,0.128815117657,0.0689468853368,0.962548496266,0.183417608187,0.138800542836,0.0964648956275,0.879143342448,0.771932757782,0.888024566723,0.841543513957,0.860010109507,0.0667115088251,0.513522046013,0.991836734694,0.0749037090174,0.701576463914,0.944134078212,0.838771643277,0.938708182406,0.0588564106517,0.769660450387,0.0611107440522,0.897560437857,0.0729767702957,0.88267333191,0.616057639949,0.809974775309,0.842568813584
TC,0.0,0.0,0.887218045113,0.716666666667,0.56,0.214285714286,0.0,0.915254237288,0.0,0.139130434783,0.00560224089636,0.720430107527,0.467391304348,0.717821782178,0.0,0.598684210526,0.0,0.937888198758,0.0229007633588,0.378600823045,0.0,1.0,0.59872611465,0.588235294118,0.695238095238,0.838345864662,0.0,0.446808510638,0.800595238095,0.935185185185,0.792682926829,0.0,0.0,0.831578947368,0.63768115942,0.705426356589,0.0,0.969604863222,0.6,0.09,0.552631578947,0.790697674419,0.691029900332,0.0,0.695652173913,0.772151898734,0.0,0.00997506234414,0.527472527473,0.0,0.87573964497,0.0944055944056,0.586206896552,0.525714285714,0.670588235294,0.495726495726,0.0,0.0,0.643835616438,0.046875,0.661016949153,0.608695652174,0.469387755102,0.0,0.583333333333,0.5,0.0,0.00574712643678,0.0,0.488505747126,0.573529411765,0.0,0.812297734628,0.587412587413,0.00249376558603,0.78102189781,0.0,0.710144927536,0.954545454545,0.808510638298,0.896551724138,0.151515151515,0.646464646465,0.479876160991,0.413978494624,0.87610619469,0.849557522124,0.0,0.454545454545,0.0,0.0,0.0453333333333,0.775862068966,0.871428571429,0.901098901099,0.4,0.630952380952,0.687830687831,0.864130434783,0.205479452055,0.490740740741,0.0,0.769230769231,0.839285714286,0.910891089109,0.591304347826,0.761421319797,0.8671875,0.0,0.901639344262,0.810810810811,0.523076923077,0.0,0.935779816514,0.70110701107,0.266129032258,0.505434782609,1.0,0.0,0.953488372093,0.0,0.911764705882,0.0,0.949367088608,0.246212121212,0.622857142857,0.863157894737,0.0,0.707865168539,0.504504504505,0.0,0.940397350993,0.00886917960089,0.0,0.827160493827,0.0,0.0,0.0,0.686390532544,0.646153846154,0.722972972973,0.636363636364,0.680250783699,0.0,0.0,0.962962962963,0.0,0.409252669039,0.840425531915,0.530612244898,0.816753926702,0.0,0.587209302326,0.0,0.65671641791,0.0,0.747311827957,0.354166666667,0.61316872428,0.681818181818
Modeler,0.0161958568738,0.0964292533893,0.961598138092,0.949899799599,0.821522309711,0.714043993232,0.0577702702703,0.973760932945,0.107757107757,0.427425821973,0.00927643784787,0.848360655738,0.775042444822,0.896053362979,0.13612893131,0.764233087743,0.14164305949,0.972462203024,0.345454545455,0.682129277567,0.0208096859629,1.0,0.840257879656,0.825333333333,0.893129770992,0.931216931217,0.0429056924384,0.654506437768,0.883392226148,0.971875,0.962540716612,0.0632100805619,0.0663869693978,0.915223336372,0.921052631579,0.829467939973,0.107365792759,0.987571206629,0.754358161648,0.53982300885,0.757487216947,0.890350877193,0.827049670856,0.0210856886496,0.89898989899,0.900591715976,0.0578571428571,0.0725060827251,0.829181494662,0.0226295541978,0.970130416491,0.328319162852,0.833333333333,0.757100881489,0.885856079404,0.873369793858,0.211335254563,0.0193122939237,0.86449704142,0.537313432836,0.88961892247,0.870701513067,0.821100917431,0.116851168512,0.829850746269,0.716560509554,0.0392822502425,0.0395305744287,0.00979858464888,0.74942791762,0.658227848101,0.0687474500204,0.913424657534,0.774032459426,0.0350318471338,0.918897637795,0.0693240901213,0.915848527349,0.990675990676,0.938976377953,0.96986970684,0.316916488223,0.86301369863,0.706317586796,0.715819613457,0.955792682927,0.953301127214,0.0308924485126,0.726218097448,0.02578125,0.0513268156425,0.20253164557,0.835714285714,0.950437317784,0.962651727358,0.632612966601,0.924874791319,0.904344010531,0.952112676056,0.533141210375,0.844845908608,0.0747496423462,0.897364771151,0.952475247525,0.984191176471,0.771860986547,0.877497827976,0.944264943457,0.0367647058824,0.963133640553,0.94,0.75,0.0394922425952,0.983533600356,0.885578583765,0.692652832305,0.802843016069,1.0,0.0502625656414,0.990361445783,0.0638113778931,0.965789473684,0.0241196333816,0.992857142857,0.496514329977,0.880107768298,0.951219512195,0.0708092485549,0.912126537786,0.791024782317,0.0475231574708,0.982954545455,0.134720158494,0.0724070450098,0.960507757405,0.201655052265,0.146151053014,0.100532350532,0.866136514248,0.7734375,0.886678200692,0.849753694581,0.857061503417,0.0688715953307,0.51280623608,0.991836734694,0.0800975808091,0.688214599824,0.944134078212,0.841256366723,0.938189845475,0.0609090909091,0.756157635468,0.0685742476566,0.882285054818,0.0772900763359,0.878205128205,0.599794238683,0.808319738989,0.843309859155
Compression,0.762312633833,1.07291666667,1.0,1.0625,1.125,0.956989247312,1.04618937644,1.0,1.01775147929,0.924242424242,0.986425339367,0.994708994709,1.03,1.00456621005,0.991596638655,0.977491961415,1.10216718266,0.988732394366,0.916030534351,0.98431372549,0.916349809886,1.0,0.994318181818,1.06756756757,1.01212121212,1.01433691756,0.96918767507,0.932038834951,1.0,1.0,1.06976744186,1.06752411576,1.00476190476,1.0,0.969387755102,1.02205882353,1.04166666667,1.0,0.972027972028,0.968,0.977961432507,1.02083333333,0.9726443769,1.00401606426,1.03921568627,1.01234567901,1.00632911392,1.02876106195,0.96875,0.949720670391,1.02222222222,0.907356948229,1.05555555556,0.993055555556,0.991071428571,0.991525423729,1.10687022901,0.979002624672,1.04054054054,1.04705882353,1.01538461538,1.0,0.981481481481,0.956204379562,1.0,0.986013986014,0.830564784053,1.01385041551,0.900523560209,0.975369458128,0.971830985915,0.9765625,0.984984984985,0.974093264249,0.912765957447,1.06338028169,1.025,1.02702702703,1.0,1.04464285714,1.0,0.912863070539,1.0,0.979797979798,0.954128440367,1.0,1.07142857143,0.936893203883,1.11458333333,0.885106382979,1.02003338898,1.096,0.983606557377,1.0,1.01069518717,0.957746478873,1.13043478261,1.07389162562,1.0207253886,0.966666666667,1.0,0.872340425532,1.00740740741,1.0,1.00952380952,1.00244498778,0.964601769912,1.0,1.02088772846,1.0,1.05454545455,1.03448275862,0.883895131086,1.0,0.996415770609,1.10691823899,1.0202020202,1.0,0.659217877095,1.0,1.04982206406,1.0,0.90350877193,1.0,0.942675159236,1.03278688525,1.0198019802,1.03149606299,1.06,1.02272727273,0.896848137536,1.0,1.09513274336,1.07633587786,1.05617977528,1.0,1.01754385965,1.03196347032,0.956043956044,1.0,0.981927710843,1.05376344086,0.985250737463,1.04007633588,1.15611814346,1.0,1.0,1.01298701299,1.0,1.01941747573,1.00975609756,1.02988505747,0.964601769912,1.05633802817,0.942857142857,1.02469135802,0.984375,0.967592592593,1.0,1.0
Average Pairwise P-Distance,0.813060615249,0.69157746224,0.432541212615,0.621300680491,0.696524216524,0.497570671228,0.583461582685,0.652770575865,0.577504625952,0.794302357561,0.703921305539,0.640414891982,0.644403962918,0.774687089415,0.546840027063,0.676688133147,0.428456546658,0.321474752932,0.674867493739,0.752409548259,0.754982275496,0.395941660193,0.68045391178,0.666708669355,0.637616691285,0.596884675783,0.540818317462,0.821860771164,0.698817114418,0.432814449081,0.472027358929,0.549611150813,0.665527900799,0.542842294496,0.647106699063,0.732550430418,0.555849520145,0.482811077208,0.769613204258,0.603161530548,0.778699499205,0.543583686876,0.762125149573,0.761455715607,0.710407900063,0.574859638103,0.733829693113,0.526189692191,0.511895604396,0.77855309792,0.449466071387,0.892280673019,0.522129477589,0.610618569508,0.71074070732,0.56180829161,0.485511040209,0.738017462322,0.536707070444,0.507921318448,0.596915099147,0.779268400873,0.574178324287,0.81766256597,0.666263277859,0.774494364128,0.673693334175,0.754471684433,0.77068656165,0.71772579895,0.727523894863,0.649837334514,0.538145283908,0.675947544238,0.704938332975,0.666731476643,0.616818569791,0.550970474549,0.555956413038,0.514941639368,0.446402349673,0.845144176372,0.693596967243,0.738523872717,0.724893232418,0.602234243589,0.527409429113,0.548908326168,0.826348980178,0.821664031898,0.795805989437,0.360924960618,0.592340974888,0.351111239414,0.552210959782,0.817367294175,0.718990786467,0.559455969637,0.393381802865,0.762799751747,0.482047419162,0.844681223369,0.531445063548,0.592582154704,0.611573779299,0.776182796718,0.679011511958,0.602567561363,0.62742241785,0.657440713035,0.472144413321,0.639874226527,0.724493600477,0.444054946113,0.612811388951,0.803647499156,0.635619647256,0.235393258427,0.667164418006,0.40665221619,0.625041880386,0.612652229351,0.602763160125,0.466850061025,0.821594228125,0.65038575879,0.669831363203,0.674801967022,0.566619523167,0.63385914695,0.801401791822,0.441311587603,0.262909945551,0.52468294926,0.75150051136,0.645335152946,0.670088729725,0.576749866252,0.667755917722,0.689152170795,0.538122283561,0.804998272552,0.564584649463,0.614808567767,0.829902923445,0.378913108719,0.555258866212,0.784890184516,0.505694618273,0.657035371119,0.475470216982,0.485784743044,0.628134386911,0.688783219691,0.578133444705,0.654539898619,0.598179098968,0.773244035327,0.608288055899,0.729374418295
Maximum Pairwise P-Distance,0.882352941176,0.935897435897,0.606299212598,0.839285714286,0.813333333333,0.760563380282,0.735465116279,0.741379310345,0.75,0.931506849315,0.848314606742,0.748427672956,0.733333333333,0.826315789474,0.862068965517,0.811158798283,0.536507936508,0.544554455446,0.917525773196,0.905,0.865168539326,0.482352941176,0.785714285714,0.75,0.704545454545,0.64,0.631782945736,0.898550724638,0.837104072398,0.471698113208,0.6,0.649606299213,0.845161290323,0.78021978022,0.839285714286,0.786885245902,0.811320754717,0.541538461538,0.868686868687,0.869565217391,0.857142857143,0.615384615385,0.807272727273,0.798507462687,0.810810810811,0.65306122449,0.857142857143,0.59585492228,0.763888888889,0.848888888889,0.527950310559,0.938775510204,0.714285714286,0.730994152047,0.835443037975,0.8,0.691056910569,0.872340425532,0.716666666667,0.875,0.747572815534,0.864583333333,0.783783783784,0.936170212766,0.80701754386,0.865384615385,0.837209302326,0.867857142857,0.784126984127,0.84328358209,0.833333333333,0.758241758242,0.692567567568,0.827067669173,0.807692307692,0.765151515152,0.854166666667,0.739130434783,0.682352941176,0.642857142857,0.6,0.903846153846,0.835294117647,0.780068728522,0.818181818182,0.63963963964,0.579439252336,0.666666666667,0.871428571429,0.87044534413,0.841085271318,0.47311827957,0.745454545455,0.491525423729,0.761111111111,0.850649350649,0.793103448276,0.713333333333,0.633333333333,0.85046728972,0.712765957447,0.963855421687,0.775862068966,0.765957446809,0.783505154639,0.808362369338,0.775956284153,0.72131147541,0.843065693431,0.736363636364,0.571428571429,0.733333333333,0.757925072046,0.551401869159,0.7004048583,0.895833333333,0.7875,0.325842696629,0.833333333333,0.487804878049,0.742738589212,0.650793650794,0.854785478548,0.535211267606,0.905263157895,0.794117647059,0.757894736842,0.824175824176,0.688311688312,0.764150943396,0.8875,0.559440559441,0.33180778032,0.564835164835,0.898550724638,0.851851851852,0.847826086957,0.677777777778,0.775362318841,0.766666666667,0.701923076923,0.867647058824,0.717948717949,0.726635514019,0.922413793103,0.545454545455,0.673267326733,0.848214285714,0.682352941176,0.816091954023,0.648351648352,0.530303030303,0.806451612903,0.830188679245,0.732673267327,0.885245901639,0.653409090909,0.888,0.765625,0.804347826087
Number of Sequences,5.0,13.0,5.0,10.0,4.0,6.0,5.0,4.0,7.0,6.0,4.0,4.0,6.0,5.0,13.0,4.0,6.0,4.0,4.0,4.0,6.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,7.0,8.0,4.0,8.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,4.0,5.0,7.0,6.0,4.0,4.0,4.0,7.0,8.0,12.0,5.0,8.0,4.0,6.0,6.0,5.0,9.0,5.0,4.0,9.0,4.0,4.0,4.0,4.0,11.0,4.0,4.0,4.0,5.0,8.0,6.0,5.0,4.0,6.0,4.0,6.0,4.0,5.0,4.0,4.0,4.0,4.0,6.0,4.0,5.0,6.0,5.0,4.0,4.0,5.0,6.0,4.0,5.0,8.0,9.0,4.0,5.0,8.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,7.0,5.0,7.0,5.0,5.0,14.0,5.0,7.0,4.0,4.0,5.0,4.0,6.0,4.0,6.0,9.0,6.0,5.0,4.0,5.0,4.0,5.0,15.0,12.0,8.0,5.0,4.0,7.0,4.0,4.0,4.0,6.0,5.0,11.0,5.0,4.0,6.0,5.0,4.0,4.0,12.0,6.0,11.0,4.0,6.0,4.0,4.0
Reference Length,467.0,96.0,285.0,64.0,88.0,93.0,433.0,65.0,169.0,132.0,442.0,189.0,100.0,219.0,119.0,311.0,323.0,355.0,131.0,255.0,263.0,173.0,176.0,148.0,165.0,279.0,357.0,103.0,336.0,116.0,86.0,311.0,210.0,217.0,98.0,136.0,192.0,334.0,143.0,125.0,363.0,48.0,329.0,498.0,51.0,162.0,158.0,452.0,96.0,358.0,180.0,367.0,36.0,288.0,112.0,118.0,131.0,381.0,74.0,85.0,130.0,127.0,54.0,137.0,88.0,143.0,301.0,361.0,573.0,203.0,71.0,128.0,333.0,193.0,470.0,142.0,200.0,74.0,89.0,112.0,88.0,241.0,110.0,396.0,218.0,116.0,126.0,412.0,96.0,470.0,599.0,375.0,61.0,73.0,187.0,213.0,92.0,203.0,193.0,150.0,120.0,141.0,135.0,61.0,105.0,409.0,226.0,144.0,383.0,145.0,55.0,87.0,534.0,109.0,279.0,159.0,198.0,178.0,179.0,45.0,281.0,70.0,456.0,82.0,314.0,183.0,101.0,254.0,100.0,132.0,349.0,152.0,452.0,524.0,89.0,39.0,114.0,219.0,182.0,67.0,166.0,93.0,339.0,524.0,237.0,54.0,138.0,308.0,98.0,103.0,205.0,435.0,226.0,71.0,140.0,81.0,192.0,216.0,268.0,114.0
