Statistics,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL00052441,AL00057282,AL00055186,AL00054403,AL00050715,AL00102031,AL00053377,AL00089447,AL10048599,AL10063763,AL00055594,AL00052150,AL00052086,AL20089447,AL00101215,AL00088995,AL00089048,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL00050799,AL10063410,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00047861,AL00051984,AL00052141,AL00088696,AL00069381,AL00089800,AL00109622,AL00068994,AL10109622,AL00103575,AL10056276,AL10050712,AL10050335,AL10054446,AL00089623,AL10054814,AL00049599,AL00057413,AL10074933,AL00051713,AL00054253,AL00069117,AL00054814,AL00050464,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL10101215,AL10057491,AL00055723,AL10069117,AL00051392,AL00054790,AL00051906,AL00050331,AL00052113,AL00051306,AL00052821,AL00057492
1-SPFP,0.519083969466,0.889655172414,0.621151271754,0.210743801653,0.501404494382,0.569550930997,0.630651123116,1.0,0.841517857143,0.710440596606,0.257928118393,0.642045454545,0.769863013699,0.618025751073,0.515267175573,0.300884955752,1.0,0.193181818182,0.440051020408,0.538461538462,0.905325443787,1.0,1.0,0.846900269542,0.627627627628,0.973607038123,0.61834166523,0.839430894309,0.944480102696,0.879203395364,0.642344045369,0.453298307064,0.846616541353,0.900627615063,0.887170474517,0.817142857143,0.922848664688,0.661904761905,0.77397260274,0.771055753262,0.584269662921,0.92380952381,0.977190876351,0.888567293777,0.977718360071,0.689795918367,0.416504381694,0.320143884892,0.620882188721,0.810551558753,0.560465116279,1.0,0.780058651026,0.414814814815,0.346469622332,0.721753794266,0.803841676368,0.2,0.95337995338,1.0,0.685929648241,0.57,0.654609101517,0.896245059289,0.934289127838,0.590909090909,0.551204819277,0.46991356383,0.8864,0.588768385084,0.83863322141,1.0,0.990675990676,0.871485943775,0.638071895425,0.164648910412,0.600558659218,0.900169204738,0.837222222222,0.35,0.921505376344,0.59557195572,0.791505791506,0.620089868097,0.977777777778
1-SPFN,0.523076923077,0.889655172414,0.633015006821,0.215038650738,0.521929824561,0.573951434879,0.641968162084,1.0,0.839643652561,0.694253643826,0.270509977827,0.60752688172,0.765667574932,0.626086956522,0.594713656388,0.346585117227,1.0,0.233818770227,0.437447168216,0.569105691057,0.889534883721,1.0,1.0,0.852877307275,0.639143730887,0.97503671072,0.623284100782,0.837110742583,0.946911196911,0.890247933884,0.647978642258,0.462477665277,0.834074074074,0.900627615063,0.880055788006,0.817142857143,0.922638064811,0.661904761905,0.798586572438,0.771055753262,0.581005586592,0.904428904429,0.977190876351,0.89897510981,0.978590544157,0.657587548638,0.429144720341,0.319487179487,0.664277180406,0.804761904762,0.556581986143,1.0,0.780058651026,0.402877697842,0.354026845638,0.712146422629,0.801508995937,0.187134502924,0.95337995338,1.0,0.680798004988,0.545454545455,0.67671893848,0.895360315893,0.934289127838,0.58093346574,0.571875,0.474966397849,0.88263409453,0.58159671265,0.825106879129,1.0,0.990675990676,0.850980392157,0.620826709062,0.160756501182,0.579905596763,0.900169204738,0.845204711161,0.371508379888,0.921505376344,0.616736721437,0.793036750484,0.651141552511,0.977777777778
SP-Score,0.521080446271,0.889655172414,0.627083139287,0.212891226195,0.511667159472,0.571751182938,0.6363096426,1.0,0.840580754852,0.702347120216,0.26421904811,0.624786168133,0.767765294315,0.622056353797,0.55499041598,0.32373503649,1.0,0.213500294204,0.438749094312,0.553783614759,0.897430163754,1.0,1.0,0.849888788408,0.633385679257,0.974321874421,0.620812883006,0.838270818446,0.945695649803,0.884725664624,0.645161343813,0.45788798617,0.840345307714,0.900627615063,0.883613131261,0.817142857143,0.92274336475,0.661904761905,0.786279587589,0.771055753262,0.582637624757,0.914119214119,0.977190876351,0.893771201793,0.978154452114,0.673691733503,0.422824551018,0.31981553219,0.642579684564,0.807656731757,0.558523551211,1.0,0.780058651026,0.408846256328,0.350248233985,0.716950108448,0.802675336153,0.193567251462,0.95337995338,1.0,0.683363826614,0.557727272727,0.665664019999,0.895802687591,0.934289127838,0.585921278324,0.561539909639,0.47243998084,0.884517047265,0.585182548867,0.83187005027,1.0,0.990675990676,0.861233167966,0.629449302243,0.162702705797,0.590232127991,0.900169204738,0.841213466692,0.360754189944,0.921505376344,0.606154338578,0.792271270995,0.635615710304,0.977777777778
TC,0.0888888888889,0.733333333333,0.378947368421,0.0735294117647,0.20652173913,0.144736842105,0.175572519084,1.0,0.735849056604,0.264705882353,0.0,0.411290322581,0.688461538462,0.439024390244,0.373626373626,0.0666666666667,1.0,0.0254957507082,0.0466666666667,0.340425531915,0.76404494382,1.0,1.0,0.559633027523,0.0845070422535,0.854166666667,0.27380952381,0.503184713376,0.8125,0.623931623932,0.261146496815,0.126506024096,0.616161616162,0.842592592593,0.752577319588,0.72131147541,0.488888888889,0.541666666667,0.190476190476,0.5,0.353846153846,0.78125,0.958041958042,0.747899159664,0.909090909091,0.471264367816,0.0751445086705,0.0503597122302,0.390519187359,0.631944444444,0.290322580645,1.0,0.524590163934,0.207547169811,0.1,0.571428571429,0.544117647059,0.0819672131148,0.93006993007,1.0,0.30612244898,0.402597402597,0.308510638298,0.792243767313,0.793103448276,0.0571428571429,0.247058823529,0.00826446280992,0.751219512195,0.219178082192,0.496240601504,1.0,0.974683544304,0.76404494382,0.222222222222,0.0915032679739,0.325153374233,0.850746268657,0.579710144928,0.0681818181818,0.746031746032,0.311827956989,0.584269662921,0.0584415584416,0.955555555556
Modeler,0.519083969466,0.889655172414,0.621151271754,0.210743801653,0.501404494382,0.569550930997,0.630651123116,1.0,0.841517857143,0.710440596606,0.257928118393,0.642045454545,0.769863013699,0.618025751073,0.515267175573,0.300884955752,1.0,0.193181818182,0.440051020408,0.538461538462,0.905325443787,1.0,1.0,0.846900269542,0.627627627628,0.973607038123,0.61834166523,0.839430894309,0.944480102696,0.879203395364,0.642344045369,0.453298307064,0.846616541353,0.900627615063,0.887170474517,0.817142857143,0.922848664688,0.661904761905,0.77397260274,0.771055753262,0.584269662921,0.92380952381,0.977190876351,0.888567293777,0.977718360071,0.689795918367,0.416504381694,0.320143884892,0.620882188721,0.810551558753,0.560465116279,1.0,0.780058651026,0.414814814815,0.346469622332,0.721753794266,0.803841676368,0.2,0.95337995338,1.0,0.685929648241,0.57,0.654609101517,0.896245059289,0.934289127838,0.590909090909,0.551204819277,0.46991356383,0.8864,0.588768385084,0.83863322141,1.0,0.990675990676,0.871485943775,0.638071895425,0.164648910412,0.600558659218,0.900169204738,0.837222222222,0.35,0.921505376344,0.59557195572,0.791505791506,0.620089868097,0.977777777778
Compression,0.988023952096,1.0,0.956310679612,0.910179640719,0.94701986755,0.969135802469,0.979020979021,1.0,1.01234567901,1.0462962963,0.932773109244,1.07874015748,1.00355871886,0.977777777778,0.823129251701,0.760416666667,1.0,0.848648648649,1.03973509934,0.94262295082,1.03333333333,1.0,1.0,0.991071428571,0.946666666667,1.0,0.934210526316,1.00561797753,1.0,1.0,1.06486486486,0.965909090909,1.0303030303,0.993736951983,1.01895734597,1.0,1.0,1.0,0.916666666667,1.0,1.0,1.06666666667,1.0,0.984,1.0,1.06741573034,0.893023255814,0.993055555556,0.929637526652,1.00657894737,1.00636942675,1.0,1.0,1.0303030303,0.968503937008,1.0,1.00714285714,1.02352941176,1.0,1.0,1.00657894737,1.07228915663,0.920353982301,1.0027100271,1.0,1.05714285714,0.927835051546,0.942148760331,1.00930232558,1.00680272109,1.09248554913,1.0,1.0,1.03333333333,0.95,0.990049751244,1.07058823529,1.00487804878,1.0,0.894339622642,1.0,0.939393939394,0.995633187773,0.83950617284,1.0
Average Pairwise P-Distance,0.814298018949,0.52922705314,0.72558849887,0.866442755423,0.76663335237,0.716576829227,0.786193787616,0.402721774194,0.703348308521,0.809063244915,0.888737204087,0.516129032258,0.749552440302,0.788040385601,0.85097728965,0.847672274575,0.524376417234,0.850695955925,0.815129818058,0.792347415101,0.619511754885,0.770731707317,0.236842105263,0.737639698197,0.839825595677,0.308458383227,0.784573698352,0.698984691535,0.647427116702,0.678466734187,0.708650643938,0.809471716687,0.444285188746,0.6296426235,0.732845499985,0.743230079875,0.619349125512,0.828544212133,0.607942720467,0.732430894085,0.861909953792,0.774176562685,0.572314102178,0.467356948607,0.785150303873,0.787018255578,0.739221783702,0.860946387181,0.749079248371,0.693491285403,0.851960784314,0.0346666666667,0.886406493972,0.744036970781,0.818706564327,0.809847374847,0.801628915955,0.912852664577,0.622377622378,0.706793206793,0.744416359698,0.879336650083,0.784402974313,0.666253343173,0.589742678725,0.807710109027,0.761102969559,0.794908485751,0.657215231991,0.832150611068,0.725144030768,0.0036036036036,0.343550331525,0.690131311764,0.766103536779,0.929481607917,0.812615551788,0.697150997151,0.724044994574,0.811895826654,0.681441666037,0.821851041798,0.746465242071,0.803832859116,0.5
Maximum Pairwise P-Distance,0.976744186047,0.739130434783,0.880733944954,0.955056179775,0.839805825243,0.89,0.910256410256,0.58064516129,0.824324324324,0.942857142857,0.918918918919,0.774193548387,0.788844621514,0.864864864865,0.867647058824,0.975,0.690476190476,0.922222222222,0.934579439252,0.829545454545,0.855421686747,0.878048780488,0.302631578947,0.8625,0.983050847458,0.511111111111,0.87265917603,0.80534351145,0.755980861244,0.842105263158,0.945054945055,0.928057553957,0.833333333333,0.72641509434,0.828125,0.810344827586,0.825,0.885714285714,0.904109589041,0.884615384615,0.929824561404,0.90625,0.647887323944,0.718181818182,0.864864864865,0.882352941176,0.885496183206,0.954545454545,0.895833333333,0.801470588235,0.935714285714,0.048,0.964912280702,0.807692307692,0.893617021277,0.923076923077,0.883333333333,0.945454545455,0.678321678322,0.909090909091,0.909090909091,0.906666666667,0.884615384615,0.743119266055,0.8125,0.89552238806,0.873015873016,0.957746478873,0.737704918033,0.949579831933,0.879310344828,0.00540540540541,0.442857142857,0.855421686747,0.913043478261,0.949275362319,0.883720930233,0.732323232323,0.84126984127,0.862595419847,0.803278688525,0.954545454545,0.83908045977,0.923076923077,0.577777777778
Number of Sequences,4.0,4.0,4.0,6.0,3.0,6.0,9.0,4.0,3.0,13.0,4.0,3.0,3.0,4.0,3.0,7.0,7.0,4.0,7.0,3.0,4.0,5.0,3.0,7.0,5.0,6.0,7.0,7.0,6.0,9.0,8.0,8.0,7.0,3.0,6.0,3.0,15.0,3.0,7.0,7.0,3.0,6.0,4.0,4.0,6.0,3.0,8.0,11.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,6.0,6.0,3.0,3.0,14.0,4.0,3.0,5.0,3.0,5.0,6.0,6.0,13.0,5.0,11.0,10.0,3.0,4.0,3.0,11.0,3.0,5.0,3.0,8.0,5.0,6.0,9.0,4.0,12.0,4.0
Reference Length,167.0,60.0,206.0,167.0,302.0,162.0,143.0,32.0,162.0,108.0,119.0,127.0,281.0,45.0,147.0,96.0,84.0,555.0,151.0,122.0,90.0,41.0,76.0,112.0,75.0,48.0,380.0,356.0,245.0,117.0,185.0,176.0,99.0,479.0,211.0,75.0,55.0,81.0,108.0,104.0,69.0,45.0,146.0,125.0,78.0,89.0,215.0,144.0,469.0,152.0,157.0,125.0,61.0,66.0,127.0,43.0,140.0,85.0,145.0,22.0,152.0,83.0,113.0,369.0,88.0,70.0,97.0,121.0,215.0,147.0,173.0,185.0,79.0,180.0,40.0,201.0,170.0,205.0,89.0,265.0,64.0,99.0,229.0,162.0,46.0
