,RoseSmallS1R04,RoseSmallS1R01,RoseSmallS1R06,RoseSmallS1R07,RoseSmallS1R08,RoseSmallS1R05,RoseSmallS1R10,RoseSmallS1R03,RoseSmallS1R09,RoseSmallS1R02
1-SPFP,0.259421130536,0.186829700845,0.500066273019,0.114470371927,0.131937183669,0.249155071975,0.0615432371057,0.121039293485,0.267083830417,0.303245393732
1-SPFN,0.174079070111,0.134159092737,0.393029007716,0.0759850316212,0.0852700408465,0.173964489085,0.0382159789526,0.079529323116,0.192915220708,0.219520719425
SP-Score,0.216750100323,0.160494396791,0.446547640367,0.0952277017743,0.108603612258,0.21155978053,0.0498796080291,0.100284308301,0.229999525563,0.261383056578
TC,0.03024390243902439,0.002898550724637681,0.06692913385826772,0.0019801980198019802,0.010607521697203472,0.0,0.0029791459781529296,0.0029615004935834156,0.001953125,0.010689990281827016
Modeler,0.2594211305356643,0.1868297008447286,0.5000662730191849,0.11447037192740755,0.13193718366858612,0.24915507197535025,0.061543237105654396,0.12103929348521694,0.2670838304173649,0.3032453937320403
Compression,1.7870452528837621,1.7644404332129964,1.6447841726618706,1.8271493212669683,1.9183494293239685,1.8544303797468353,2.134790528233151,2.0210237659963437,1.843978102189781,1.7589605734767024
Average Pairwise P-Distance,0.691409900916,0.689072400044,0.681463765468,0.691980376963,0.69908994381,0.690398464325,0.701618126912,0.695136187508,0.690795764477,0.689124496217
Maximum Pairwise P-Distance,0.741116751269,0.744744744745,0.740181268882,0.738647830474,0.74297188755,0.746208291203,0.741573033708,0.743434343434,0.731658291457,0.736040609137
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1127,1108,1112,1105,1139,1106,1098,1094,1096,1116
Estimated Length,2014,1955,1829,2019,2185,2051,2344,2211,2021,1963
Maximum Ungapped Length,1017,1014,1012,1011,1012,1008,1006,1012,1018,1017
Sequence Length Heterogeneity,0.00527347693903,0.00474915468148,0.00526982890635,0.00535095374259,0.00475521555144,0.00375767609933,0.00490518246443,0.00465509681522,0.00546264757821,0.00658330794053
Gappiness Percentage,0.108535936114,0.0936462093863,0.0997482014388,0.094334841629,0.118770851624,0.0944665461121,0.092349726776,0.0859232175503,0.0851094890511,0.101684587814
Average Gap Length,2.31842304776,2.02973395931,2.12490421456,2.08313349321,2.24270557029,2.49236641221,1.84901531729,2.01371036847,2.13944954128,2.16070068545
Median Gap Length,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
