Statistics,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL00052441,AL00057282,AL00055186,AL00054403,AL00050715,AL00102031,AL00053377,AL00089447,AL10048599,AL10063763,AL00055594,AL00052150,AL00052086,AL20089447,AL00101215,AL00088995,AL00089048,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL00050799,AL10063410,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00047861,AL00051984,AL00052141,AL00088696,AL00069381,AL00089800,AL00109622,AL00068994,AL10109622,AL00103575,AL10056276,AL10050712,AL10050335,AL10054446,AL00089623,AL10054814,AL00049599,AL00057413,AL10074933,AL00051713,AL00054253,AL00069117,AL00054814,AL00050464,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL10101215,AL10057491,AL00055723,AL10069117,AL00051392,AL00054790,AL00051906,AL00050331,AL00052113,AL00051306,AL00052821,AL00057492
1-SPFP,0.5907173,0.848275862,0.679452055,0.32300885,0.546984572,0.689770822,0.746506986,1.0,0.837155963,0.678528861,0.396995708,0.664772727,0.837016575,0.640776699,0.581589958,0.512906846,1.0,0.234532374,0.57524932,0.516260163,0.905325444,1.0,1.0,0.803103264,0.727952167,0.973607038,0.697441403,0.836666044,0.902274912,0.909239308,0.635262959,0.479859895,0.896708861,0.938284519,0.927152318,0.886363636,0.9659895,0.626213592,0.825,0.75297619,0.710227273,0.758104738,0.989195678,0.889855072,0.969669938,0.72244898,0.57695496,0.548623853,0.566258352,0.821342926,0.546511628,1.0,0.64652568,0.550387597,0.455759599,0.910623946,0.754069767,0.392405063,0.990675991,1.0,0.649681529,0.698113208,0.805860806,0.896245059,0.94265233,0.847609562,0.591182365,0.646442076,0.905117271,0.700148588,0.902630546,1.0,0.990675991,0.871485944,0.742035742,0.147540984,0.702295552,0.851398601,0.861512792,0.455489614,0.931182796,0.690690691,0.694390716,0.652096076,0.977777778
1-SPFN,0.538461538,0.848275862,0.676671214,0.307800422,0.570175439,0.681015453,0.757742402,1.0,0.812917595,0.667616016,0.410199557,0.629032258,0.825613079,0.573913043,0.612334802,0.465851172,1.0,0.263754045,0.536348267,0.516260163,0.889534884,1.0,1.0,0.814875136,0.744648318,0.975036711,0.677324066,0.824949327,0.906048906,0.920661157,0.640350877,0.489577129,0.874567901,0.938284519,0.927475593,0.891428571,0.965769055,0.614285714,0.816254417,0.75029656,0.698324022,0.708624709,0.989195678,0.89897511,0.969669938,0.688715953,0.523702032,0.536666667,0.607526882,0.81547619,0.542725173,1.0,0.627565982,0.510791367,0.458053691,0.898502496,0.75275682,0.362573099,0.990675991,1.0,0.635910224,0.708133971,0.796139928,0.895360316,0.94265233,0.845084409,0.614583333,0.631888441,0.901752523,0.691517464,0.893509522,1.0,0.990675991,0.850980392,0.759141494,0.127659574,0.660148348,0.824027073,0.868760516,0.42877095,0.931182796,0.703095147,0.694390716,0.665296804,0.977777778
SP-Score,0.564589419,0.848275862,0.678061634,0.315404636,0.558580005,0.685393137,0.752124694,1.0,0.825036779,0.673072438,0.403597632,0.646902493,0.831314827,0.607344871,0.59696238,0.489379009,1.0,0.24914321,0.555798794,0.516260163,0.897430164,1.0,1.0,0.8089892,0.736300243,0.974321874,0.687382734,0.830807686,0.904161909,0.914950232,0.637806918,0.484718512,0.885638381,0.938284519,0.927313955,0.888896104,0.965879278,0.620249653,0.820627208,0.751636375,0.704275648,0.733364723,0.989195678,0.894415091,0.969669938,0.705582466,0.550328496,0.54264526,0.586892617,0.818409558,0.544618401,1.0,0.637045831,0.530589482,0.456906645,0.904563221,0.753413293,0.377489081,0.990675991,1.0,0.642795877,0.703123589,0.801000367,0.895802688,0.94265233,0.846346985,0.602882849,0.639165259,0.903434897,0.695833026,0.898070034,1.0,0.990675991,0.861233168,0.750588618,0.137600279,0.68122195,0.837712837,0.865136654,0.442130282,0.931182796,0.696892919,0.694390716,0.65869644,0.977777778
TC,0.155555556,0.633333333,0.478947368,0.095588235,0.282608696,0.190789474,0.320610687,1.0,0.691823899,0.303921569,0.071428571,0.443548387,0.726923077,0.390243902,0.373626374,0.186666667,1.0,0.050991501,0.193333333,0.212765957,0.764044944,1.0,1.0,0.513761468,0.267605634,0.854166667,0.354166667,0.452229299,0.674107143,0.683760684,0.184713376,0.13253012,0.707070707,0.898148148,0.840206186,0.803278689,0.666666667,0.5,0.297619048,0.56122449,0.476923077,0.5,0.972027972,0.74789916,0.87012987,0.517241379,0.213872832,0.287769784,0.232505643,0.694444444,0.303225806,1.0,0.37704918,0.358490566,0.141666667,0.761904762,0.522058824,0.278688525,0.986013986,1.0,0.285714286,0.571428571,0.531914894,0.792243767,0.804597701,0.585714286,0.329411765,0.157024793,0.746341463,0.301369863,0.669172932,1.0,0.974683544,0.764044944,0.277777778,0.0,0.337423313,0.741293532,0.579710145,0.159090909,0.761904762,0.365591398,0.393258427,0.084415584,0.955555556
Modeler,0.5907173,0.848275862,0.679452055,0.32300885,0.546984572,0.689770822,0.746506986,1.0,0.837155963,0.678528861,0.396995708,0.664772727,0.837016575,0.640776699,0.581589958,0.512906846,1.0,0.234532374,0.57524932,0.516260163,0.905325444,1.0,1.0,0.803103264,0.727952167,0.973607038,0.697441403,0.836666044,0.902274912,0.909239308,0.635262959,0.479859895,0.896708861,0.938284519,0.927152318,0.886363636,0.9659895,0.626213592,0.825,0.75297619,0.710227273,0.758104738,0.989195678,0.889855072,0.969669938,0.72244898,0.57695496,0.548623853,0.566258352,0.821342926,0.546511628,1.0,0.64652568,0.550387597,0.455759599,0.910623946,0.754069767,0.392405063,0.990675991,1.0,0.649681529,0.698113208,0.805860806,0.896245059,0.94265233,0.847609562,0.591182365,0.646442076,0.905117271,0.700148588,0.902630546,1.0,0.990675991,0.871485944,0.742035742,0.147540984,0.702295552,0.851398601,0.861512792,0.455489614,0.931182796,0.690690691,0.694390716,0.652096076,0.977777778
Compression,1.053892216,1.0,0.995145631,1.011976048,0.950331126,1.037037037,1.013986014,1.0,1.049382716,1.009259259,0.957983193,1.078740157,1.03202847,1.155555556,0.959183673,1.052083333,1.0,0.855855856,1.079470199,1.0,1.033333333,1.0,1.0,0.982142857,0.946666667,1.0,1.021052632,1.036516854,1.012244898,1.0,1.064864865,1.0,1.060606061,0.995824635,1.004739336,1.0,1.0,1.037037037,1.027777778,1.009615385,1.0,1.0,1.0,0.992,1.0,1.06741573,1.130232558,1.020833333,0.938166311,1.0,1.012738854,1.0,1.06557377,1.075757576,1.015748032,1.0,1.028571429,1.070588235,1.0,1.0,1.032894737,0.987951807,0.991150442,1.002710027,1.0,1.0,0.907216495,1.123966942,1.004651163,1.040816327,1.069364162,1.0,1.0,1.033333333,1.0,1.084577114,1.111764706,1.053658537,1.0,1.022641509,1.0,0.95959596,1.0,0.913580247,1.0
Average Pairwise P-Distance,0.814298018949,0.52922705314,0.72558849887,0.866442755423,0.76663335237,0.716576829227,0.786193787616,0.402721774194,0.703348308521,0.809063244915,0.888737204087,0.516129032258,0.749552440302,0.788040385601,0.85097728965,0.847672274575,0.524376417234,0.850695955925,0.815129818058,0.792347415101,0.619511754885,0.770731707317,0.236842105263,0.737639698197,0.839825595677,0.308458383227,0.784573698352,0.698984691535,0.647427116702,0.678466734187,0.708650643938,0.809471716687,0.444285188746,0.6296426235,0.732845499985,0.743230079875,0.619349125512,0.828544212133,0.607942720467,0.732430894085,0.861909953792,0.774176562685,0.572314102178,0.467356948607,0.785150303873,0.787018255578,0.739221783702,0.860946387181,0.749079248371,0.693491285403,0.851960784314,0.0346666666667,0.886406493972,0.744036970781,0.818706564327,0.809847374847,0.801628915955,0.912852664577,0.622377622378,0.706793206793,0.744416359698,0.879336650083,0.784402974313,0.666253343173,0.589742678725,0.807710109027,0.761102969559,0.794908485751,0.657215231991,0.832150611068,0.725144030768,0.0036036036036,0.343550331525,0.690131311764,0.766103536779,0.929481607917,0.812615551788,0.697150997151,0.724044994574,0.811895826654,0.681441666037,0.821851041798,0.746465242071,0.803832859116,0.5
Maximum Pairwise P-Distance,0.976744186047,0.739130434783,0.880733944954,0.955056179775,0.839805825243,0.89,0.910256410256,0.58064516129,0.824324324324,0.942857142857,0.918918918919,0.774193548387,0.788844621514,0.864864864865,0.867647058824,0.975,0.690476190476,0.922222222222,0.934579439252,0.829545454545,0.855421686747,0.878048780488,0.302631578947,0.8625,0.983050847458,0.511111111111,0.87265917603,0.80534351145,0.755980861244,0.842105263158,0.945054945055,0.928057553957,0.833333333333,0.72641509434,0.828125,0.810344827586,0.825,0.885714285714,0.904109589041,0.884615384615,0.929824561404,0.90625,0.647887323944,0.718181818182,0.864864864865,0.882352941176,0.885496183206,0.954545454545,0.895833333333,0.801470588235,0.935714285714,0.048,0.964912280702,0.807692307692,0.893617021277,0.923076923077,0.883333333333,0.945454545455,0.678321678322,0.909090909091,0.909090909091,0.906666666667,0.884615384615,0.743119266055,0.8125,0.89552238806,0.873015873016,0.957746478873,0.737704918033,0.949579831933,0.879310344828,0.00540540540541,0.442857142857,0.855421686747,0.913043478261,0.949275362319,0.883720930233,0.732323232323,0.84126984127,0.862595419847,0.803278688525,0.954545454545,0.83908045977,0.923076923077,0.577777777778
Number of Sequences,4.0,4.0,4.0,6.0,3.0,6.0,9.0,4.0,3.0,13.0,4.0,3.0,3.0,4.0,3.0,7.0,7.0,4.0,7.0,3.0,4.0,5.0,3.0,7.0,5.0,6.0,7.0,7.0,6.0,9.0,8.0,8.0,7.0,3.0,6.0,3.0,15.0,3.0,7.0,7.0,3.0,6.0,4.0,4.0,6.0,3.0,8.0,11.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,6.0,6.0,3.0,3.0,14.0,4.0,3.0,5.0,3.0,5.0,6.0,6.0,13.0,5.0,11.0,10.0,3.0,4.0,3.0,11.0,3.0,5.0,3.0,8.0,5.0,6.0,9.0,4.0,12.0,4.0
Reference Length,167.0,60.0,206.0,167.0,302.0,162.0,143.0,32.0,162.0,108.0,119.0,127.0,281.0,45.0,147.0,96.0,84.0,555.0,151.0,122.0,90.0,41.0,76.0,112.0,75.0,48.0,380.0,356.0,245.0,117.0,185.0,176.0,99.0,479.0,211.0,75.0,55.0,81.0,108.0,104.0,69.0,45.0,146.0,125.0,78.0,89.0,215.0,144.0,469.0,152.0,157.0,125.0,61.0,66.0,127.0,43.0,140.0,85.0,145.0,22.0,152.0,83.0,113.0,369.0,88.0,70.0,97.0,121.0,215.0,147.0,173.0,185.0,79.0,180.0,40.0,201.0,170.0,205.0,89.0,265.0,64.0,99.0,229.0,162.0,46.0
