,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL10052799,AL00052441,AL00057282,AL00055186,AL00054403,AL00050715,AL00102031,AL00053377,AL00089447,AL10048599,AL00052799,AL10063763,AL10053473,AL00055594,AL10051350,AL00053335,AL00052150,AL10050412,AL00052086,AL10089447,AL20089447,AL00101215,AL00088995,AL00089048,AL10050815,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL10057468,AL00050799,AL00050021,AL10063410,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00051412,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00063410,AL00047861,AL00051984,AL00052141,AL00088696,AL00053701,AL00069381,AL00089800,AL00109622,AL00068994,AL00053697,AL10109622,AL00051971,AL00103575,AL10056276,AL10050712,AL10050335,AL10054446,AL10054592,AL00089623,AL00063412,AL10054814,AL00049599,AL00051913,AL00057413,AL10074933,AL00051713,AL00054253,AL00069117,AL00054814,AL10053335,AL00050464,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL00052317,AL00050475,AL10101215,AL10057491,AL00055723,AL10050464,AL10069117,AL00051392,AL00100877,AL00054790,AL10054593,AL00051906,AL00053473,AL10050155,AL00050331,AL00052113,AL00051306,AL00052821,AL00057492
1-SPFP,0.461240310078,0.944827586207,0.628767123288,0.281832298137,0.525280898876,0.675448430493,0.802796327212,0.713180515759,1.0,0.837155963303,0.599617191578,0.299539170507,0.664772727273,0.837016574586,0.597087378641,0.6,0.65506888521,0.351659751037,0.997898055702,1.0,0.923698165272,0.424015571193,0.211055276382,0.521485595279,0.435294117647,1.0,0.516260162602,0.905325443787,1.0,1.0,0.724169221337,0.804195804196,0.727952167414,0.973607038123,0.681834403997,0.829735764793,0.902595322012,0.925563173359,0.761452031115,0.682982791587,0.58418230563,0.458675263775,0.869866666667,0.938284518828,0.927152317881,0.886363636364,0.94277245782,0.665071770335,0.872317532429,0.789473684211,0.749404761905,0.681818181818,0.658536585366,0.989195678271,0.889855072464,0.569846512532,0.965209634255,0.722448979592,0.53805701633,0.458494742667,0.888643880926,0.568775391759,0.87004950495,0.544811320755,1.0,0.404540838532,0.672025723473,0.434413407821,0.443609022556,0.370994940978,0.782608695652,0.758560650029,0.118518518519,0.662185572282,0.990675990676,0.749637963685,1.0,0.685828877005,0.420062220199,0.711229946524,0.7412755716,0.896245059289,0.956989247312,0.654166666667,0.483967935872,0.922784654982,0.601202749141,0.883957219251,0.549391871848,0.855566502463,1.0,0.990675990676,0.497249556203,0.593505632869,0.871485943775,0.655287260616,0.198473282443,0.78898444102,0.654736842105,0.810763888889,0.534662153692,0.868186874305,0.623348844191,0.407556270096,0.41169095753,0.871809664008,0.931182795699,0.667318982387,0.774066797642,0.614381067961,0.977777777778
1-SPFN,0.457692307692,0.944827586207,0.62619372442,0.255094869993,0.546783625731,0.665011037528,0.802796327212,0.720405209841,1.0,0.812917594655,0.577316133356,0.288248337029,0.629032258065,0.825613079019,0.534782608696,0.621145374449,0.62978149447,0.345565749235,0.997898055702,1.0,0.91803676053,0.413430656934,0.23786407767,0.484676430737,0.422231614539,1.0,0.516260162602,0.889534883721,1.0,1.0,0.71168956375,0.811617806732,0.744648318043,0.97503671072,0.663944396177,0.821632577851,0.906370656371,0.937190082645,0.721421552571,0.68115942029,0.5434592842,0.466051220965,0.805432098765,0.938284518828,0.927475592748,0.891428571429,0.943633044272,0.661904761905,0.871692252554,0.795053003534,0.746737841044,0.670391061453,0.629370629371,0.989195678271,0.89897510981,0.551253618013,0.965209634255,0.688715953307,0.487584650113,0.424871794872,0.897550111359,0.585424133811,0.836904761905,0.533487297921,1.0,0.408332113047,0.612903225806,0.409349336702,0.424460431655,0.369127516779,0.778702163062,0.758560650029,0.093567251462,0.617538525738,0.990675990676,0.715904255319,1.0,0.639650872818,0.374420885327,0.636363636364,0.743063932449,0.895360315893,0.956989247312,0.623634558093,0.503125,0.909833235507,0.587869623656,0.87785448752,0.543586733196,0.843762145356,1.0,0.990675990676,0.481597045339,0.601396723073,0.850980392157,0.62559618442,0.184397163121,0.765505932285,0.629130141605,0.790186125212,0.508525098367,0.875490745934,0.611688024746,0.35405027933,0.354688449335,0.865798727725,0.931182795699,0.651509361865,0.762088974855,0.616438356164,0.977777777778
SP-Score,0.459466308885,0.944827586207,0.627480423854,0.268463584065,0.536032262304,0.67022973401,0.802796327212,0.7167928628,1.0,0.825036778979,0.588466662467,0.293893753768,0.646902492669,0.831314826802,0.565934993668,0.610572687225,0.64242518984,0.348612750136,0.997898055702,1.0,0.920867462901,0.418723114064,0.224459677026,0.503081013008,0.428762866093,1.0,0.516260162602,0.897430163754,1.0,1.0,0.717929392543,0.807906805464,0.736300242728,0.974321874421,0.672889400087,0.825684171322,0.904482989191,0.931376628002,0.741436791843,0.682071105938,0.563820794915,0.46236324237,0.837649382716,0.938284518828,0.927313955314,0.888896103896,0.943202751046,0.66348826612,0.872004892491,0.792263343872,0.748071301474,0.676104621635,0.643953607368,0.989195678271,0.894415091137,0.560550065272,0.965209634255,0.70558246645,0.512820833221,0.44168326877,0.893096996142,0.577099762785,0.853477133428,0.539149309338,1.0,0.40643647579,0.64246447464,0.421881372262,0.434034727106,0.370061228878,0.780655429357,0.758560650029,0.10604288499,0.63986204901,0.990675990676,0.732771109502,1.0,0.662739874912,0.397241552763,0.673796791444,0.742169752025,0.895802687591,0.956989247312,0.63890061238,0.493546467936,0.916308945245,0.594536186398,0.880905853386,0.546489302522,0.849664323909,1.0,0.990675990676,0.489423300771,0.597451177971,0.861233167966,0.640441722518,0.191435222782,0.777245186653,0.641933491855,0.80047500705,0.521593626029,0.871838810119,0.617518434468,0.380803274713,0.383189703433,0.868804195866,0.931182795699,0.659414172126,0.768077886249,0.615409712063,0.977777777778
TC,0.0,0.8666666666666667,0.4052631578947368,0.1323529411764706,0.25,0.15789473684210525,0.38461538461538464,0.19083969465648856,1.0,0.6981132075471698,0.21568627450980393,0.08928571428571429,0.4435483870967742,0.7269230769230769,0.34146341463414637,0.4065934065934066,0.056,0.04,0.84375,1.0,0.25,0.09731543624161074,0.028328611898016998,0.046153846153846156,0.006666666666666667,1.0,0.2127659574468085,0.7640449438202247,1.0,1.0,0.12318840579710146,0.41284403669724773,0.2676056338028169,0.8541666666666666,0.31845238095238093,0.46178343949044587,0.6785714285714286,0.7350427350427351,0.11764705882352941,0.1337579617834395,0.15483870967741936,0.12650602409638553,0.5656565656565656,0.8981481481481481,0.8402061855670103,0.8032786885245902,0.5111111111111111,0.5416666666666666,0.5252100840336135,0.17857142857142858,0.5612244897959183,0.49230769230769234,0.46875,0.972027972027972,0.7478991596638656,0.0,0.8571428571428571,0.5172413793103449,0.14450867052023122,0.1079136690647482,0.683991683991684,0.34988713318284426,0.6944444444444444,0.2903225806451613,1.0,0.009615384615384616,0.3114754098360656,0.06896551724137931,0.2830188679245283,0.08333333333333333,0.5952380952380952,0.5220588235294118,0.03278688524590164,0.0,0.986013986013986,0.0851063829787234,1.0,0.2789115646258503,0.14025974025974025,0.4805194805194805,0.3723404255319149,0.7922437673130194,0.8390804597701149,0.14285714285714285,0.16470588235294117,0.4318181818181818,0.10743801652892562,0.7024390243902439,0.1917808219178082,0.5639097744360902,1.0,0.9746835443037974,0.016901408450704224,0.17560975609756097,0.7640449438202247,0.2777777777777778,0.10457516339869281,0.30327868852459017,0.26993865030674846,0.6965174129353234,0.030418250950570342,0.5942028985507246,0.06388206388206388,0.12727272727272726,0.0851063829787234,0.3076923076923077,0.7619047619047619,0.34408602150537637,0.5393258426966292,0.08441558441558442,0.9555555555555556
Modeler,0.46124031007751937,0.9448275862068966,0.6287671232876713,0.28183229813664595,0.5252808988764045,0.6754484304932735,0.80279632721202,0.7131805157593123,1.0,0.8371559633027523,0.5996171915782147,0.2995391705069124,0.6647727272727273,0.8370165745856354,0.5970873786407767,0.6,0.6550688852100227,0.3516597510373444,0.9978980557015239,1.0,0.9236981652718644,0.4240155711932924,0.21105527638190955,0.5214855952794168,0.43529411764705883,1.0,0.516260162601626,0.9053254437869822,1.0,1.0,0.7241692213366033,0.8041958041958042,0.7279521674140508,0.9736070381231672,0.6818344039971449,0.8297357647934499,0.9025953220121756,0.9255631733594515,0.7614520311149524,0.682982791586998,0.5841823056300268,0.4586752637749121,0.8698666666666667,0.9382845188284519,0.9271523178807947,0.8863636363636364,0.9427724578203375,0.6650717703349283,0.8723175324287166,0.7894736842105263,0.7494047619047619,0.6818181818181818,0.6585365853658537,0.9891956782713085,0.8898550724637682,0.5698465125315718,0.9652096342551294,0.7224489795918367,0.5380570163299198,0.45849474266740453,0.8886438809261301,0.5687753917585606,0.870049504950495,0.5448113207547169,1.0,0.4045408385318439,0.6720257234726688,0.43441340782122906,0.44360902255639095,0.37099494097807756,0.782608695652174,0.7585606500290192,0.11851851851851852,0.6621855722824176,0.9906759906759907,0.7496379636849727,1.0,0.6858288770053476,0.42006222019880113,0.7112299465240641,0.7412755716004813,0.8962450592885376,0.956989247311828,0.6541666666666667,0.48396793587174347,0.9227846549822282,0.6012027491408934,0.8839572192513369,0.5493918718481163,0.8555665024630542,1.0,0.9906759906759907,0.49724955620329175,0.59350563286945,0.8714859437751004,0.6552872606161532,0.1984732824427481,0.7889844410200328,0.6547368421052632,0.8107638888888888,0.5346621536918641,0.8681868743047831,0.6233488441909336,0.407556270096463,0.4116909575301677,0.8718096640076389,0.9311827956989247,0.6673189823874756,0.7740667976424361,0.6143810679611651,0.9777777777777777
Compression,1.0,1.0,0.9902912621359223,1.0,0.9503311258278145,1.0432098765432098,1.0,0.993006993006993,1.0,1.0493827160493827,1.0462962962962963,1.084033613445378,1.078740157480315,1.0320284697508897,1.1555555555555554,0.9523809523809523,1.026143790849673,1.03125,1.0,1.0,1.0178571428571428,1.0392156862745099,0.9045045045045045,1.5384615384615385,1.0463576158940397,1.0,1.0,1.0333333333333334,1.0,1.0,1.1376811594202898,0.9732142857142857,0.9466666666666667,1.0,1.0236842105263158,1.0168539325842696,1.0122448979591836,1.0,1.1388888888888888,1.1189189189189188,1.1157894736842104,0.9886363636363636,1.1616161616161615,0.9958246346555324,1.004739336492891,1.0,0.9454545454545454,1.0123456790123457,1.0081967213114753,0.9814814814814815,1.0096153846153846,1.0289855072463767,1.0444444444444445,1.0,0.992,1.0485436893203883,1.0,1.0674157303370786,1.1255813953488372,1.0902777777777777,0.9785575048732943,0.9573560767590619,1.0657894736842106,1.0318471337579618,1.0,0.8765957446808511,1.1639344262295082,1.0810810810810811,1.0757575757575757,1.0236220472440944,1.0,1.0285714285714285,1.2,1.2436974789915967,1.0,1.0679611650485437,1.0,1.111842105263158,1.1156462585034013,1.108433734939759,0.9911504424778761,1.002710027100271,1.0,1.1428571428571428,0.9072164948453608,1.02,1.0413223140495869,1.013953488372093,1.0408163265306123,1.069364161849711,1.0,1.0,1.116580310880829,0.9473684210526315,1.0333333333333334,0.975,1.0298507462686568,1.08130081300813,1.0588235294117647,1.0439024390243903,1.1624548736462095,1.0,1.0068493150684932,1.1018867924528302,1.1604395604395605,1.0775862068965518,1.0,1.0303030303030303,1.0131004366812226,0.9382716049382716,1.0
Average Pairwise P-Distance,0.584830339321,0.563888888889,0.705501618123,0.73373253493,0.78587196468,0.709053497942,0.765734265734,0.690753690754,0.411458333333,0.716049382716,0.723053181387,0.847338935574,0.51968503937,0.758007117438,0.766666666667,0.795918367347,0.577610842317,0.674603174603,0.782767768124,0.524376417234,0.479415293553,0.676978939724,0.710810810811,0.595913810428,0.769473352255,0.804679802956,0.784153005464,0.624074074074,0.770731707317,0.236842105263,0.715285214536,0.727465986395,0.818666666667,0.344444444444,0.705513784461,0.658105939005,0.62231292517,0.656695156695,0.605291005291,0.559845559846,0.568016194332,0.740868506494,0.447811447811,0.64509394572,0.700157977883,0.737777777778,0.527272727273,0.814814814815,0.635382513661,0.54012345679,0.69184981685,0.859903381643,0.648888888889,0.577625570776,0.482666666667,0.74703628002,0.784615384615,0.786516853933,0.637541528239,0.71047979798,0.452046783626,0.735252309879,0.689692982456,0.855626326964,0.0346666666667,0.60609929078,0.887978142077,0.703521703522,0.757575757576,0.816272965879,0.796899224806,0.788095238095,0.847058823529,0.485623698441,0.622988505747,0.731148867314,0.706793206793,0.74451754386,0.721736313573,0.875502008032,0.727433628319,0.682926829268,0.594318181818,0.808571428571,0.681786941581,0.575355932203,0.687751642297,0.653488372093,0.806555349412,0.572382787412,0.0036036036036,0.383966244726,0.57304835924,0.713861099029,0.696296296296,0.641818181818,0.870646766169,0.652380110758,0.805882352941,0.70243902439,0.65677715786,0.621990369181,0.58648015269,0.719622641509,0.581910397295,0.585449628127,0.680208333333,0.76936026936,0.598253275109,0.677983539095,0.5
Maximum Pairwise P-Distance,0.988023952096,0.8,0.922330097087,0.874251497006,0.870860927152,0.882716049383,1.0,0.867132867133,0.59375,0.83950617284,0.916666666667,0.924369747899,0.779527559055,0.811387900356,0.888888888889,0.925170068027,0.849673202614,0.864583333333,1.0,0.690476190476,0.892857142857,0.875816993464,0.886486486486,0.938461538462,0.94701986755,1.0,0.885245901639,0.866666666667,0.878048780488,0.302631578947,0.876811594203,0.883928571429,0.973333333333,0.541666666667,0.836842105263,0.814606741573,0.751020408163,0.888888888889,0.916666666667,0.924324324324,0.8,0.931818181818,0.838383838384,0.816283924843,0.767772511848,0.853333333333,0.854545454545,0.901234567901,0.829918032787,0.935185185185,0.913461538462,0.884057971014,0.933333333333,0.657534246575,0.752,0.917475728155,0.858974358974,0.887640449438,0.860465116279,0.951388888889,0.834307992203,0.942430703625,0.815789473684,0.936305732484,0.048,0.829787234043,0.967213114754,0.885885885886,0.833333333333,0.905511811024,0.906976744186,0.885714285714,0.929411764706,0.840336134454,0.68275862069,0.907766990291,0.909090909091,0.921052631579,0.893424036281,0.903614457831,0.87610619469,0.772357723577,0.818181818182,0.885714285714,0.876288659794,0.98,0.892561983471,0.758139534884,0.945578231293,0.878612716763,0.00540540540541,0.506329113924,0.79792746114,0.913875598086,0.866666666667,0.925,0.935323383085,0.894308943089,0.882352941176,0.741463414634,0.884476534296,0.876404494382,0.803652968037,0.852830188679,0.894505494505,0.844827586207,0.8125,0.888888888889,0.921397379913,0.827160493827,0.586956521739
Number of Sequences,4,4,4,6,3,6,34,9,4,3,13,4,3,3,4,3,22,7,119,7,95,10,4,53,7,29,3,4,5,3,29,7,5,6,7,7,6,9,21,8,13,8,7,3,6,3,15,3,10,7,7,3,6,4,4,20,6,3,8,11,5,4,4,3,3,16,4,11,3,4,6,6,3,82,3,16,14,4,15,3,5,3,5,6,6,60,13,5,11,10,3,4,25,12,3,11,3,24,5,3,11,8,28,5,13,51,6,9,4,12,4
Reference Length,167,60,206,167,302,162,26,143,32,162,108,119,127,281,45,147,306,96,32,84,56,306,555,65,151,20,122,90,41,76,138,112,75,48,380,356,245,117,36,185,190,176,99,479,211,75,55,81,488,108,104,69,45,146,125,206,78,89,215,144,513,469,152,157,125,235,61,333,66,127,43,140,85,119,145,206,22,152,441,83,113,369,88,70,97,50,121,215,147,173,185,79,386,209,180,40,201,123,170,205,277,89,438,265,455,116,64,99,229,162,46
