,RoseSmallS1R04,RoseSmallS1R01,RoseSmallS1R06,RoseSmallS1R07,RoseSmallS1R08,RoseSmallS1R05,RoseSmallS1R10,RoseSmallS1R03,RoseSmallS1R09,RoseSmallS1R02
1-SPFP,0.090349851983,0.142769821865,0.0858729915316,0.179533127852,0.131498847757,0.116723899552,0.126111480326,0.130442978322,0.089008926743,0.175413688089
1-SPFN,0.0866402249559,0.126025496662,0.0846808882437,0.176843393505,0.13274949152,0.113232219331,0.125131038774,0.130357851679,0.0888967124344,0.166078011634
SP-Score,0.0884950384694,0.134397659264,0.0852769398877,0.178188260679,0.132124169639,0.114978059442,0.12562125955,0.130400415001,0.0889528195887,0.170745849861
TC,0.0,0.017391304347826087,0.0,0.0019801980198019802,0.010607521697203472,0.018700787401574805,0.011916583912611719,0.0029615004935834156,0.0048828125,0.028182701652089408
Modeler,0.0903498519830078,0.1427698218651764,0.08587299153163284,0.17953312785224476,0.13149884775745627,0.11672389955195488,0.12611148032650002,0.13044297832233742,0.08900892674296419,0.1754136880887646
Compression,0.9920141969831411,1.2129963898916967,0.9514388489208633,0.9746606334841629,0.8884986830553117,1.0262206148282098,0.9380692167577414,0.9414990859232175,0.9461678832116789,0.996415770609319
Average Pairwise P-Distance,0.691409900916,0.689072400044,0.681463765468,0.691980376963,0.69908994381,0.690398464325,0.701618126912,0.695136187508,0.690795764477,0.689124496217
Maximum Pairwise P-Distance,0.741116751269,0.744744744745,0.740181268882,0.738647830474,0.74297188755,0.746208291203,0.741573033708,0.743434343434,0.731658291457,0.736040609137
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1127,1108,1112,1105,1139,1106,1098,1094,1096,1116
Estimated Length,1118,1344,1058,1077,1012,1135,1030,1030,1037,1112
Maximum Ungapped Length,1017,1014,1012,1011,1012,1008,1006,1012,1018,1017
Sequence Length Heterogeneity,0.00527347693903,0.00474915468148,0.00526982890635,0.00535095374259,0.00475521555144,0.00375767609933,0.00490518246443,0.00465509681522,0.00546264757821,0.00658330794053
Gappiness Percentage,0.108535936114,0.0936462093863,0.0997482014388,0.094334841629,0.118770851624,0.0944665461121,0.092349726776,0.0859232175503,0.0851094890511,0.101684587814
Average Gap Length,2.31842304776,2.02973395931,2.12490421456,2.08313349321,2.24270557029,2.49236641221,1.84901531729,2.01371036847,2.13944954128,2.16070068545
Median Gap Length,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
